Rnummer,plan,concepten,wiskundig,rekentechnisch,interpretatie
R_Rr9cxilSLcannkl,1.0,0.2857142857142857,0.6928571428571428,0.5357142857142857,0.4
R_1d7cc7lBnb1D3rP,1.0,0.5714285714285714,0.7952380952380952,1.0,0.8
R_ZI5B5WZySTyh8gV,0.8333333333333334,0.5714285714285714,0.7785714285714286,0.5446428571428572,0.2
R_qU6oKHV881E4KD7,1.0,0.5714285714285714,0.85,0.9285714285714286,0.2
R_1C1r1WUu72SnOOY,1.0,1.0,0.7238095238095238,1.0,0.6
R_2uJmd1VTa2LpEgh,0.8333333333333334,0.7142857142857143,0.8666666666666667,1.0,0.4
R_3sBX254SgPiZoRN,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_UYD7d7k5f41mdxv,0.8333333333333334,0.5714285714285714,0.6880952380952381,0.8571428571428572,0.2
R_e2tQb5fnbMBuZVf,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_3pto7khqOtjxfvu,1.0,0.8571428571428571,0.8666666666666667,1.0,0.0
R_2fwGTt1s3V9wdHe,0.8333333333333334,0.5714285714285714,0.8785714285714286,0.9375,0.0
R_2SvQnxSAeX3qFju,0.8333333333333334,0.5714285714285714,0.95,1.0,0.2
R_2xS1yjFrKr8h1r9,1.0,0.5714285714285714,0.95,1.0,0.0
R_1OAE1209hHMeRkv,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_2ve8QiUg76ML7Kk,1.0,0.5714285714285714,0.8666666666666667,0.7946428571428572,0.2
R_1mFcH6gd6ywTMCi,0.8333333333333334,0.5714285714285714,0.95,1.0,0.6
R_2whG3Y8nMZyGaQ1,1.0,0.5714285714285714,0.7595238095238095,1.0,0.4
R_31oP6gBvgLfvoVL,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.6
R_3MuhZFRAXIIBP6U,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_1dtLKZV2BJXamlA,0.8333333333333334,0.5714285714285714,0.730952380952381,1.0,0.2
R_9uTC85CCwNfaISJ,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_QggrRZPupAqqtTr,1.0,1.0,0.8666666666666667,1.0,0.6
R_27fEiN4ngVsPWJr,1.0,0.8571428571428571,0.7952380952380952,0.26785714285714285,0.6
R_1jVXyPy0Syu3FvG,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_3QGhw6OMx6H3vSQ,1.0,0.5714285714285714,0.8666666666666667,1.0,0.0
R_vBOcwSuj4gSxOMN,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_OcDBcqtEFZwoOMF,1.0,0.5714285714285714,0.8666666666666667,0.7142857142857143,0.2
R_1gwDm71fxygIR5S,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_0GjDOhqfru1IIPT,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_1gRt1fMhw4QJ2X5,1.0,0.5714285714285714,0.8666666666666667,0.6875,0.6
R_1C2UHW2Rs74Xvqk,1.0,0.8571428571428571,0.95,0.8571428571428572,0.6
R_1dzcLC0oKE0nwZ0,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_2XaK3gjED7lQfA6,0.8333333333333334,0.5714285714285714,0.7666666666666667,0.7410714285714286,0.2
R_2SHT80xb5lEIvHO,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
