feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13ew65885	1	1	5	5	0	4	<5	20	7	3	18	15-20	25	12	3	11	10-13
13ew15882	1	0	7	2	1	7	>=7	8	15	7	4	<15	15	17	8	5	<10
13ew19425	1	0	8	2	0	8	>=7	12	14	4	9	<15	20	16	4	8	<10
13ew98286	1	0	8	2	0	8	>=7	13	15	2	9	<15	21	17	2	8	<10
13ew85355	1	0	4	6	0	3	<5	11	16	3	7	<15	15	22	3	5	<10
13ew94109	1	0	6	4	0	5	5-7	9	14	7	6	<15	15	18	7	5	<10
13ew51221	1	1	6	4	0	5	5-7	19	9	2	17	15-20	25	13	2	11	10-13
13ew38202	1	0	5	5	0	4	<5	14	11	5	11	<15	19	16	5	8	<10
13ew17590	1	0	3	7	0	1	<5	7	20	3	2	<15	10	27	3	2	<10
13ew50036	1	0	8	2	0	8	>=7	12	10	8	10	<15	20	12	8	9	<10
13ew97160	1	1	7	2	1	7	>=7	24	6	0	23	>=20	31	8	1	15	>=14
13ew73799	1	0	6	4	0	5	5-7	14	10	6	12	<15	20	14	6	8	<10
13ew29805	1	0	7	0	3	7	>=7	6	11	13	3	<15	13	11	16	5	<10
13ew69357	1	1	6	3	1	5	5-7	16	7	7	14	<15	22	10	8	10	10-13
13ew55162	1	0	7	3	0	6	5-7	12	18	0	8	<15	19	21	0	7	<10
13ew98587	1	1	9	1	0	9	>=7	15	12	3	12	<15	24	13	3	10	10-13
13ew71737	1	0	8	2	0	8	>=7	11	14	5	8	<15	19	16	5	8	<10
13ew78169	1	1	7	3	0	6	5-7	17	13	0	14	<15	24	16	0	10	10-13
13ew36423	1	1	8	1	1	8	>=7	20	9	1	18	15-20	28	10	2	13	10-13
13ew82490	1	0	5	2	3	5	5-7	15	10	5	13	<15	20	12	8	9	<10
