key	value
aantalDeelnemers	122
academisch-redenerenHoogsteScore	9
academisch-redenerenLaagsteScore	0
academisch-redenerenGemiddeldeScore	5.93
academisch-redenerenMediaanScore	6
academisch-redenerenAantalScore0	2
academisch-redenerenAantalScore1	2
academisch-redenerenAantalScore2	3
academisch-redenerenAantalScore3	3
academisch-redenerenAantalScore4	17
academisch-redenerenAantalScore5	25
academisch-redenerenAantalScore6	23
academisch-redenerenAantalScore7	10
academisch-redenerenAantalScore8	28
academisch-redenerenAantalScore9	9
academisch-redenerenAantalScore10	0
wiskundeHoogsteScore	29
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	12.09
wiskundeMediaanScore	12
wiskundeAantalScore0	2
wiskundeAantalScore1	0
wiskundeAantalScore2	1
wiskundeAantalScore3	6
wiskundeAantalScore4	3
wiskundeAantalScore5	5
wiskundeAantalScore6	4
wiskundeAantalScore7	5
wiskundeAantalScore8	7
wiskundeAantalScore9	11
wiskundeAantalScore10	6
wiskundeAantalScore11	8
wiskundeAantalScore12	7
wiskundeAantalScore13	11
wiskundeAantalScore14	11
wiskundeAantalScore15	4
wiskundeAantalScore16	6
wiskundeAantalScore17	5
wiskundeAantalScore18	5
wiskundeAantalScore19	0
wiskundeAantalScore20	2
wiskundeAantalScore21	3
wiskundeAantalScore22	3
wiskundeAantalScore23	3
wiskundeAantalScore24	0
wiskundeAantalScore25	1
wiskundeAantalScore26	2
wiskundeAantalScore27	0
wiskundeAantalScore28	0
wiskundeAantalScore29	1
wiskundeAantalScore30	0
totaalHoogsteScore	18
totaalLaagsteScore	0
totaalGemiddeldeScore	8.88
totaalMediaanScore	9
totaalAantalScore0	1
totaalAantalScore1	0
totaalAantalScore2	1
totaalAantalScore3	6
totaalAantalScore4	4
totaalAantalScore5	9
totaalAantalScore6	10
totaalAantalScore7	8
totaalAantalScore8	17
totaalAantalScore9	17
totaalAantalScore10	14
totaalAantalScore11	13
totaalAantalScore12	4
totaalAantalScore13	5
totaalAantalScore14	2
totaalAantalScore15	7
totaalAantalScore16	1
totaalAantalScore17	2
totaalAantalScore18	1
totaalAantalScore19	0
totaalAantalScore20	0
