vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD	aantalE
1	D	122	71	58	14	11	1	1	22	71	13
2	C	122	95	78	6	4	7	1	95	12	1
3	D	122	90	74	1	0	9	13	7	90	2
4	B	122	74	61	4	3	14	74	12	16	2
5	C	122	32	26	21	17	5	41	32	11	12
6	B	122	84	69	2	1	32	84	0	0	4
7	D	122	111	91	4	3	2	0	1	111	4
8	D	122	84	69	1	0	0	3	0	84	34
9	B	122	68	56	11	9	8	68	14	3	18
10	B	122	79	65	4	3	1	79	38	0	0
11	E	122	96	79	5	4	2	3	9	7	96
12	C	122	96	79	1	0	2	3	96	1	19
13	D	122	69	57	14	11	11	4	16	69	8
14	A	122	82	67	9	7	82	3	6	19	3
15	A	122	114	93	1	0	114	1	1	1	4
16	C	122	107	88	5	4	1	3	107	5	1
17	E	122	32	26	61	50	1	3	2	23	32
18	C	122	80	66	8	6	1	22	80	1	10
19	B	122	34	28	45	36	14	34	3	3	23
20	C	122	69	57	32	26	4	7	69	4	6
21	C	122	80	66	19	15	4	1	80	14	4
22	B	122	89	73	11	9	3	89	5	2	12
23	C	122	30	25	1	0	81	1	30	7	2
24	E	122	96	79	3	2	8	4	6	5	96
25	D	122	60	49	1	0	5	45	5	60	6
26	B	122	55	45	28	22	2	55	10	0	27
27	C	122	49	40	15	12	2	49	49	4	3
28	C	122	51	42	40	32	4	3	51	10	14
29	E	122	86	70	15	12	2	6	8	5	86
30	C	122	49	40	44	36	14	13	49	0	2
31	C	122	42	34	22	18	17	14	42	10	17
32	A	122	40	33	50	40	40	4	9	13	6
33	D	122	52	43	25	20	4	6	6	52	29
34	C	122	42	34	32	26	5	24	42	13	6
35	C	122	14	11	7	5	7	87	14	4	3
36	B	122	11	9	34	27	1	11	56	10	10
37	D	122	46	38	6	4	2	17	2	46	49
38	C	122	19	16	40	32	29	6	19	9	19
39	D	122	38	31	17	13	21	23	18	38	5
40	D	122	48	39	13	10	26	12	8	48	15
