ijkID	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	totaalJuist	totaalFout	totaalBlanco	totaalScore
27309	1	1	5	5	0	4	20	7	3	18	25	12	3	11
27141	1	0	7	2	1	7	8	15	7	4	15	17	8	5
27140	1	0	8	2	0	8	12	14	4	9	20	16	4	8
26125	1	0	8	2	0	8	13	15	2	9	21	17	2	8
27118	1	0	4	6	0	3	11	16	3	7	15	22	3	5
25436	1	0	6	4	0	5	9	14	7	6	15	18	7	5
27343	1	1	6	4	0	5	19	9	2	17	25	13	2	11
25071	1	0	5	5	0	4	14	11	5	11	19	16	5	8
27093	1	0	3	7	0	1	7	20	3	2	10	27	3	2
27033	1	0	8	2	0	8	12	10	8	10	20	12	8	9
26473	1	1	7	2	1	7	24	6	0	23	31	8	1	15
26352	1	0	6	4	0	5	14	10	6	12	20	14	6	8
25702	1	0	7	0	3	7	6	11	13	3	13	11	16	5
27185	1	1	6	3	1	5	16	7	7	14	22	10	8	10
27016	1	0	7	3	0	6	12	18	0	8	19	21	0	7
24936	1	1	9	1	0	9	15	12	3	12	24	13	3	10
27091	1	0	8	2	0	8	11	14	5	8	19	16	5	8
26210	1	1	7	3	0	6	17	13	0	14	24	16	0	10
24568	1	1	8	1	1	8	20	9	1	18	28	10	2	13
26425	1	0	5	2	3	5	15	10	5	13	20	12	8	9
26959	1	0	5	5	0	4	11	10	9	9	16	15	9	6
27489	1	1	8	2	0	8	17	11	2	14	25	13	2	11
27381	1	1	8	2	0	8	15	10	5	13	23	12	5	10
27288	1	1	9	0	1	9	22	4	4	21	31	4	5	15
26821	1	0	7	2	1	7	8	11	11	5	15	13	12	6
27370	1	0	5	5	0	4	16	10	4	14	21	15	4	9
24847	1	0	6	1	3	6	7	8	15	5	13	9	18	5
24500	1	1	8	1	1	8	23	4	3	22	31	5	4	15
27029	1	1	9	1	0	9	14	10	6	12	23	11	6	10
25477	1	1	7	3	0	6	20	8	2	18	27	11	2	12
25884	1	1	7	3	0	6	16	12	2	13	23	15	2	10
25084	1	1	8	1	1	8	20	7	3	18	28	8	4	13
24992	1	1	8	1	1	8	23	4	3	22	31	5	4	15
26696	1	0	6	4	0	5	16	13	1	13	22	17	1	9
25596	1	1	6	4	0	5	21	4	5	20	27	8	5	13
25322	1	0	5	5	0	4	16	14	0	13	21	19	0	8
24518	1	0	7	3	0	6	12	8	10	10	19	11	10	8
25588	1	0	5	5	0	4	14	13	3	11	19	18	3	7
24863	1	1	8	2	0	8	26	2	2	26	34	4	2	17
25917	1	0	5	4	1	4	16	11	3	13	21	15	4	9
26175	1	1	8	2	0	8	17	12	1	14	25	14	1	11
26957	1	1	9	1	0	9	17	11	2	14	26	12	2	12
24993	1	0	5	2	3	5	12	6	12	11	17	8	15	8
27101	1	1	6	4	0	5	17	11	2	14	23	15	2	10
26730	1	1	9	1	0	9	21	4	5	20	30	5	5	14
26800	1	1	8	2	0	8	26	4	0	25	34	6	0	16
26552	1	0	5	5	0	4	15	10	5	13	20	15	5	8
26321	1	0	8	2	0	8	13	12	5	10	21	14	5	9
26968	1	0	8	2	0	8	11	11	8	8	19	13	8	8
26077	1	1	8	2	0	8	24	5	1	23	32	7	1	15
23966	1	0	6	3	1	5	7	16	7	3	13	19	8	4
25870	1	0	2	8	0	0	14	14	2	11	16	22	2	5
26650	1	0	6	3	1	5	5	10	15	3	11	13	16	4
24141	1	1	6	3	1	5	18	10	2	16	24	13	3	10
24280	1	0	5	4	1	4	12	16	2	8	17	20	3	6
25747	1	0	0	10	0	0	13	17	0	9	13	27	0	3
24824	1	0	3	7	0	1	9	18	3	5	12	25	3	3
25121	1	1	7	3	0	6	19	10	1	17	26	13	1	11
24695	1	0	6	2	2	6	9	14	7	6	15	16	9	6
25887	1	1	7	3	0	6	22	6	2	21	29	9	2	13
27009	1	0	3	6	1	2	2	14	14	0	5	20	15	0
27070	1	1	5	1	4	5	18	4	8	17	23	5	12	11
26399	1	0	6	4	0	5	11	11	8	8	17	15	8	7
26007	1	0	6	3	1	5	13	9	8	11	19	12	9	8
24380	1	0	7	2	1	7	12	7	11	10	19	9	12	8
26054	1	1	8	2	0	8	24	5	1	23	32	7	1	15
24948	1	0	7	2	1	7	9	10	11	7	16	12	12	7
26092	1	1	7	3	0	6	18	9	3	16	25	12	3	11
24765	1	0	6	4	0	5	16	11	3	13	22	15	3	9
27020	1	1	8	2	0	8	29	1	0	29	37	3	0	18
26668	1	1	6	2	2	6	16	9	5	14	22	11	7	10
27154	1	1	9	0	1	9	23	6	1	22	32	6	2	15
26509	1	1	9	1	0	9	16	10	4	14	25	11	4	11
26814	1	1	8	2	0	8	17	8	5	15	25	10	5	11
26191	1	1	6	0	4	6	15	7	8	13	21	7	12	10
26703	1	1	6	4	0	5	17	7	6	15	23	11	6	10
26541	1	0	5	4	1	4	12	12	6	9	17	16	7	7
26223	1	0	6	4	0	5	14	8	8	12	20	12	8	9
27400	1	1	8	1	1	8	17	5	8	16	25	6	9	12
24971	1	0	6	4	0	5	13	11	6	10	19	15	6	8
26757	1	0	6	2	2	6	13	9	8	11	19	11	10	8
25153	1	1	7	3	0	6	18	7	5	16	25	10	5	11
25267	1	1	5	2	3	5	15	1	14	15	20	3	17	10
27359	1	0	9	1	0	9	6	12	12	3	15	13	12	6
24706	1	1	8	1	1	8	20	7	3	18	28	8	4	13
27077	1	1	7	3	0	6	18	6	6	17	25	9	6	11
27001	1	0	7	3	0	6	12	12	6	9	19	15	6	8
24919	1	1	7	3	0	6	15	8	7	13	22	11	7	10
26467	1	1	8	1	1	8	26	2	2	26	34	3	3	17
26674	1	0	6	2	2	6	8	13	9	5	14	15	11	5
26143	1	1	8	2	0	8	19	11	0	16	27	13	0	12
24674	1	0	6	4	0	5	11	13	6	8	17	17	6	6
25908	1	0	8	1	1	8	14	12	4	11	22	13	5	9
27412	1	0	7	2	1	7	15	11	4	12	22	13	5	9
27383	1	0	6	2	2	6	15	9	6	13	21	11	8	9
27415	1	0	3	5	2	2	10	12	8	7	13	17	10	4
24753	1	0	5	4	1	4	16	9	5	14	21	13	6	9
26566	1	0	3	6	1	2	9	15	6	5	12	21	7	3
26748	1	1	6	2	2	6	19	8	3	17	25	10	5	11
27452	1	1	8	2	0	8	22	3	5	21	30	5	5	14
25726	1	0	6	4	0	5	15	11	4	12	21	15	4	9
26236	1	0	7	3	0	6	5	24	1	0	12	27	1	3
26371	1	0	4	6	0	3	12	14	4	9	16	20	4	6
27012	1	0	5	5	0	4	13	10	7	11	18	15	7	7
26318	1	0	9	1	0	9	13	17	0	9	22	18	0	9
24162	1	0	5	5	0	4	16	10	4	14	21	15	4	9
26866	1	1	7	2	1	7	18	9	3	16	25	11	4	11
25820	1	0	5	5	0	4	6	14	10	3	11	19	10	3
26070	1	0	6	4	0	5	10	17	3	6	16	21	3	5
25457	1	0	5	5	0	4	12	12	6	9	17	17	6	6
25456	1	0	6	3	1	5	7	14	9	4	13	17	10	4
25455	1	0	6	4	0	5	10	15	5	6	16	19	5	6
26604	1	0	8	2	0	8	13	13	4	10	21	15	4	9
26073	1	0	7	3	0	6	12	14	4	9	19	17	4	7
25394	1	0	8	2	0	8	12	15	3	8	20	17	3	8
24928	1	0	5	5	0	4	8	20	2	3	13	25	2	3
25115	1	0	7	3	0	6	10	11	9	7	17	14	9	7
26888	1	0	7	2	1	7	12	13	5	9	19	15	6	8
26576	1	0	4	6	0	3	17	8	5	15	21	14	5	9
26778	1	0	7	2	1	7	8	18	4	4	15	20	5	5
