key	value
aantalDeelnemers	122
academisch-redenerenHoogsteScore	9
academisch-redenerenLaagsteScore	0
academisch-redenerenGemiddeldeScore	5.926229508196721
academisch-redenerenMediaanScore	6
academisch-redenerenAantalScore0	2
academisch-redenerenAantalScore1	2
academisch-redenerenAantalScore2	3
academisch-redenerenAantalScore3	3
academisch-redenerenAantalScore4	17
academisch-redenerenAantalScore5	25
academisch-redenerenAantalScore6	23
academisch-redenerenAantalScore7	10
academisch-redenerenAantalScore8	28
academisch-redenerenAantalScore9	9
academisch-redenerenAantalScore10	0
wiskundeHoogsteScore	29
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	12.09016393442623
wiskundeMediaanScore	12
wiskundeAantalScore0	2
wiskundeAantalScore1	0
wiskundeAantalScore2	1
wiskundeAantalScore3	6
wiskundeAantalScore4	3
wiskundeAantalScore5	5
wiskundeAantalScore6	4
wiskundeAantalScore7	5
wiskundeAantalScore8	7
wiskundeAantalScore9	11
wiskundeAantalScore10	6
wiskundeAantalScore11	8
wiskundeAantalScore12	7
wiskundeAantalScore13	11
wiskundeAantalScore14	11
wiskundeAantalScore15	4
wiskundeAantalScore16	6
wiskundeAantalScore17	5
wiskundeAantalScore18	5
wiskundeAantalScore19	0
wiskundeAantalScore20	2
wiskundeAantalScore21	3
wiskundeAantalScore22	3
wiskundeAantalScore23	3
wiskundeAantalScore24	0
wiskundeAantalScore25	1
wiskundeAantalScore26	2
wiskundeAantalScore27	0
wiskundeAantalScore28	0
wiskundeAantalScore29	1
wiskundeAantalScore30	0
totaalHoogsteScore	18
totaalLaagsteScore	0
totaalGemiddeldeScore	8.87704918032787
totaalMediaanScore	9
totaalAantalScore0	1
totaalAantalScore1	0
totaalAantalScore2	1
totaalAantalScore3	6
totaalAantalScore4	4
totaalAantalScore5	9
totaalAantalScore6	10
totaalAantalScore7	8
totaalAantalScore8	17
totaalAantalScore9	17
totaalAantalScore10	14
totaalAantalScore11	13
totaalAantalScore12	4
totaalAantalScore13	5
totaalAantalScore14	2
totaalAantalScore15	7
totaalAantalScore16	1
totaalAantalScore17	2
totaalAantalScore18	1
totaalAantalScore19	0
totaalAantalScore20	0
vragenreeks1academisch-redenerenHoogsteScore	9
vragenreeks1academisch-redenerenLaagsteScore	0
vragenreeks1academisch-redenerenGemiddeldeScore	5.926229508196721
vragenreeks1academisch-redenerenMediaanScore	6
vragenreeks1academisch-redenerenAantalScore0	2
vragenreeks1academisch-redenerenAantalScore1	2
vragenreeks1academisch-redenerenAantalScore2	3
vragenreeks1academisch-redenerenAantalScore3	3
vragenreeks1academisch-redenerenAantalScore4	17
vragenreeks1academisch-redenerenAantalScore5	25
vragenreeks1academisch-redenerenAantalScore6	23
vragenreeks1academisch-redenerenAantalScore7	10
vragenreeks1academisch-redenerenAantalScore8	28
vragenreeks1academisch-redenerenAantalScore9	9
vragenreeks1academisch-redenerenAantalScore10	0
vragenreeks1wiskundeHoogsteScore	29
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	12.09016393442623
vragenreeks1wiskundeMediaanScore	12
vragenreeks1wiskundeAantalScore0	2
vragenreeks1wiskundeAantalScore1	0
vragenreeks1wiskundeAantalScore2	1
vragenreeks1wiskundeAantalScore3	6
vragenreeks1wiskundeAantalScore4	3
vragenreeks1wiskundeAantalScore5	5
vragenreeks1wiskundeAantalScore6	4
vragenreeks1wiskundeAantalScore7	5
vragenreeks1wiskundeAantalScore8	7
vragenreeks1wiskundeAantalScore9	11
vragenreeks1wiskundeAantalScore10	6
vragenreeks1wiskundeAantalScore11	8
vragenreeks1wiskundeAantalScore12	7
vragenreeks1wiskundeAantalScore13	11
vragenreeks1wiskundeAantalScore14	11
vragenreeks1wiskundeAantalScore15	4
vragenreeks1wiskundeAantalScore16	6
vragenreeks1wiskundeAantalScore17	5
vragenreeks1wiskundeAantalScore18	5
vragenreeks1wiskundeAantalScore19	0
vragenreeks1wiskundeAantalScore20	2
vragenreeks1wiskundeAantalScore21	3
vragenreeks1wiskundeAantalScore22	3
vragenreeks1wiskundeAantalScore23	3
vragenreeks1wiskundeAantalScore24	0
vragenreeks1wiskundeAantalScore25	1
vragenreeks1wiskundeAantalScore26	2
vragenreeks1wiskundeAantalScore27	0
vragenreeks1wiskundeAantalScore28	0
vragenreeks1wiskundeAantalScore29	1
vragenreeks1wiskundeAantalScore30	0
vragenreeks1totaalHoogsteScore	18
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	8.87704918032787
vragenreeks1totaalMediaanScore	9
vragenreeks1totaalAantalScore0	1
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	1
vragenreeks1totaalAantalScore3	6
vragenreeks1totaalAantalScore4	4
vragenreeks1totaalAantalScore5	9
vragenreeks1totaalAantalScore6	10
vragenreeks1totaalAantalScore7	8
vragenreeks1totaalAantalScore8	17
vragenreeks1totaalAantalScore9	17
vragenreeks1totaalAantalScore10	14
vragenreeks1totaalAantalScore11	13
vragenreeks1totaalAantalScore12	4
vragenreeks1totaalAantalScore13	5
vragenreeks1totaalAantalScore14	2
vragenreeks1totaalAantalScore15	7
vragenreeks1totaalAantalScore16	1
vragenreeks1totaalAantalScore17	2
vragenreeks1totaalAantalScore18	1
vragenreeks1totaalAantalScore19	0
vragenreeks1totaalAantalScore20	0
