feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13hi40979	1	D	C	E	E	D	D	D	D	B	C	E	D	E	A	D	C	D	A	B	E	A	E	B	C	C	C	C	B	A	C	E	D	D	C	C	D	E	E	D	A
13hi27404	1	D	C	D	B	X	B	D	D	B	B	E	D	C	A	D	E	X	C	B	E	B	D	B	A	B	X	X	X	X	E	X	X	C	A	X	E	A	X	X	X
13hi90710	1	D	B	E	A	B	B	D	D	B	B	E	A	C	A	D	X	E	C	B	E	B	D	A	X	D	C	E	C	C	D	X	B	C	A	X	D	B	A	E	A
13hi21054	1	D	X	D	B	C	A	D	D	X	B	E	A	C	A	D	A	X	C	B	X	X	D	C	D	B	C	C	X	B	C	X	B	X	C	X	E	X	A	X	D
13hi87204	1	D	C	D	X	D	B	D	D	B	B	E	A	C	A	D	A	D	C	B	C	B	X	X	C	C	C	C	X	B	C	X	B	C	A	A	B	B	A	X	C
13hi56604	1	D	C	D	B	B	X	D	D	E	C	E	A	C	A	D	A	D	A	D	E	B	X	D	C	B	C	C	A	B	C	X	B	C	C	X	E	B	X	E	C
13hi26709	1	D	C	D	B	C	A	D	D	B	B	E	A	C	A	D	C	D	C	B	E	B	D	C	D	B	C	A	X	C	B	D	B	C	A	E	C	D	E	E	C
13hi37990	1	D	C	D	B	E	A	D	D	B	B	E	A	C	A	D	A	X	C	B	E	B	E	C	X	C	C	C	X	E	D	X	B	C	A	A	E	D	X	X	C
13hi30043	1	D	C	D	B	C	A	D	D	E	B	E	A	E	A	D	A	E	E	B	E	B	D	C	C	C	C	C	E	B	C	D	B	C	E	B	E	C	X	C	D
13hi69176	1	D	C	D	B	D	A	D	D	E	C	E	A	C	A	D	C	E	C	B	E	B	D	B	C	B	E	X	X	C	B	D	B	C	A	X	D	D	A	X	X
13hi82301	1	D	C	D	A	E	A	D	D	B	B	E	A	C	A	D	A	E	C	C	E	B	D	B	D	A	C	A	X	C	C	X	B	C	C	A	D	D	A	E	X
13hi18597	1	D	C	X	A	C	B	D	E	B	C	E	A	C	A	D	X	E	C	B	E	B	D	C	C	C	D	A	D	C	C	X	B	E	C	X	E	B	A	E	D
13hi13870	1	D	C	D	B	C	B	D	D	X	B	E	C	C	A	D	D	D	C	E	E	B	D	B	C	A	C	C	X	X	C	X	X	X	X	A	X	X	A	D	C
13hi64510	1	C	D	D	X	C	B	D	D	B	C	E	A	C	A	D	E	D	C	B	E	E	E	A	C	E	C	X	X	B	X	X	D	C	C	X	E	A	X	X	D
13hi76743	1	D	C	D	B	B	B	D	D	B	B	E	A	C	A	D	A	D	C	B	E	B	D	B	X	C	C	C	X	C	D	X	D	C	A	X	E	D	X	E	D
