feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13hi40979	1	0	5	5	0	4	<5	10	20	0	5	<15	15	25	0	4	<10
13hi27404	1	0	9	0	1	9	>=7	11	8	11	9	<15	20	8	12	9	<10
13hi90710	1	0	6	4	0	5	5-7	15	11	4	12	<15	21	15	4	9	<10
13hi21054	1	1	7	1	2	7	>=7	18	3	9	17	15-20	25	4	11	12	10-13
13hi87204	1	1	8	1	1	8	>=7	19	6	5	18	15-20	27	7	6	13	10-13
13hi56604	1	1	6	3	1	5	5-7	18	8	4	16	15-20	24	11	5	11	10-13
13hi26709	1	1	9	1	0	9	>=7	17	12	1	14	<15	26	13	1	11	10-13
13hi37990	1	1	8	2	0	8	>=7	20	4	6	19	15-20	28	6	6	13	10-13
13hi30043	1	1	8	2	0	8	>=7	20	9	1	18	15-20	28	11	1	13	10-13
13hi69176	1	0	6	4	0	5	5-7	16	9	5	14	<15	22	13	5	9	<10
13hi82301	1	1	7	3	0	6	5-7	19	8	3	17	15-20	26	11	3	12	10-13
13hi18597	1	1	6	3	1	5	5-7	18	9	3	16	15-20	24	12	4	11	10-13
13hi13870	1	1	9	0	1	9	>=7	14	8	8	12	<15	23	8	9	11	10-13
13hi64510	1	0	6	3	1	5	5-7	13	10	7	11	<15	19	13	8	8	<10
13hi76743	1	1	9	1	0	9	>=7	17	8	5	15	15-20	26	9	5	12	10-13
13hi89963	1	1	5	2	3	5	5-7	16	6	8	15	15-20	21	8	11	10	10-13
13hi79071	1	0	4	5	1	3	<5	8	9	13	6	<15	12	14	14	4	<10
13hi78812	1	1	8	2	0	8	>=7	19	8	3	17	15-20	27	10	3	12	10-13
13hi98018	1	0	6	4	0	5	5-7	9	14	7	6	<15	15	18	7	5	<10
13hi40072	1	1	8	2	0	8	>=7	15	14	1	12	<15	23	16	1	10	10-13
13hi88252	1	1	7	3	0	6	5-7	17	10	3	15	15-20	24	13	3	10	10-13
13hi43418	1	1	6	3	1	5	5-7	20	5	5	19	15-20	26	8	6	12	10-13
13hi45404	1	1	7	3	0	6	5-7	19	6	5	18	15-20	26	9	5	12	10-13
13hi64397	1	0	5	3	2	4	<5	15	10	5	13	<15	20	13	7	8	<10
13hi21541	1	1	8	2	0	8	>=7	17	6	7	16	15-20	25	8	7	12	10-13
13hi87007	1	1	6	3	1	5	5-7	21	6	3	20	15-20	27	9	4	12	10-13
13hi61669	1	1	8	2	0	8	>=7	15	6	9	14	<15	23	8	9	11	10-13
13hi49091	1	1	9	0	1	9	>=7	18	9	3	16	15-20	27	9	4	12	10-13
13hi72363	1	1	9	0	1	9	>=7	18	7	5	16	15-20	27	7	6	13	10-13
13hi32322	1	0	1	6	3	0	<5	20	7	3	18	15-20	21	13	6	9	<10
13hi23378	1	0	7	3	0	6	5-7	13	5	12	12	<15	20	8	12	9	<10
13hi25464	1	1	8	2	0	8	>=7	25	3	2	24	>=20	33	5	2	16	>=14
13hi87954	1	1	6	3	1	5	5-7	16	7	7	14	<15	22	10	8	10	10-13
13hi32271	1	1	8	2	0	8	>=7	24	3	3	23	>=20	32	5	3	15	>=14
13hi50071	1	0	5	4	1	4	<5	15	10	5	13	<15	20	14	6	8	<10
13hi94163	1	0	8	2	0	8	>=7	13	13	4	10	<15	21	15	4	9	<10
13hi20631	1	0	7	3	0	6	5-7	15	10	5	13	<15	22	13	5	9	<10
13hi68808	1	1	7	2	1	7	>=7	19	7	4	17	15-20	26	9	5	12	10-13
13hi96773	1	1	6	4	0	5	5-7	22	8	0	20	15-20	28	12	0	13	10-13
13hi46768	1	1	9	0	1	9	>=7	23	5	2	22	>=20	32	5	3	15	>=14
13hi69443	1	1	7	3	0	6	5-7	19	5	6	18	15-20	26	8	6	12	10-13
13hi27821	1	0	7	3	0	6	5-7	8	13	9	5	<15	15	16	9	6	<10
13hi44985	1	0	5	4	1	4	<5	16	8	6	14	<15	21	12	7	9	<10
13hi65734	1	0	3	7	0	1	<5	16	11	3	13	<15	19	18	3	7	<10
13hi65247	1	1	8	1	1	8	>=7	22	7	1	20	15-20	30	8	2	14	>=14
13hi36651	1	0	4	5	1	3	<5	16	12	2	13	<15	20	17	3	8	<10
13hi45269	1	0	8	2	0	8	>=7	14	14	2	11	<15	22	16	2	9	<10
13hi47057	1	1	10	0	0	10	>=7	22	5	3	21	>=20	32	5	3	15	>=14
13hi30430	1	0	6	4	0	5	5-7	14	11	5	11	<15	20	15	5	8	<10
13hi50759	1	1	9	1	0	9	>=7	24	3	3	23	>=20	33	4	3	16	>=14
13hi22793	1	0	5	5	0	4	<5	9	17	4	5	<15	14	22	4	4	<10
13hi70317	1	1	4	5	1	3	<5	20	7	3	18	15-20	24	12	4	11	10-13
