key	value
aantalDeelnemers	154
academisch-redenerenHoogsteScore	10
academisch-redenerenLaagsteScore	0
academisch-redenerenGemiddeldeScore	6.34
academisch-redenerenMediaanScore	6
academisch-redenerenAantalScore0	1
academisch-redenerenAantalScore1	4
academisch-redenerenAantalScore2	0
academisch-redenerenAantalScore3	12
academisch-redenerenAantalScore4	11
academisch-redenerenAantalScore5	31
academisch-redenerenAantalScore6	27
academisch-redenerenAantalScore7	6
academisch-redenerenAantalScore8	32
academisch-redenerenAantalScore9	22
academisch-redenerenAantalScore10	8
wiskundeHoogsteScore	30
wiskundeLaagsteScore	2
wiskundeGemiddeldeScore	14.47
wiskundeMediaanScore	15
wiskundeAantalScore0	0
wiskundeAantalScore1	0
wiskundeAantalScore2	1
wiskundeAantalScore3	2
wiskundeAantalScore4	2
wiskundeAantalScore5	4
wiskundeAantalScore6	4
wiskundeAantalScore7	3
wiskundeAantalScore8	6
wiskundeAantalScore9	4
wiskundeAantalScore10	6
wiskundeAantalScore11	6
wiskundeAantalScore12	12
wiskundeAantalScore13	15
wiskundeAantalScore14	12
wiskundeAantalScore15	8
wiskundeAantalScore16	20
wiskundeAantalScore17	8
wiskundeAantalScore18	8
wiskundeAantalScore19	6
wiskundeAantalScore20	8
wiskundeAantalScore21	3
wiskundeAantalScore22	5
wiskundeAantalScore23	7
wiskundeAantalScore24	3
wiskundeAantalScore25	0
wiskundeAantalScore26	0
wiskundeAantalScore27	0
wiskundeAantalScore28	0
wiskundeAantalScore29	0
wiskundeAantalScore30	1
totaalHoogsteScore	19
totaalLaagsteScore	3
totaalGemiddeldeScore	10.31
totaalMediaanScore	11
totaalAantalScore0	0
totaalAantalScore1	0
totaalAantalScore2	0
totaalAantalScore3	2
totaalAantalScore4	7
totaalAantalScore5	6
totaalAantalScore6	6
totaalAantalScore7	8
totaalAantalScore8	10
totaalAantalScore9	20
totaalAantalScore10	14
totaalAantalScore11	19
totaalAantalScore12	26
totaalAantalScore13	16
totaalAantalScore14	7
totaalAantalScore15	7
totaalAantalScore16	4
totaalAantalScore17	1
totaalAantalScore18	0
totaalAantalScore19	1
totaalAantalScore20	0
