vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD	aantalE
1	D	154	113	73	15	9	3	1	15	113	7
2	C	154	119	77	3	1	11	2	119	19	0
3	D	154	118	77	4	2	11	11	5	118	5
4	B	154	102	66	7	4	13	102	14	16	2
5	C	154	71	46	15	9	1	41	71	9	17
6	B	154	86	56	3	1	57	86	1	1	6
7	D	154	140	91	9	5	1	1	3	140	0
8	D	154	105	68	1	0	0	4	0	105	44
9	B	154	97	63	9	5	7	97	9	1	31
10	B	154	108	70	6	3	2	108	37	1	0
11	E	154	139	90	1	0	2	2	4	6	139
12	A	154	112	73	3	1	112	3	9	26	1
13	C	154	143	93	1	0	1	1	143	1	7
14	A	154	152	99	0	0	152	0	0	0	2
15	D	154	135	88	2	1	5	4	4	135	4
16	A	154	89	58	27	17	89	14	6	4	14
17	E	154	68	44	37	24	8	7	4	30	68
18	C	154	108	70	9	5	21	0	108	0	16
19	B	154	126	82	7	4	3	126	4	2	12
20	E	154	132	86	9	5	4	0	4	5	132
21	B	154	133	86	9	5	2	133	4	2	4
22	D	154	64	42	5	3	1	13	4	64	67
23	C	154	35	23	13	8	16	85	35	3	2
24	B	154	34	22	18	11	4	34	60	20	18
25	C	154	66	43	24	15	13	29	66	4	18
26	C	154	108	70	23	14	0	1	108	10	12
27	C	154	96	62	20	12	16	10	96	8	4
28	A	154	23	15	91	59	23	10	3	4	23
29	B	154	69	45	9	5	2	69	63	4	7
30	C	154	102	66	7	4	3	19	102	20	3
31	D	154	46	30	84	54	5	7	2	46	10
32	B	154	86	56	27	17	4	86	20	11	6
33	C	154	88	57	34	22	1	13	88	15	3
34	C	154	40	26	27	17	55	3	40	4	25
35	A	154	70	45	56	36	70	9	5	7	7
36	E	154	71	46	21	13	11	9	5	37	71
37	D	154	63	41	27	17	17	28	10	63	9
38	A	154	75	49	53	34	75	4	2	6	14
39	A	154	14	9	58	37	14	2	3	20	57
40	C	154	58	38	24	15	12	4	58	39	17
