key	value
aantalDeelnemers	154
academisch-redenerenHoogsteScore	10
academisch-redenerenLaagsteScore	0
academisch-redenerenGemiddeldeScore	6.3441558441558445
academisch-redenerenMediaanScore	6
academisch-redenerenAantalScore0	1
academisch-redenerenAantalScore1	4
academisch-redenerenAantalScore2	0
academisch-redenerenAantalScore3	12
academisch-redenerenAantalScore4	11
academisch-redenerenAantalScore5	31
academisch-redenerenAantalScore6	27
academisch-redenerenAantalScore7	6
academisch-redenerenAantalScore8	32
academisch-redenerenAantalScore9	22
academisch-redenerenAantalScore10	8
wiskundeHoogsteScore	30
wiskundeLaagsteScore	2
wiskundeGemiddeldeScore	14.467532467532468
wiskundeMediaanScore	15
wiskundeAantalScore0	0
wiskundeAantalScore1	0
wiskundeAantalScore2	1
wiskundeAantalScore3	2
wiskundeAantalScore4	2
wiskundeAantalScore5	4
wiskundeAantalScore6	4
wiskundeAantalScore7	3
wiskundeAantalScore8	6
wiskundeAantalScore9	4
wiskundeAantalScore10	6
wiskundeAantalScore11	6
wiskundeAantalScore12	12
wiskundeAantalScore13	15
wiskundeAantalScore14	12
wiskundeAantalScore15	8
wiskundeAantalScore16	20
wiskundeAantalScore17	8
wiskundeAantalScore18	8
wiskundeAantalScore19	6
wiskundeAantalScore20	8
wiskundeAantalScore21	3
wiskundeAantalScore22	5
wiskundeAantalScore23	7
wiskundeAantalScore24	3
wiskundeAantalScore25	0
wiskundeAantalScore26	0
wiskundeAantalScore27	0
wiskundeAantalScore28	0
wiskundeAantalScore29	0
wiskundeAantalScore30	1
totaalHoogsteScore	19
totaalLaagsteScore	3
totaalGemiddeldeScore	10.311688311688311
totaalMediaanScore	11
totaalAantalScore0	0
totaalAantalScore1	0
totaalAantalScore2	0
totaalAantalScore3	2
totaalAantalScore4	7
totaalAantalScore5	6
totaalAantalScore6	6
totaalAantalScore7	8
totaalAantalScore8	10
totaalAantalScore9	20
totaalAantalScore10	14
totaalAantalScore11	19
totaalAantalScore12	26
totaalAantalScore13	16
totaalAantalScore14	7
totaalAantalScore15	7
totaalAantalScore16	4
totaalAantalScore17	1
totaalAantalScore18	0
totaalAantalScore19	1
totaalAantalScore20	0
vragenreeks1academisch-redenerenHoogsteScore	10
vragenreeks1academisch-redenerenLaagsteScore	0
vragenreeks1academisch-redenerenGemiddeldeScore	6.3441558441558445
vragenreeks1academisch-redenerenMediaanScore	6
vragenreeks1academisch-redenerenAantalScore0	1
vragenreeks1academisch-redenerenAantalScore1	4
vragenreeks1academisch-redenerenAantalScore2	0
vragenreeks1academisch-redenerenAantalScore3	12
vragenreeks1academisch-redenerenAantalScore4	11
vragenreeks1academisch-redenerenAantalScore5	31
vragenreeks1academisch-redenerenAantalScore6	27
vragenreeks1academisch-redenerenAantalScore7	6
vragenreeks1academisch-redenerenAantalScore8	32
vragenreeks1academisch-redenerenAantalScore9	22
vragenreeks1academisch-redenerenAantalScore10	8
vragenreeks1wiskundeHoogsteScore	30
vragenreeks1wiskundeLaagsteScore	2
vragenreeks1wiskundeGemiddeldeScore	14.467532467532468
vragenreeks1wiskundeMediaanScore	15
vragenreeks1wiskundeAantalScore0	0
vragenreeks1wiskundeAantalScore1	0
vragenreeks1wiskundeAantalScore2	1
vragenreeks1wiskundeAantalScore3	2
vragenreeks1wiskundeAantalScore4	2
vragenreeks1wiskundeAantalScore5	4
vragenreeks1wiskundeAantalScore6	4
vragenreeks1wiskundeAantalScore7	3
vragenreeks1wiskundeAantalScore8	6
vragenreeks1wiskundeAantalScore9	4
vragenreeks1wiskundeAantalScore10	6
vragenreeks1wiskundeAantalScore11	6
vragenreeks1wiskundeAantalScore12	12
vragenreeks1wiskundeAantalScore13	15
vragenreeks1wiskundeAantalScore14	12
vragenreeks1wiskundeAantalScore15	8
vragenreeks1wiskundeAantalScore16	20
vragenreeks1wiskundeAantalScore17	8
vragenreeks1wiskundeAantalScore18	8
vragenreeks1wiskundeAantalScore19	6
vragenreeks1wiskundeAantalScore20	8
vragenreeks1wiskundeAantalScore21	3
vragenreeks1wiskundeAantalScore22	5
vragenreeks1wiskundeAantalScore23	7
vragenreeks1wiskundeAantalScore24	3
vragenreeks1wiskundeAantalScore25	0
vragenreeks1wiskundeAantalScore26	0
vragenreeks1wiskundeAantalScore27	0
vragenreeks1wiskundeAantalScore28	0
vragenreeks1wiskundeAantalScore29	0
vragenreeks1wiskundeAantalScore30	1
vragenreeks1totaalHoogsteScore	19
vragenreeks1totaalLaagsteScore	3
vragenreeks1totaalGemiddeldeScore	10.311688311688311
vragenreeks1totaalMediaanScore	11
vragenreeks1totaalAantalScore0	0
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	0
vragenreeks1totaalAantalScore3	2
vragenreeks1totaalAantalScore4	7
vragenreeks1totaalAantalScore5	6
vragenreeks1totaalAantalScore6	6
vragenreeks1totaalAantalScore7	8
vragenreeks1totaalAantalScore8	10
vragenreeks1totaalAantalScore9	20
vragenreeks1totaalAantalScore10	14
vragenreeks1totaalAantalScore11	19
vragenreeks1totaalAantalScore12	26
vragenreeks1totaalAantalScore13	16
vragenreeks1totaalAantalScore14	7
vragenreeks1totaalAantalScore15	7
vragenreeks1totaalAantalScore16	4
vragenreeks1totaalAantalScore17	1
vragenreeks1totaalAantalScore18	0
vragenreeks1totaalAantalScore19	1
vragenreeks1totaalAantalScore20	0
