vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD	aantalE
1	D	154	113	15	3	1	15	113	7
2	C	154	119	3	11	2	119	19	0
3	D	154	118	4	11	11	5	118	5
4	B	154	102	7	13	102	14	16	2
5	C	154	71	15	1	41	71	9	17
6	B	154	86	3	57	86	1	1	6
7	D	154	140	9	1	1	3	140	0
8	D	154	105	1	0	4	0	105	44
9	B	154	97	9	7	97	9	1	31
10	B	154	108	6	2	108	37	1	0
11	E	154	139	1	2	2	4	6	139
12	A	154	112	3	112	3	9	26	1
13	C	154	143	1	1	1	143	1	7
14	A	154	152	0	152	0	0	0	2
15	D	154	135	2	5	4	4	135	4
16	A	154	89	27	89	14	6	4	14
17	E	154	68	37	8	7	4	30	68
18	C	154	108	9	21	0	108	0	16
19	B	154	126	7	3	126	4	2	12
20	E	154	132	9	4	0	4	5	132
21	B	154	133	9	2	133	4	2	4
22	D	154	64	5	1	13	4	64	67
23	C	154	35	13	16	85	35	3	2
24	B	154	34	18	4	34	60	20	18
25	C	154	66	24	13	29	66	4	18
26	C	154	108	23	0	1	108	10	12
27	C	154	96	20	16	10	96	8	4
28	A	154	23	91	23	10	3	4	23
29	B	154	69	9	2	69	63	4	7
30	C	154	102	7	3	19	102	20	3
31	D	154	46	84	5	7	2	46	10
32	B	154	86	27	4	86	20	11	6
33	C	154	88	34	1	13	88	15	3
34	C	154	40	27	55	3	40	4	25
35	A	154	70	56	70	9	5	7	7
36	E	154	71	21	11	9	5	37	71
37	D	154	63	27	17	28	10	63	9
38	A	154	75	53	75	4	2	6	14
39	A	154	14	58	14	2	3	20	57
40	C	154	58	24	12	4	58	39	17
