feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13hw54157	1	0	7	3	0	6	5-7	16	14	0	13	<15	23	17	0	9	<10
13hw84410	1	1	4	6	0	3	<5	22	6	2	21	>=20	26	12	2	12	10-13
13hw41083	1	0	3	6	1	2	<5	6	14	10	3	<15	9	20	11	2	<10
13hw51354	1	0	4	5	1	3	<5	11	12	7	8	<15	15	17	8	5	<10
13hw38522	1	0	8	2	0	8	>=7	5	18	7	1	<15	13	20	7	4	<10
13hw30607	1	0	6	3	1	5	5-7	8	13	9	5	<15	14	16	10	5	<10
13hw43672	1	1	8	2	0	8	>=7	15	11	4	12	<15	23	13	4	10	10-13
13hw66494	1	0	7	2	1	7	>=7	14	10	6	12	<15	21	12	7	9	<10
13hw85777	1	1	5	5	0	4	<5	19	6	5	18	15-20	24	11	5	11	10-13
13hw27009	1	1	7	3	0	6	5-7	16	13	1	13	<15	23	16	1	10	10-13
13hw89842	1	0	5	5	0	4	<5	8	16	6	4	<15	13	21	6	4	<10
13hw13691	1	0	3	6	1	2	<5	12	6	12	11	<15	15	12	13	6	<10
13hw46298	1	0	7	3	0	6	5-7	6	18	6	2	<15	13	21	6	4	<10
13hw11618	1	0	5	5	0	4	<5	6	17	7	2	<15	11	22	7	3	<10
13hw43710	1	0	6	4	0	5	5-7	6	23	1	0	<15	12	27	1	3	<10
13hw81807	1	0	2	7	1	0	<5	12	6	12	11	<15	14	13	13	5	<10
13hw30260	1	0	4	6	0	3	<5	2	27	1	0	<15	6	33	1	0	<10
13hw11403	1	0	3	5	2	2	<5	3	17	10	0	<15	6	22	12	0	<10
13hw39208	1	1	8	2	0	8	>=7	14	6	10	13	<15	22	8	10	10	10-13
13hw24355	1	0	5	5	0	4	<5	5	25	0	0	<15	10	30	0	1	<10
13hw20132	1	0	6	4	0	5	5-7	10	17	3	6	<15	16	21	3	5	<10
13hw21521	1	0	7	3	0	6	5-7	11	17	2	7	<15	18	20	2	7	<10
13hw39573	1	1	7	1	2	7	>=7	23	5	2	22	>=20	30	6	4	14	>=14
13hw44588	1	0	5	5	0	4	<5	14	9	7	12	<15	19	14	7	8	<10
13hw48479	1	0	7	3	0	6	5-7	13	12	5	10	<15	20	15	5	8	<10
13hw79219	1	1	9	0	1	9	>=7	16	11	3	13	<15	25	11	4	11	10-13
13hw80900	1	1	6	3	1	5	5-7	21	5	4	20	15-20	27	8	5	13	10-13
13hw31259	1	0	6	3	1	5	5-7	9	10	11	7	<15	15	13	12	6	<10
13hw71585	1	0	7	3	0	6	5-7	9	16	5	5	<15	16	19	5	6	<10
13hw11517	1	0	6	4	0	5	5-7	12	12	6	9	<15	18	16	6	7	<10
13hw92639	1	1	6	4	0	5	5-7	17	10	3	15	15-20	23	14	3	10	10-13
13hw62112	1	0	4	5	1	3	<5	11	12	7	8	<15	15	17	8	5	<10
13hw59030	1	0	5	5	0	4	<5	13	8	9	11	<15	18	13	9	7	<10
13hw79915	1	0	9	1	0	9	>=7	13	16	1	9	<15	22	17	1	9	<10
13hw42323	1	0	2	7	1	0	<5	6	14	10	3	<15	8	21	11	1	<10
13hw92049	1	0	6	3	1	5	5-7	12	10	8	10	<15	18	13	9	7	<10
13hw48646	1	0	4	6	0	3	<5	10	15	5	6	<15	14	21	5	4	<10
13hw64352	1	0	5	5	0	4	<5	10	10	10	8	<15	15	15	10	6	<10
13hw74687	1	0	6	3	1	5	5-7	4	22	4	0	<15	10	25	5	2	<10
13hw20077	1	1	8	1	1	8	>=7	16	13	1	13	<15	24	14	2	10	10-13
13hw14115	1	0	6	4	0	5	5-7	14	13	3	11	<15	20	17	3	8	<10
13hw66020	1	0	5	4	1	4	<5	5	23	2	0	<15	10	27	3	2	<10
13hw23825	1	1	9	1	0	9	>=7	24	6	0	23	>=20	33	7	0	16	>=14
13hw51666	1	0	6	4	0	5	5-7	15	12	3	12	<15	21	16	3	9	<10
