key	value
aantalDeelnemers	86
academisch-redenerenHoogsteScore	10
academisch-redenerenLaagsteScore	0
academisch-redenerenGemiddeldeScore	4.99
academisch-redenerenMediaanScore	5
academisch-redenerenAantalScore0	4
academisch-redenerenAantalScore1	1
academisch-redenerenAantalScore2	3
academisch-redenerenAantalScore3	10
academisch-redenerenAantalScore4	18
academisch-redenerenAantalScore5	19
academisch-redenerenAantalScore6	12
academisch-redenerenAantalScore7	6
academisch-redenerenAantalScore8	7
academisch-redenerenAantalScore9	5
academisch-redenerenAantalScore10	1
wiskundeHoogsteScore	23
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	8.28
wiskundeMediaanScore	8
wiskundeAantalScore0	12
wiskundeAantalScore1	2
wiskundeAantalScore2	3
wiskundeAantalScore3	6
wiskundeAantalScore4	8
wiskundeAantalScore5	5
wiskundeAantalScore6	3
wiskundeAantalScore7	4
wiskundeAantalScore8	3
wiskundeAantalScore9	2
wiskundeAantalScore10	3
wiskundeAantalScore11	5
wiskundeAantalScore12	9
wiskundeAantalScore13	6
wiskundeAantalScore14	3
wiskundeAantalScore15	2
wiskundeAantalScore16	1
wiskundeAantalScore17	0
wiskundeAantalScore18	3
wiskundeAantalScore19	0
wiskundeAantalScore20	2
wiskundeAantalScore21	1
wiskundeAantalScore22	2
wiskundeAantalScore23	1
wiskundeAantalScore24	0
wiskundeAantalScore25	0
wiskundeAantalScore26	0
wiskundeAantalScore27	0
wiskundeAantalScore28	0
wiskundeAantalScore29	0
wiskundeAantalScore30	0
totaalHoogsteScore	16
totaalLaagsteScore	0
totaalGemiddeldeScore	6.44
totaalMediaanScore	6
totaalAantalScore0	3
totaalAantalScore1	5
totaalAantalScore2	5
totaalAantalScore3	5
totaalAantalScore4	10
totaalAantalScore5	12
totaalAantalScore6	7
totaalAantalScore7	6
totaalAantalScore8	7
totaalAantalScore9	7
totaalAantalScore10	8
totaalAantalScore11	3
totaalAantalScore12	3
totaalAantalScore13	1
totaalAantalScore14	2
totaalAantalScore15	1
totaalAantalScore16	1
totaalAantalScore17	0
totaalAantalScore18	0
totaalAantalScore19	0
totaalAantalScore20	0
