vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD	aantalE
1	D	86	49	57	4	4	0	1	19	49	13
2	C	86	55	64	1	1	8	1	55	18	3
3	D	86	54	63	1	1	13	11	5	54	2
4	B	86	51	59	2	2	9	51	12	8	4
5	C	86	27	31	14	16	2	27	27	8	8
6	B	86	56	65	1	1	24	56	0	0	5
7	D	86	74	86	7	8	1	1	1	74	2
8	D	86	47	55	1	1	0	4	1	47	33
9	B	86	46	53	4	4	10	46	6	3	17
10	B	86	40	47	2	2	2	40	39	3	0
11	E	86	51	59	8	9	6	5	8	8	51
12	A	86	33	38	20	23	33	9	6	14	4
13	C	86	49	57	6	6	6	3	49	6	16
14	D	86	18	21	21	24	13	3	25	18	6
15	A	86	53	62	2	2	53	14	2	10	5
16	E	86	70	81	0	0	1	8	7	0	70
17	A	86	33	38	14	16	33	12	16	4	7
18	E	86	36	42	19	22	8	14	6	3	36
19	A	86	17	20	36	41	17	8	7	6	12
20	C	86	19	22	31	36	3	4	19	3	26
21	C	86	39	45	21	24	8	2	39	9	7
22	E	86	58	67	9	10	6	1	7	5	58
23	E	86	39	45	9	10	24	1	7	6	39
24	D	86	4	5	29	33	19	14	0	4	20
25	A	86	32	37	26	30	32	6	7	1	14
26	B	86	28	33	8	9	37	28	2	3	8
27	B	86	18	21	36	41	6	18	8	13	5
28	E	86	13	15	1	1	13	4	8	47	13
29	D	86	42	49	16	18	5	9	9	42	5
30	C	86	26	30	8	9	2	17	26	19	14
31	D	86	20	23	2	2	0	17	2	20	45
32	C	86	26	30	19	22	13	7	26	13	8
33	E	86	30	35	7	8	10	15	17	7	30
34	A	86	7	8	27	31	7	3	29	7	13
35	E	86	22	26	16	18	5	6	21	16	22
36	D	86	36	42	10	11	12	10	12	36	6
37	D	86	69	80	0	0	3	4	10	69	0
38	D	86	33	38	8	9	3	7	27	33	8
39	D	86	21	24	21	24	8	4	27	21	5
40	C	86	29	34	6	6	29	13	29	4	5
