ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27000	1	D	C	D	B	D	A	D	D	B	C	E	A	C	A	B	E	C	B	A	C	C	E	E	E	A	E	D	D	D	D	D	C	C	C	D	D	D	D	A	A
25679	1	D	C	D	D	B	A	A	E	B	C	E	A	C	D	A	E	A	E	X	E	C	E	E	D	A	B	B	D	B	C	X	C	E	C	C	B	D	D	D	C
26948	1	X	C	D	D	D	E	D	E	E	C	D	X	X	X	E	E	X	B	X	D	X	E	E	X	E	E	C	D	X	D	E	X	E	C	E	X	D	C	C	B
26024	1	D	E	A	A	B	B	X	D	B	C	E	B	C	C	A	E	C	X	D	X	X	E	C	X	A	A	X	D	D	B	E	B	E	C	E	X	D	X	D	A
27401	1	D	C	D	B	C	A	C	D	B	B	D	X	X	C	D	E	E	E	E	X	D	E	X	B	X	D	C	B	X	E	E	X	C	C	E	C	D	C	C	A
25297	1	X	A	D	B	C	A	D	D	B	C	E	A	C	X	A	C	E	E	X	D	A	E	X	A	X	B	X	D	X	D	E	D	X	X	X	C	D	C	C	A
26902	1	D	C	D	B	C	A	D	D	B	C	E	X	E	C	B	E	X	E	X	C	C	C	E	A	X	B	D	D	D	C	B	C	E	C	E	D	D	A	C	C
24811	1	D	C	D	B	D	A	D	D	X	B	E	D	X	D	A	E	C	B	X	X	E	D	X	E	A	B	X	D	D	C	C	C	E	C	X	D	D	D	D	A
23882	1	D	C	D	B	E	A	D	E	A	C	E	A	C	A	A	E	C	E	X	X	X	E	E	X	A	B	D	E	D	C	E	C	E	E	C	D	D	D	X	C
24315	1	D	C	D	D	C	A	D	D	E	B	E	A	C	A	B	E	A	E	X	E	C	E	E	A	E	B	B	D	D	E	E	E	E	C	C	C	D	B	D	C
24594	1	D	D	D	C	A	A	D	B	B	B	E	X	D	C	A	C	A	X	D	E	X	E	A	X	X	B	X	D	D	E	E	D	D	C	C	B	D	C	D	B
27352	1	C	C	A	B	B	E	D	E	X	C	X	X	C	X	A	E	X	E	X	X	C	E	E	B	X	E	X	A	X	C	E	X	B	X	X	D	D	D	C	C
27217	1	E	C	D	D	C	B	D	E	B	B	X	B	E	E	C	E	X	X	D	A	C	E	A	E	X	A	X	D	B	D	B	C	A	X	D	A	D	D	C	E
27296	1	E	C	A	E	C	B	D	D	E	C	X	B	E	E	B	B	C	X	X	E	B	E	E	X	C	A	X	D	B	C	E	X	A	X	D	E	D	D	C	C
26711	1	C	C	B	B	E	B	D	D	B	C	A	X	C	A	D	E	D	C	D	E	D	C	A	E	A	A	A	D	B	E	B	D	B	B	E	A	D	E	D	A
25927	1	D	D	A	C	E	A	B	D	E	X	E	A	E	X	A	E	C	B	X	X	X	X	E	X	A	X	X	C	D	X	D	D	E	X	X	D	D	B	X	C
27483	1	E	D	C	B	D	B	D	E	D	B	B	D	E	A	B	E	B	X	E	E	D	E	D	E	E	A	D	D	C	E	E	E	B	B	D	C	B	C	A	A
26970	1	C	D	B	B	X	E	D	D	X	C	B	X	X	X	E	B	E	X	C	B	X	E	C	X	C	A	X	A	E	E	X	X	A	E	E	X	D	C	C	B
27264	1	D	C	D	B	B	B	D	D	B	C	E	D	C	X	A	E	A	E	X	X	C	E	E	X	X	A	X	C	D	B	B	X	E	X	E	D	D	X	X	B
24339	1	C	E	D	B	B	B	D	E	C	B	D	A	E	C	D	B	A	C	E	E	C	C	A	B	C	E	C	D	B	E	D	A	C	D	A	C	D	C	A	B
25484	1	C	C	D	A	C	B	D	D	E	C	E	C	C	A	D	E	B	E	B	X	C	E	A	B	A	A	C	D	C	D	E	X	C	X	D	C	D	D	C	C
27422	1	E	C	D	C	C	B	D	D	C	B	E	A	B	C	A	E	C	E	C	E	D	D	C	A	C	A	X	D	D	B	B	E	E	D	E	D	D	D	E	X
27067	1	X	C	D	B	C	B	X	D	B	C	E	A	C	A	A	E	A	E	A	C	C	E	E	D	A	B	B	E	D	C	B	D	C	A	X	X	D	D	D	A
27235	1	D	C	D	D	E	B	E	E	B	C	E	A	C	C	A	E	X	X	X	A	C	E	C	B	A	B	B	D	X	C	B	X	A	X	X	D	D	D	B	A
27487	1	D	C	D	B	B	B	D	E	B	C	E	X	C	D	A	E	A	E	D	C	X	E	E	E	A	A	X	D	D	B	B	X	C	C	X	B	C	A	D	A
26953	1	D	C	D	B	X	B	D	D	B	B	E	A	C	D	A	E	A	E	X	E	A	E	E	X	B	A	B	E	D	B	E	B	B	E	C	C	D	D	X	C
24240	1	D	A	D	B	C	A	X	D	B	C	E	A	C	D	A	E	B	E	A	C	C	E	E	X	A	B	B	D	D	C	B	C	E	X	C	X	D	X	D	A
25814	1	C	C	D	B	B	B	X	E	B	B	E	X	C	B	A	E	D	X	C	X	C	E	X	X	X	B	X	D	C	B	E	C	X	X	C	X	D	B	C	X
26098	1	C	C	A	B	B	B	D	D	B	B	D	A	C	X	A	E	A	B	X	X	A	E	A	E	X	A	B	A	X	D	E	A	D	C	A	D	A	C	D	A
26420	1	C	C	A	B	C	B	D	D	D	C	E	A	E	D	X	E	B	E	X	X	X	E	D	B	X	X	B	A	E	C	D	A	C	C	E	B	D	C	C	C
26203	1	D	C	D	B	D	A	D	E	A	B	E	C	C	X	A	E	A	E	A	E	C	E	E	X	A	A	E	D	B	D	D	C	C	C	B	D	D	D	X	C
26341	1	C	B	B	B	X	B	D	E	A	B	E	B	C	X	A	E	A	B	B	X	A	E	E	X	A	X	X	D	A	C	E	D	X	E	B	D	C	D	E	X
27292	1	C	D	D	B	B	A	D	D	E	B	C	X	E	D	A	E	A	E	X	X	X	E	E	X	B	X	X	E	X	D	C	X	E	C	D	D	D	D	C	C
27318	1	D	D	D	B	C	B	D	D	B	B	E	D	C	C	A	E	B	E	A	E	A	A	E	X	A	B	B	A	D	E	E	D	E	C	A	B	D	C	C	A
26985	1	E	D	A	C	X	E	D	D	C	C	X	C	E	X	A	E	B	X	E	X	C	E	A	X	E	B	X	D	E	B	B	X	A	X	C	C	D	C	X	X
27089	1	E	A	A	B	X	B	D	D	B	B	X	D	C	A	A	E	A	X	B	X	C	E	A	X	A	X	X	D	C	D	D	C	X	D	D	D	D	C	X	C
27068	1	C	C	D	E	B	A	D	D	E	D	E	E	E	C	A	E	B	C	E	E	C	X	X	E	X	E	X	D	D	C	E	A	B	E	A	D	D	D	X	C
27126	1	D	D	C	D	B	B	D	D	E	B	E	A	C	X	A	E	A	B	X	X	D	E	E	X	X	A	D	E	X	C	E	E	X	X	X	C	B	C	X	D
25695	1	E	C	D	B	D	B	X	D	B	C	C	D	C	C	C	E	A	A	B	E	D	X	A	A	X	B	X	A	C	X	E	D	B	D	D	A	C	C	E	B
27299	1	D	C	D	B	X	B	D	D	B	C	D	C	C	D	A	E	C	A	A	C	X	E	A	B	A	B	C	E	D	D	D	D	B	C	E	D	C	D	C	C
26313	1	B	D	D	B	C	A	D	E	B	B	E	D	C	X	A	E	A	E	A	C	C	E	A	E	E	A	A	C	X	C	D	D	C	X	B	D	D	C	B	A
24542	1	E	C	D	A	X	B	D	E	B	C	A	D	B	E	D	E	E	C	E	E	E	E	A	E	E	A	E	D	B	B	E	A	D	X	E	A	D	D	X	D
25104	1	D	C	D	B	C	B	D	E	B	B	E	A	C	D	A	E	A	E	A	C	C	E	E	A	B	B	D	E	D	D	E	C	E	A	C	D	D	D	D	C
26972	1	D	D	B	B	C	B	D	D	E	C	E	A	C	X	A	E	C	B	X	E	C	E	E	E	A	E	B	D	X	D	D	C	E	E	C	D	D	C	C	A
27050	1	D	C	D	C	X	B	D	D	B	A	A	X	E	C	X	E	X	B	X	E	X	X	D	X	X	X	X	E	D	X	E	X	B	X	E	X	D	X	X	A
24254	1	C	C	D	C	C	B	D	E	A	B	B	B	C	C	A	E	A	A	E	E	X	C	E	B	E	A	D	D	A	C	E	C	D	E	D	D	D	B	A	B
