ijkID	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	totaalJuist	totaalFout	totaalBlanco	totaalScore
27000	1	0	7	3	0	6	16	14	0	13	23	17	0	9
25679	1	1	4	6	0	3	22	6	2	21	26	12	2	12
26948	1	0	3	6	1	2	6	14	10	3	9	20	11	2
26024	1	0	4	5	1	3	11	12	7	8	15	17	8	5
27401	1	0	8	2	0	8	5	18	7	1	13	20	7	4
25297	1	0	6	3	1	5	8	13	9	5	14	16	10	5
26902	1	1	8	2	0	8	15	11	4	12	23	13	4	10
24811	1	0	7	2	1	7	14	10	6	12	21	12	7	9
23882	1	1	5	5	0	4	19	6	5	18	24	11	5	11
24315	1	1	7	3	0	6	16	13	1	13	23	16	1	10
24594	1	0	5	5	0	4	8	16	6	4	13	21	6	4
27352	1	0	3	6	1	2	12	6	12	11	15	12	13	6
27217	1	0	7	3	0	6	6	18	6	2	13	21	6	4
27296	1	0	5	5	0	4	6	17	7	2	11	22	7	3
26711	1	0	6	4	0	5	6	23	1	0	12	27	1	3
25927	1	0	2	7	1	0	12	6	12	11	14	13	13	5
27483	1	0	4	6	0	3	2	27	1	0	6	33	1	0
26970	1	0	3	5	2	2	3	17	10	0	6	22	12	0
27264	1	1	8	2	0	8	14	6	10	13	22	8	10	10
24339	1	0	5	5	0	4	5	25	0	0	10	30	0	1
25484	1	0	6	4	0	5	10	17	3	6	16	21	3	5
27422	1	0	7	3	0	6	11	17	2	7	18	20	2	7
27067	1	1	7	1	2	7	23	5	2	22	30	6	4	14
27235	1	0	5	5	0	4	14	9	7	12	19	14	7	8
27487	1	0	7	3	0	6	13	12	5	10	20	15	5	8
26953	1	1	9	0	1	9	16	11	3	13	25	11	4	11
24240	1	1	6	3	1	5	21	5	4	20	27	8	5	13
25814	1	0	6	3	1	5	9	10	11	7	15	13	12	6
26098	1	0	7	3	0	6	9	16	5	5	16	19	5	6
26420	1	0	6	4	0	5	12	12	6	9	18	16	6	7
26203	1	1	6	4	0	5	17	10	3	15	23	14	3	10
26341	1	0	4	5	1	3	11	12	7	8	15	17	8	5
27292	1	0	5	5	0	4	13	8	9	11	18	13	9	7
27318	1	0	9	1	0	9	13	16	1	9	22	17	1	9
26985	1	0	2	7	1	0	6	14	10	3	8	21	11	1
27089	1	0	6	3	1	5	12	10	8	10	18	13	9	7
27068	1	0	4	6	0	3	10	15	5	6	14	21	5	4
27126	1	0	5	5	0	4	10	10	10	8	15	15	10	6
25695	1	0	6	3	1	5	4	22	4	0	10	25	5	2
27299	1	1	8	1	1	8	16	13	1	13	24	14	2	10
26313	1	0	6	4	0	5	14	13	3	11	20	17	3	8
24542	1	0	5	4	1	4	5	23	2	0	10	27	3	2
25104	1	1	9	1	0	9	24	6	0	23	33	7	0	16
26972	1	0	6	4	0	5	15	12	3	12	21	16	3	9
27050	1	0	7	2	1	7	5	9	16	3	12	11	17	5
24254	1	0	6	4	0	5	9	20	1	4	15	24	1	5
24756	1	0	5	4	1	4	6	17	7	2	11	21	8	3
26713	1	0	6	4	0	5	14	9	7	12	20	13	7	8
27083	1	0	6	4	0	5	10	12	8	7	16	16	8	6
27168	1	0	7	3	0	6	8	17	5	4	15	20	5	5
25851	1	0	6	3	1	5	15	8	7	13	21	11	8	9
24888	1	0	6	4	0	5	3	24	3	0	9	28	3	1
26422	1	0	5	3	2	4	15	11	4	12	20	14	6	8
25555	1	0	4	5	1	3	14	14	2	11	18	19	3	7
27238	1	0	4	6	0	3	9	16	5	5	13	22	5	4
26078	1	0	5	4	1	4	4	23	3	0	9	27	4	1
26365	1	0	4	6	0	3	4	23	3	0	8	29	3	0
25898	1	0	2	8	0	0	8	20	2	3	10	28	2	2
26419	1	0	7	3	0	6	5	23	2	0	12	26	2	3
24099	1	0	5	5	0	4	8	14	8	5	13	19	8	4
23970	1	0	5	5	0	4	2	16	12	0	7	21	12	1
26591	1	0	7	2	1	7	7	12	11	4	14	14	12	5
26096	1	0	6	4	0	5	9	16	5	5	15	20	5	5
27252	1	0	8	2	0	8	8	17	5	4	16	19	5	6
26627	1	0	7	3	0	6	7	13	10	4	14	16	10	5
24837	1	0	7	2	1	7	15	13	2	12	22	15	3	9
25506	1	1	9	1	0	9	23	4	3	22	32	5	3	15
26871	1	0	7	3	0	6	6	21	3	1	13	24	3	4
25703	1	1	8	2	0	8	21	5	4	20	29	7	4	14
24917	1	0	4	2	4	4	11	18	1	7	15	20	5	5
25563	1	1	7	3	0	6	19	6	5	18	26	9	5	12
27344	1	0	2	7	1	0	17	7	6	15	19	14	7	8
24102	1	0	5	5	0	4	13	13	4	10	18	18	4	7
24570	1	1	10	0	0	10	16	9	5	14	26	9	5	12
24093	1	1	6	4	0	5	19	11	0	16	25	15	0	11
27237	1	0	5	5	0	4	8	17	5	4	13	22	5	4
25450	1	0	8	2	0	8	4	17	9	0	12	19	9	4
26765	1	0	7	3	0	6	10	16	4	6	17	19	4	6
27224	1	0	5	5	0	4	17	13	0	14	22	18	0	9
26655	1	0	2	6	2	1	8	15	7	4	10	21	9	2
26386	1	0	6	4	0	5	8	20	2	3	14	24	2	4
27306	1	1	9	1	0	9	15	12	3	12	24	13	3	10
24538	1	1	4	5	1	3	20	10	0	18	24	15	1	10
26609	1	1	7	2	1	7	16	8	6	14	23	10	7	10
25777	1	0	4	6	0	3	8	22	0	3	12	28	0	3
27481	1	0	5	5	0	4	13	6	11	12	18	11	11	8
