key	value
aantalDeelnemers	86
academisch-redenerenHoogsteScore	10
academisch-redenerenLaagsteScore	0
academisch-redenerenGemiddeldeScore	4.988372093023256
academisch-redenerenMediaanScore	5
academisch-redenerenAantalScore0	4
academisch-redenerenAantalScore1	1
academisch-redenerenAantalScore2	3
academisch-redenerenAantalScore3	10
academisch-redenerenAantalScore4	18
academisch-redenerenAantalScore5	19
academisch-redenerenAantalScore6	12
academisch-redenerenAantalScore7	6
academisch-redenerenAantalScore8	7
academisch-redenerenAantalScore9	5
academisch-redenerenAantalScore10	1
wiskundeHoogsteScore	23
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	8.279069767441861
wiskundeMediaanScore	8
wiskundeAantalScore0	12
wiskundeAantalScore1	2
wiskundeAantalScore2	3
wiskundeAantalScore3	6
wiskundeAantalScore4	8
wiskundeAantalScore5	5
wiskundeAantalScore6	3
wiskundeAantalScore7	4
wiskundeAantalScore8	3
wiskundeAantalScore9	2
wiskundeAantalScore10	3
wiskundeAantalScore11	5
wiskundeAantalScore12	9
wiskundeAantalScore13	6
wiskundeAantalScore14	3
wiskundeAantalScore15	2
wiskundeAantalScore16	1
wiskundeAantalScore17	0
wiskundeAantalScore18	3
wiskundeAantalScore19	0
wiskundeAantalScore20	2
wiskundeAantalScore21	1
wiskundeAantalScore22	2
wiskundeAantalScore23	1
wiskundeAantalScore24	0
wiskundeAantalScore25	0
wiskundeAantalScore26	0
wiskundeAantalScore27	0
wiskundeAantalScore28	0
wiskundeAantalScore29	0
wiskundeAantalScore30	0
totaalHoogsteScore	16
totaalLaagsteScore	0
totaalGemiddeldeScore	6.441860465116279
totaalMediaanScore	6
totaalAantalScore0	3
totaalAantalScore1	5
totaalAantalScore2	5
totaalAantalScore3	5
totaalAantalScore4	10
totaalAantalScore5	12
totaalAantalScore6	7
totaalAantalScore7	6
totaalAantalScore8	7
totaalAantalScore9	7
totaalAantalScore10	8
totaalAantalScore11	3
totaalAantalScore12	3
totaalAantalScore13	1
totaalAantalScore14	2
totaalAantalScore15	1
totaalAantalScore16	1
totaalAantalScore17	0
totaalAantalScore18	0
totaalAantalScore19	0
totaalAantalScore20	0
vragenreeks1academisch-redenerenHoogsteScore	10
vragenreeks1academisch-redenerenLaagsteScore	0
vragenreeks1academisch-redenerenGemiddeldeScore	4.988372093023256
vragenreeks1academisch-redenerenMediaanScore	5
vragenreeks1academisch-redenerenAantalScore0	4
vragenreeks1academisch-redenerenAantalScore1	1
vragenreeks1academisch-redenerenAantalScore2	3
vragenreeks1academisch-redenerenAantalScore3	10
vragenreeks1academisch-redenerenAantalScore4	18
vragenreeks1academisch-redenerenAantalScore5	19
vragenreeks1academisch-redenerenAantalScore6	12
vragenreeks1academisch-redenerenAantalScore7	6
vragenreeks1academisch-redenerenAantalScore8	7
vragenreeks1academisch-redenerenAantalScore9	5
vragenreeks1academisch-redenerenAantalScore10	1
vragenreeks1wiskundeHoogsteScore	23
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	8.279069767441861
vragenreeks1wiskundeMediaanScore	8
vragenreeks1wiskundeAantalScore0	12
vragenreeks1wiskundeAantalScore1	2
vragenreeks1wiskundeAantalScore2	3
vragenreeks1wiskundeAantalScore3	6
vragenreeks1wiskundeAantalScore4	8
vragenreeks1wiskundeAantalScore5	5
vragenreeks1wiskundeAantalScore6	3
vragenreeks1wiskundeAantalScore7	4
vragenreeks1wiskundeAantalScore8	3
vragenreeks1wiskundeAantalScore9	2
vragenreeks1wiskundeAantalScore10	3
vragenreeks1wiskundeAantalScore11	5
vragenreeks1wiskundeAantalScore12	9
vragenreeks1wiskundeAantalScore13	6
vragenreeks1wiskundeAantalScore14	3
vragenreeks1wiskundeAantalScore15	2
vragenreeks1wiskundeAantalScore16	1
vragenreeks1wiskundeAantalScore17	0
vragenreeks1wiskundeAantalScore18	3
vragenreeks1wiskundeAantalScore19	0
vragenreeks1wiskundeAantalScore20	2
vragenreeks1wiskundeAantalScore21	1
vragenreeks1wiskundeAantalScore22	2
vragenreeks1wiskundeAantalScore23	1
vragenreeks1wiskundeAantalScore24	0
vragenreeks1wiskundeAantalScore25	0
vragenreeks1wiskundeAantalScore26	0
vragenreeks1wiskundeAantalScore27	0
vragenreeks1wiskundeAantalScore28	0
vragenreeks1wiskundeAantalScore29	0
vragenreeks1wiskundeAantalScore30	0
vragenreeks1totaalHoogsteScore	16
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	6.441860465116279
vragenreeks1totaalMediaanScore	6
vragenreeks1totaalAantalScore0	3
vragenreeks1totaalAantalScore1	5
vragenreeks1totaalAantalScore2	5
vragenreeks1totaalAantalScore3	5
vragenreeks1totaalAantalScore4	10
vragenreeks1totaalAantalScore5	12
vragenreeks1totaalAantalScore6	7
vragenreeks1totaalAantalScore7	6
vragenreeks1totaalAantalScore8	7
vragenreeks1totaalAantalScore9	7
vragenreeks1totaalAantalScore10	8
vragenreeks1totaalAantalScore11	3
vragenreeks1totaalAantalScore12	3
vragenreeks1totaalAantalScore13	1
vragenreeks1totaalAantalScore14	2
vragenreeks1totaalAantalScore15	1
vragenreeks1totaalAantalScore16	1
vragenreeks1totaalAantalScore17	0
vragenreeks1totaalAantalScore18	0
vragenreeks1totaalAantalScore19	0
vragenreeks1totaalAantalScore20	0
