feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	basisvaardighedenJuist	basisvaardighedenFout	basisvaardighedenBlanco	basisvaardighedenScore	basisvaardighedenGroep
13wb17877	1	0	21	16	3	8	<10	10	9	1	7	<10	4	4	2	3	<5	7	3	0	6	5-7
13wb48929	1	1	25	7	8	11	10-13	11	5	4	9	<10	7	0	3	7	>=7	7	2	1	6	5-7
13wb30441	1	0	16	17	7	5	<10	8	7	5	6	<10	6	4	0	5	5-7	2	6	2	0	<5
13wb80451	1	1	28	12	0	12	10-13	14	6	0	12	10-13	7	3	0	6	5-7	7	3	0	6	5-7
13wb27113	1	0	23	13	4	9	<10	11	7	2	9	<10	5	3	2	4	<5	7	3	0	6	5-7
13wb49465	1	1	23	10	7	10	10-13	10	6	4	8	<10	6	2	2	5	5-7	7	2	1	6	5-7
13wb29989	1	0	19	15	6	7	<10	10	6	4	8	<10	3	5	2	1	<5	6	4	0	5	5-7
13wb74406	1	0	21	10	9	9	<10	11	4	5	10	10-13	7	1	2	7	>=7	3	5	2	1	<5
13wb63488	1	0	21	15	4	8	<10	10	7	3	8	<10	4	5	1	2	<5	7	3	0	6	5-7
13wb90123	1	1	24	12	4	10	10-13	11	7	2	9	<10	6	3	1	5	5-7	7	2	1	6	5-7
13wb76988	1	0	15	19	6	4	<10	8	8	4	5	<10	4	6	0	2	<5	3	5	2	1	<5
13wb87791	1	0	12	13	15	4	<10	6	7	7	4	<10	2	3	5	1	<5	4	3	3	3	<5
13wb55783	1	1	30	10	0	13	10-13	14	6	0	12	10-13	7	3	0	6	5-7	9	1	0	9	>=7
13wb51454	1	0	18	16	6	6	<10	6	8	6	3	<10	6	4	0	5	5-7	6	4	0	5	5-7
13wb41940	1	1	26	10	4	11	10-13	17	3	0	16	>=14	4	5	1	2	<5	5	2	3	4	<5
13wb84997	1	1	24	12	4	10	10-13	10	7	3	8	<10	7	3	0	6	5-7	7	2	1	6	5-7
13wb57918	1	1	27	10	3	12	10-13	14	4	2	13	10-13	7	2	1	6	5-7	6	4	0	5	5-7
13wb51749	1	1	29	10	1	13	10-13	13	6	1	11	10-13	9	1	0	9	>=7	7	3	0	6	5-7
13wb68306	1	0	10	16	14	2	<10	2	9	9	0	<10	4	3	3	3	<5	4	4	2	3	<5
13wb60614	1	1	25	9	6	11	10-13	15	3	2	14	>=14	6	2	2	5	5-7	4	4	2	3	<5
13wb55291	1	0	9	20	11	1	<10	3	9	8	0	<10	2	5	3	0	<5	4	6	0	2	<5
13wb54066	1	1	28	12	0	12	10-13	14	6	0	12	10-13	9	1	0	9	>=7	5	5	0	3	<5
13wb18419	1	0	9	22	9	1	<10	7	8	5	4	<10	0	8	2	0	<5	2	6	2	0	<5
13wb31683	1	1	26	9	5	12	10-13	13	6	1	11	10-13	6	3	1	5	5-7	7	0	3	7	>=7
13wb68760	1	0	11	21	8	2	<10	4	9	7	1	<10	4	6	0	2	<5	3	6	1	1	<5
13wb32242	1	0	8	16	16	1	<10	3	6	11	1	<10	1	6	3	0	<5	4	4	2	3	<5
13wb52209	1	0	11	19	10	2	<10	6	9	5	3	<10	3	3	4	2	<5	2	7	1	0	<5
13wb66953	1	0	12	13	15	4	<10	8	5	7	6	<10	2	5	3	0	<5	2	3	5	1	<5
13wb91371	1	0	6	25	9	0	<10	2	10	8	0	<10	3	6	1	1	<5	1	9	0	0	<5
13wb85336	1	0	12	21	7	3	<10	5	12	3	1	<10	3	3	4	2	<5	4	6	0	2	<5
13wb52606	1	1	29	11	0	13	10-13	17	3	0	16	>=14	7	3	0	6	5-7	5	5	0	3	<5
13wb11007	1	0	13	26	1	2	<10	8	11	1	4	<10	2	8	0	0	<5	3	7	0	1	<5
13wb88115	1	1	35	5	0	17	>=14	16	4	0	15	>=14	10	0	0	10	>=7	9	1	0	9	>=7
13wb59132	1	0	20	12	8	8	<10	9	8	3	6	<10	7	0	3	7	>=7	4	4	2	3	<5
13wb43134	1	1	23	8	9	10	10-13	13	4	3	12	10-13	2	2	6	1	<5	8	2	0	7	>=7
13wb31187	1	1	33	6	1	16	>=14	18	2	0	17	>=14	7	3	0	6	5-7	8	1	1	8	>=7
13wb17178	1	0	14	9	17	6	<10	7	3	10	6	<10	3	5	2	1	<5	4	1	5	4	<5
13wb37595	1	0	15	12	13	6	<10	7	5	8	5	<10	1	4	5	0	<5	7	3	0	6	5-7
13wb47943	1	1	26	8	6	12	10-13	12	4	4	11	10-13	6	3	1	5	5-7	8	1	1	8	>=7
13wb54313	1	0	16	15	9	6	<10	10	6	4	8	<10	1	4	5	0	<5	5	5	0	3	<5
13wb65538	1	1	25	9	6	11	10-13	12	4	4	11	10-13	3	5	2	1	<5	10	0	0	10	>=7
13wb29445	1	1	32	5	3	15	>=14	17	1	2	17	>=14	7	2	1	6	5-7	8	2	0	7	>=7
13wb87070	1	1	24	10	6	10	10-13	9	7	4	7	<10	6	2	2	5	5-7	9	1	0	9	>=7
13wb56108	1	1	25	11	4	11	10-13	11	7	2	9	<10	4	4	2	3	<5	10	0	0	10	>=7
13wb99820	1	0	16	24	0	4	<10	12	8	0	9	<10	1	9	0	0	<5	3	7	0	1	<5
13wb79302	1	0	21	14	5	8	<10	12	6	2	10	10-13	6	2	2	5	5-7	3	6	1	1	<5
13wb63903	1	1	24	14	2	10	10-13	12	6	2	10	10-13	5	5	0	3	<5	7	3	0	6	5-7
13wb34668	1	0	20	13	7	8	<10	11	6	3	9	<10	4	3	3	3	<5	5	4	1	4	<5
13wb62313	1	1	30	4	6	14	>=14	16	0	4	16	>=14	7	2	1	6	5-7	7	2	1	6	5-7
13wb69229	1	1	31	7	2	14	>=14	18	1	1	18	>=14	6	3	1	5	5-7	7	3	0	6	5-7
13wb48932	1	1	28	12	0	12	10-13	15	5	0	13	10-13	8	2	0	7	>=7	5	5	0	3	<5
13wb55384	1	1	37	3	0	18	>=14	18	2	0	17	>=14	10	0	0	10	>=7	9	1	0	9	>=7
13wb48047	1	0	19	10	11	8	<10	9	4	7	8	<10	2	4	4	1	<5	8	2	0	7	>=7
13wb30508	1	0	18	21	1	6	<10	8	11	1	4	<10	5	5	0	3	<5	5	5	0	3	<5
13wb91461	1	0	15	17	8	5	<10	6	10	4	3	<10	6	2	2	5	5-7	3	5	2	1	<5
13wb44493	1	0	23	13	4	9	<10	11	6	3	9	<10	7	3	0	6	5-7	5	4	1	4	<5
13wb15863	1	0	12	11	17	4	<10	6	5	9	4	<10	1	1	8	1	<5	5	5	0	3	<5
13wb29758	1	1	24	8	8	11	10-13	14	4	2	13	10-13	4	1	5	4	<5	6	3	1	5	5-7
13wb76335	1	0	22	15	3	9	<10	12	6	2	10	10-13	4	6	0	2	<5	6	3	1	5	5-7
13wb71745	1	1	25	15	0	10	10-13	12	8	0	9	<10	6	4	0	5	5-7	7	3	0	6	5-7
13wb99907	1	0	13	20	7	3	<10	7	10	3	4	<10	1	6	3	0	<5	5	4	1	4	<5
13wb41794	1	0	19	12	9	8	<10	12	5	3	10	10-13	1	4	5	0	<5	6	3	1	5	5-7
13wb25279	1	0	22	14	4	9	<10	8	9	3	5	<10	8	1	1	8	>=7	6	4	0	5	5-7
13wb85513	1	0	15	18	7	5	<10	9	9	2	6	<10	2	4	4	1	<5	4	5	1	2	<5
13wb60665	1	1	28	8	4	13	10-13	14	5	1	12	10-13	6	2	2	5	5-7	8	1	1	8	>=7
13wb50266	1	1	23	9	8	10	10-13	11	3	6	10	10-13	5	3	2	4	<5	7	3	0	6	5-7
13wb25547	1	1	27	9	4	12	10-13	10	6	4	8	<10	10	0	0	10	>=7	7	3	0	6	5-7
13wb58558	1	0	15	17	8	5	<10	7	8	5	4	<10	3	4	3	2	<5	5	5	0	3	<5
13wb25798	1	0	18	17	5	6	<10	8	10	2	5	<10	5	3	2	4	<5	5	4	1	4	<5
