vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	142	133	94	3	2	2	1	3	133
2	B	142	65	46	48	33	17	65	9	3
3	C	142	118	83	0	0	5	13	118	6
4	D	142	118	83	4	2	3	10	7	118
5	C	142	26	18	22	15	14	67	26	13
6	B	142	56	39	42	29	17	56	6	21
7	A	142	75	53	38	26	75	16	9	4
8	C	142	88	62	27	19	3	11	88	13
9	A	142	95	67	23	16	95	9	1	14
10	D	142	112	79	9	6	3	5	13	112
11	B	142	105	74	20	14	1	105	10	6
12	B	142	118	83	1	0	5	118	13	5
13	C	142	89	63	3	2	3	3	89	44
14	A	142	47	33	36	25	47	24	30	5
15	D	142	49	35	50	35	11	10	22	49
16	C	142	38	27	33	23	2	66	38	3
17	D	142	20	14	33	23	32	47	10	20
18	B	142	48	34	47	33	11	48	15	21
19	A	142	40	28	9	6	40	8	52	33
20	A	142	57	40	26	18	57	4	18	37
21	A	142	107	75	2	1	107	5	6	22
22	D	142	26	18	60	42	4	23	29	26
23	C	142	71	50	30	21	12	21	71	8
24	D	142	83	58	14	9	11	18	16	83
25	B	142	84	59	5	3	8	84	44	1
26	C	142	80	56	6	4	19	4	80	33
27	B	142	75	53	33	23	19	75	12	3
28	C	142	61	43	34	23	33	7	61	7
29	C	142	43	30	41	28	5	6	43	47
30	D	142	66	46	36	25	20	5	15	66
31	A	142	125	88	4	2	125	7	2	4
32	A	142	37	26	8	5	37	60	9	28
33	D	142	59	42	16	11	37	17	13	59
34	C	142	70	49	12	8	30	17	70	13
35	B	142	121	85	1	0	15	121	4	1
36	A	142	104	73	7	4	104	4	5	22
37	C	142	51	36	7	4	1	21	51	62
38	C	142	120	85	5	3	4	0	120	13
39	B	142	74	52	37	26	17	74	4	10
40	B	142	61	43	8	5	7	61	61	5
