ijkID	feedbackCode
26415	13wb17877
26701	13wb48929
27336	13wb30441
26717	13wb80451
27201	13wb27113
27450	13wb49465
24026	13wb29989
25763	13wb74406
27120	13wb63488
24820	13wb90123
25891	13wb76988
26571	13wb87791
27048	13wb55783
24840	13wb51454
27319	13wb41940
26287	13wb84997
27137	13wb57918
27039	13wb51749
24172	13wb68306
27421	13wb60614
27104	13wb55291
27045	13wb54066
25525	13wb18419
26091	13wb31683
24920	13wb68760
25798	13wb32242
25483	13wb52209
24210	13wb66953
24042	13wb91371
25291	13wb85336
25587	13wb52606
27453	13wb11007
26414	13wb88115
26681	13wb59132
25535	13wb43134
27019	13wb31187
23995	13wb17178
24663	13wb37595
27347	13wb47943
25952	13wb54313
25310	13wb65538
27223	13wb29445
26626	13wb87070
26277	13wb56108
27122	13wb99820
25112	13wb79302
24947	13wb63903
24696	13wb34668
27345	13wb62313
23881	13wb69229
24829	13wb48932
24903	13wb55384
26622	13wb48047
24618	13wb30508
25076	13wb91461
27471	13wb44493
24875	13wb15863
26322	13wb29758
26818	13wb76335
24410	13wb71745
27365	13wb99907
26767	13wb41794
27102	13wb25279
26796	13wb85513
25101	13wb60665
25020	13wb50266
25166	13wb25547
25842	13wb58558
25024	13wb25798
27375	13wb98979
25638	13wb42641
25832	13wb62589
26554	13wb88835
25193	13wb57394
26437	13wb81855
26856	13wb61634
25169	13wb46705
26354	13wb86872
25359	13wb61566
26860	13wb75479
24036	13wb93125
25481	13wb80788
27431	13wb86052
25161	13wb30965
26325	13wb69338
27082	13wb69649
24631	13wb17095
27190	13wb21990
25202	13wb77781
27495	13wb55290
27183	13wb28428
25972	13wb38519
23986	13wb88454
24707	13wb50692
24582	13wb30937
26738	13wb99640
26613	13wb15158
26759	13wb43630
25779	13wb60262
26390	13wb70502
27473	13wb68649
26529	13wb40055
24496	13wb98534
25748	13wb85263
25069	13wb30874
25194	13wb86581
25712	13wb23494
24742	13wb84080
26710	13wb46162
26342	13wb17362
26508	13wb92047
24810	13wb24274
26462	13wb36482
27100	13wb47505
27198	13wb21570
27341	13wb47690
24491	13wb53832
25369	13wb42354
26461	13wb57438
23963	13wb78649
27308	13wb97173
26719	13wb66271
24683	13wb16139
24039	13wb63289
26928	13wb32350
27448	13wb65249
26081	13wb13361
24556	13wb32850
26585	13wb53237
25290	13wb83859
25198	13wb62078
26904	13wb90244
25265	13wb68692
26534	13wb61388
26519	13wb43548
26062	13wb42016
24758	13wb47982
26169	13wb31930
24170	13wb78482
24815	13wb26845
26840	13wb88746
27457	13wb11555
