ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
26415	1	D	A	C	B	X	B	C	C	A	D	C	B	C	C	D	B	A	B	D	D	D	X	D	D	C	C	B	A	C	X	A	A	D	B	B	A	D	C	D	B
26701	1	D	X	C	D	B	B	X	C	A	C	B	B	C	A	X	B	D	X	B	B	A	X	C	D	B	C	B	C	X	X	A	B	D	C	B	A	D	C	B	X
27336	1	D	X	C	C	D	B	X	C	X	D	B	B	D	C	D	B	X	X	D	D	A	B	C	D	C	C	B	D	A	D	A	B	A	X	A	D	D	C	X	C
26717	1	D	B	C	D	B	B	A	C	D	C	B	B	D	C	D	C	C	B	A	A	A	D	C	D	B	C	C	A	C	A	A	D	A	C	B	A	D	C	B	B
27201	1	D	X	C	D	B	A	A	C	A	D	B	B	C	C	X	D	B	B	C	C	B	X	C	D	B	B	B	C	D	X	A	B	D	C	B	A	D	C	B	C
27450	1	D	B	C	D	B	D	A	C	A	D	B	B	D	X	X	X	B	X	C	D	A	C	C	D	B	C	A	C	X	X	A	A	D	A	B	A	D	C	X	B
24026	1	D	X	C	D	B	C	X	C	A	D	B	B	C	X	C	B	A	X	D	A	A	C	X	C	C	C	C	C	X	A	A	B	C	A	B	A	D	C	B	B
25763	1	D	B	C	D	X	X	A	C	A	D	A	B	C	C	X	X	D	X	D	D	A	X	C	D	B	C	B	X	D	D	A	B	X	C	B	D	D	D	X	C
27120	1	D	X	C	B	A	B	A	C	A	D	B	B	D	A	C	B	B	X	C	X	A	C	X	D	C	D	B	C	D	C	A	A	D	C	B	A	B	C	A	C
24820	1	D	X	C	D	D	A	A	X	D	D	B	B	C	C	B	C	D	B	B	D	A	B	X	D	C	C	B	A	C	D	A	D	A	C	B	A	C	C	X	B
25891	1	D	X	C	D	A	X	D	D	B	C	B	B	C	X	D	B	B	X	C	A	D	B	D	D	B	B	B	B	C	C	D	D	B	X	B	D	C	X	A	B
26571	1	D	X	C	D	B	X	X	C	X	C	B	B	D	X	X	B	A	D	D	X	D	X	C	X	A	C	X	X	X	A	A	B	X	D	B	X	B	C	X	B
27048	1	B	B	C	D	C	B	A	C	A	D	B	B	C	D	D	D	C	C	A	D	D	B	C	D	B	C	C	C	C	D	A	B	D	C	B	A	C	C	B	B
24840	1	D	X	C	A	A	X	C	B	C	B	X	B	D	A	D	X	X	A	A	X	D	C	C	D	B	C	A	C	D	D	B	D	A	C	B	A	C	C	D	B
27319	1	D	B	C	D	C	B	A	C	A	D	B	B	C	A	C	C	A	B	D	A	A	C	C	C	B	A	B	A	D	X	A	B	D	C	B	X	X	A	X	B
26287	1	C	B	C	D	B	X	X	A	A	D	B	B	D	C	C	C	A	X	A	A	A	B	B	D	B	D	B	C	C	D	A	A	D	C	C	D	C	C	X	B
27137	1	D	B	C	D	B	B	A	C	D	D	B	B	C	A	X	C	D	X	C	D	A	B	X	D	B	C	B	C	C	A	A	D	D	A	B	A	D	C	B	C
27039	1	D	B	C	D	B	X	A	C	A	D	B	A	C	B	A	B	D	B	C	A	D	D	C	D	B	C	B	C	C	D	A	B	C	C	B	A	B	C	B	B
24172	1	X	X	A	D	X	X	B	B	X	A	X	B	D	C	X	X	B	A	D	X	B	X	C	B	B	C	C	X	X	D	A	X	D	D	A	A	D	C	X	C
27421	1	D	B	C	D	C	B	A	X	A	D	B	B	D	X	D	B	A	B	A	A	A	C	C	D	B	C	X	C	D	X	B	D	A	C	B	X	C	C	X	C
27104	1	X	X	D	D	X	C	X	X	X	A	D	C	C	B	X	B	B	D	A	X	D	X	B	B	A	C	C	C	X	X	B	B	C	A	B	A	D	C	B	C
27045	1	D	B	C	D	B	C	A	C	A	D	B	B	C	B	D	B	B	B	C	A	A	D	C	D	B	C	B	C	D	D	A	D	B	A	B	A	D	C	B	C
25525	1	D	X	C	B	C	B	X	D	B	D	D	D	D	B	X	X	D	A	A	X	D	X	B	B	C	D	A	A	X	A	X	X	D	D	A	D	D	D	D	B
26091	1	D	A	C	D	B	A	X	C	A	D	B	B	C	A	D	B	D	B	D	B	A	X	B	D	B	C	B	A	D	D	X	X	X	C	B	A	C	C	B	B
24920	1	D	B	C	X	B	X	X	B	A	C	D	C	D	X	C	B	X	C	X	X	A	C	D	D	B	B	B	A	D	A	A	B	B	D	B	C	D	C	X	C
25798	1	D	X	A	X	X	X	C	X	B	X	X	C	D	B	X	X	X	B	A	X	D	X	X	C	C	D	B	B	B	X	A	B	D	D	B	X	D	C	X	C
25483	1	D	X	C	C	A	D	X	D	B	C	C	B	C	B	X	C	X	X	A	C	C	X	X	C	A	X	X	C	C	D	A	B	X	D	B	B	D	A	A	C
24210	1	D	C	C	D	B	X	X	C	X	B	B	B	C	C	X	C	X	X	D	X	A	X	A	D	C	A	A	X	D	X	X	C	X	C	A	A	D	X	X	X
24042	1	A	C	C	A	X	A	D	B	X	X	B	C	D	B	X	X	X	D	X	X	B	X	B	D	C	A	A	C	C	B	C	D	B	B	B	D	D	D	D	C
25291	1	D	X	C	D	D	A	B	D	B	B	B	C	A	A	B	X	X	D	C	C	A	X	B	B	C	X	B	C	X	X	A	D	A	D	B	D	B	C	B	C
25587	1	D	B	C	D	B	B	A	C	A	D	B	B	C	A	D	B	C	B	A	A	A	D	D	D	B	A	B	B	C	D	A	B	A	A	B	D	C	C	B	C
