ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemieJuist	chemieFout	chemieBlanco	chemieScore	basisvaardighedenJuist	basisvaardighedenFout	basisvaardighedenBlanco	basisvaardighedenScore
26415	1	0	21	16	3	8	10	9	1	7	4	4	2	3	7	3	0	6
26701	1	1	25	7	8	11	11	5	4	9	7	0	3	7	7	2	1	6
27336	1	0	16	17	7	5	8	7	5	6	6	4	0	5	2	6	2	0
26717	1	1	28	12	0	12	14	6	0	12	7	3	0	6	7	3	0	6
27201	1	0	23	13	4	9	11	7	2	9	5	3	2	4	7	3	0	6
27450	1	1	23	10	7	10	10	6	4	8	6	2	2	5	7	2	1	6
24026	1	0	19	15	6	7	10	6	4	8	3	5	2	1	6	4	0	5
25763	1	0	21	10	9	9	11	4	5	10	7	1	2	7	3	5	2	1
27120	1	0	21	15	4	8	10	7	3	8	4	5	1	2	7	3	0	6
24820	1	1	24	12	4	10	11	7	2	9	6	3	1	5	7	2	1	6
25891	1	0	15	19	6	4	8	8	4	5	4	6	0	2	3	5	2	1
26571	1	0	12	13	15	4	6	7	7	4	2	3	5	1	4	3	3	3
27048	1	1	30	10	0	13	14	6	0	12	7	3	0	6	9	1	0	9
24840	1	0	18	16	6	6	6	8	6	3	6	4	0	5	6	4	0	5
27319	1	1	26	10	4	11	17	3	0	16	4	5	1	2	5	2	3	4
26287	1	1	24	12	4	10	10	7	3	8	7	3	0	6	7	2	1	6
27137	1	1	27	10	3	12	14	4	2	13	7	2	1	6	6	4	0	5
27039	1	1	29	10	1	13	13	6	1	11	9	1	0	9	7	3	0	6
24172	1	0	10	16	14	2	2	9	9	0	4	3	3	3	4	4	2	3
27421	1	1	25	9	6	11	15	3	2	14	6	2	2	5	4	4	2	3
27104	1	0	9	20	11	1	3	9	8	0	2	5	3	0	4	6	0	2
27045	1	1	28	12	0	12	14	6	0	12	9	1	0	9	5	5	0	3
25525	1	0	9	22	9	1	7	8	5	4	0	8	2	0	2	6	2	0
26091	1	1	26	9	5	12	13	6	1	11	6	3	1	5	7	0	3	7
24920	1	0	11	21	8	2	4	9	7	1	4	6	0	2	3	6	1	1
25798	1	0	8	16	16	1	3	6	11	1	1	6	3	0	4	4	2	3
25483	1	0	11	19	10	2	6	9	5	3	3	3	4	2	2	7	1	0
24210	1	0	12	13	15	4	8	5	7	6	2	5	3	0	2	3	5	1
24042	1	0	6	25	9	0	2	10	8	0	3	6	1	1	1	9	0	0
25291	1	0	12	21	7	3	5	12	3	1	3	3	4	2	4	6	0	2
25587	1	1	29	11	0	13	17	3	0	16	7	3	0	6	5	5	0	3
27453	1	0	13	26	1	2	8	11	1	4	2	8	0	0	3	7	0	1
26414	1	1	35	5	0	17	16	4	0	15	10	0	0	10	9	1	0	9
26681	1	0	20	12	8	8	9	8	3	6	7	0	3	7	4	4	2	3
25535	1	1	23	8	9	10	13	4	3	12	2	2	6	1	8	2	0	7
27019	1	1	33	6	1	16	18	2	0	17	7	3	0	6	8	1	1	8
23995	1	0	14	9	17	6	7	3	10	6	3	5	2	1	4	1	5	4
24663	1	0	15	12	13	6	7	5	8	5	1	4	5	0	7	3	0	6
27347	1	1	26	8	6	12	12	4	4	11	6	3	1	5	8	1	1	8
25952	1	0	16	15	9	6	10	6	4	8	1	4	5	0	5	5	0	3
25310	1	1	25	9	6	11	12	4	4	11	3	5	2	1	10	0	0	10
27223	1	1	32	5	3	15	17	1	2	17	7	2	1	6	8	2	0	7
26626	1	1	24	10	6	10	9	7	4	7	6	2	2	5	9	1	0	9
26277	1	1	25	11	4	11	11	7	2	9	4	4	2	3	10	0	0	10
27122	1	0	16	24	0	4	12	8	0	9	1	9	0	0	3	7	0	1
25112	1	0	21	14	5	8	12	6	2	10	6	2	2	5	3	6	1	1
24947	1	1	24	14	2	10	12	6	2	10	5	5	0	3	7	3	0	6
24696	1	0	20	13	7	8	11	6	3	9	4	3	3	3	5	4	1	4
27345	1	1	30	4	6	14	16	0	4	16	7	2	1	6	7	2	1	6
23881	1	1	31	7	2	14	18	1	1	18	6	3	1	5	7	3	0	6
24829	1	1	28	12	0	12	15	5	0	13	8	2	0	7	5	5	0	3
