key	value
aantalDeelnemers	142
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	8.535211267605634
totaalMediaanScore	8
totaalAantalScore0	1
totaalAantalScore1	5
totaalAantalScore2	4
totaalAantalScore3	6
totaalAantalScore4	10
totaalAantalScore5	5
totaalAantalScore6	12
totaalAantalScore7	12
totaalAantalScore8	18
totaalAantalScore9	9
totaalAantalScore10	14
totaalAantalScore11	15
totaalAantalScore12	10
totaalAantalScore13	8
totaalAantalScore14	4
totaalAantalScore15	3
totaalAantalScore16	2
totaalAantalScore17	1
totaalAantalScore18	2
totaalAantalScore19	0
totaalAantalScore20	1
wiskundeHoogsteScore	20
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	8.528169014084508
wiskundeMediaanScore	8
wiskundeAantalScore0	5
wiskundeAantalScore1	6
wiskundeAantalScore2	1
wiskundeAantalScore3	3
wiskundeAantalScore4	9
wiskundeAantalScore5	14
wiskundeAantalScore6	11
wiskundeAantalScore7	8
wiskundeAantalScore8	15
wiskundeAantalScore9	14
wiskundeAantalScore10	13
wiskundeAantalScore11	10
wiskundeAantalScore12	10
wiskundeAantalScore13	4
wiskundeAantalScore14	4
wiskundeAantalScore15	4
wiskundeAantalScore16	3
wiskundeAantalScore17	4
wiskundeAantalScore18	1
wiskundeAantalScore19	2
wiskundeAantalScore20	1
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	3.8661971830985915
chemieMediaanScore	4
chemieAantalScore0	18
chemieAantalScore1	18
chemieAantalScore2	16
chemieAantalScore3	12
chemieAantalScore4	13
chemieAantalScore5	22
chemieAantalScore6	25
chemieAantalScore7	6
chemieAantalScore8	4
chemieAantalScore9	3
chemieAantalScore10	5
basisvaardighedenHoogsteScore	10
basisvaardighedenLaagsteScore	0
basisvaardighedenGemiddeldeScore	4.647887323943662
basisvaardighedenMediaanScore	5
basisvaardighedenAantalScore0	6
basisvaardighedenAantalScore1	14
basisvaardighedenAantalScore2	14
basisvaardighedenAantalScore3	19
basisvaardighedenAantalScore4	13
basisvaardighedenAantalScore5	15
basisvaardighedenAantalScore6	33
basisvaardighedenAantalScore7	8
basisvaardighedenAantalScore8	4
basisvaardighedenAantalScore9	12
basisvaardighedenAantalScore10	4
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	8.535211267605634
vragenreeks1totaalMediaanScore	8
vragenreeks1totaalAantalScore0	1
vragenreeks1totaalAantalScore1	5
vragenreeks1totaalAantalScore2	4
vragenreeks1totaalAantalScore3	6
vragenreeks1totaalAantalScore4	10
vragenreeks1totaalAantalScore5	5
vragenreeks1totaalAantalScore6	12
vragenreeks1totaalAantalScore7	12
vragenreeks1totaalAantalScore8	18
vragenreeks1totaalAantalScore9	9
vragenreeks1totaalAantalScore10	14
vragenreeks1totaalAantalScore11	15
vragenreeks1totaalAantalScore12	10
vragenreeks1totaalAantalScore13	8
vragenreeks1totaalAantalScore14	4
vragenreeks1totaalAantalScore15	3
vragenreeks1totaalAantalScore16	2
vragenreeks1totaalAantalScore17	1
vragenreeks1totaalAantalScore18	2
vragenreeks1totaalAantalScore19	0
vragenreeks1totaalAantalScore20	1
vragenreeks1wiskundeHoogsteScore	20
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	8.528169014084508
vragenreeks1wiskundeMediaanScore	8
vragenreeks1wiskundeAantalScore0	5
vragenreeks1wiskundeAantalScore1	6
vragenreeks1wiskundeAantalScore2	1
vragenreeks1wiskundeAantalScore3	3
vragenreeks1wiskundeAantalScore4	9
vragenreeks1wiskundeAantalScore5	14
vragenreeks1wiskundeAantalScore6	11
vragenreeks1wiskundeAantalScore7	8
vragenreeks1wiskundeAantalScore8	15
vragenreeks1wiskundeAantalScore9	14
vragenreeks1wiskundeAantalScore10	13
vragenreeks1wiskundeAantalScore11	10
vragenreeks1wiskundeAantalScore12	10
vragenreeks1wiskundeAantalScore13	4
vragenreeks1wiskundeAantalScore14	4
vragenreeks1wiskundeAantalScore15	4
vragenreeks1wiskundeAantalScore16	3
vragenreeks1wiskundeAantalScore17	4
vragenreeks1wiskundeAantalScore18	1
vragenreeks1wiskundeAantalScore19	2
vragenreeks1wiskundeAantalScore20	1
vragenreeks1chemieHoogsteScore	10
vragenreeks1chemieLaagsteScore	0
vragenreeks1chemieGemiddeldeScore	3.8661971830985915
vragenreeks1chemieMediaanScore	4
vragenreeks1chemieAantalScore0	18
vragenreeks1chemieAantalScore1	18
vragenreeks1chemieAantalScore2	16
vragenreeks1chemieAantalScore3	12
vragenreeks1chemieAantalScore4	13
vragenreeks1chemieAantalScore5	22
vragenreeks1chemieAantalScore6	25
vragenreeks1chemieAantalScore7	6
vragenreeks1chemieAantalScore8	4
vragenreeks1chemieAantalScore9	3
vragenreeks1chemieAantalScore10	5
vragenreeks1basisvaardighedenHoogsteScore	10
vragenreeks1basisvaardighedenLaagsteScore	0
vragenreeks1basisvaardighedenGemiddeldeScore	4.647887323943662
vragenreeks1basisvaardighedenMediaanScore	5
vragenreeks1basisvaardighedenAantalScore0	6
vragenreeks1basisvaardighedenAantalScore1	14
vragenreeks1basisvaardighedenAantalScore2	14
vragenreeks1basisvaardighedenAantalScore3	19
vragenreeks1basisvaardighedenAantalScore4	13
vragenreeks1basisvaardighedenAantalScore5	15
vragenreeks1basisvaardighedenAantalScore6	33
vragenreeks1basisvaardighedenAantalScore7	8
vragenreeks1basisvaardighedenAantalScore8	4
vragenreeks1basisvaardighedenAantalScore9	12
vragenreeks1basisvaardighedenAantalScore10	4
