feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
14ir42216	3	0	6	4	20	3	<10
14ir86863	4	1	20	5	5	12	10-13
14ir79508	2	0	12	17	1	4	<10
14ir50753	1	0	15	8	7	8	<10
14ir51973	1	0	6	15	9	1	<10
14ir18797	4	0	14	5	11	8	<10
14ir38252	2	0	6	17	7	0	<10
14ir83540	1	0	12	12	6	5	<10
14ir40204	1	1	21	6	3	13	10-13
14ir27729	1	0	8	14	8	2	<10
14ir65921	1	0	13	5	12	8	<10
14ir78951	3	0	8	12	10	3	<10
14ir35979	3	0	8	15	7	2	<10
14ir63004	3	0	11	14	5	4	<10
14ir39649	4	0	5	11	14	1	<10
14ir95730	1	1	23	5	2	14	>=14
14ir36488	1	0	4	10	16	0	<10
14ir48328	2	1	18	4	8	11	10-13
14ir39696	3	0	11	13	6	4	<10
14ir82949	4	1	21	5	4	13	10-13
14ir30015	3	0	6	13	11	1	<10
14ir14835	1	0	9	16	5	2	<10
14ir33881	4	0	13	11	6	6	<10
14ir57917	2	1	17	3	10	11	10-13
14ir79040	3	0	9	16	5	2	<10
14ir28991	4	0	9	10	11	4	<10
14ir34747	4	1	19	3	8	12	10-13
14ir82594	2	0	6	3	21	3	<10
14ir81680	4	0	8	14	8	2	<10
14ir86361	3	0	11	7	12	6	<10
14ir36222	4	0	10	20	0	2	<10
14ir26899	2	1	17	2	11	11	10-13
14ir23529	4	0	15	10	5	8	<10
14ir21716	2	0	13	8	9	7	<10
14ir67065	2	0	10	13	7	4	<10
14ir26200	2	0	10	17	3	3	<10
14ir39312	2	0	11	4	15	6	<10
14ir79213	4	1	25	3	2	16	>=14
14ir23183	2	0	16	10	4	8	<10
14ir23712	4	0	15	4	11	9	<10
14ir86043	3	1	18	4	8	11	10-13
14ir58446	1	1	24	4	2	15	>=14
14ir23375	1	1	19	11	0	10	10-13
14ir39252	1	0	15	9	6	8	<10
14ir12436	2	0	11	9	10	5	<10
14ir41893	3	1	21	6	3	13	10-13
14ir19508	1	1	19	10	1	10	10-13
14ir16528	3	0	11	9	10	5	<10
14ir31364	3	0	15	9	6	8	<10
14ir98499	4	0	10	15	5	3	<10
14ir78871	4	0	15	6	9	9	<10
14ir32916	1	1	21	4	5	13	10-13
14ir45819	3	1	19	6	5	11	10-13
14ir42102	1	1	17	8	5	10	10-13
14ir92478	3	1	21	6	3	13	10-13
14ir76853	1	0	15	12	3	7	<10
14ir28867	4	0	11	7	12	6	<10
14ir19472	4	0	6	13	11	1	<10
14ir19627	4	0	15	4	11	9	<10
14ir73151	2	1	28	2	0	18	>=14
14ir76899	2	1	27	2	1	18	>=14
14ir45350	1	1	19	2	9	12	10-13
14ir45921	4	1	15	2	13	10	10-13
14ir60385	4	1	18	6	6	11	10-13
14ir44469	3	0	16	9	5	9	<10
14ir47632	3	0	8	16	6	2	<10
14ir60370	2	1	18	7	5	10	10-13
14ir72343	1	1	22	6	2	13	10-13
14ir60010	3	1	22	5	3	14	>=14
14ir93359	1	0	16	6	8	9	<10
14ir12867	2	1	20	6	4	12	10-13
14ir28772	4	1	28	2	0	18	>=14
14ir69663	1	0	14	2	14	9	<10
14ir25896	2	0	16	11	3	8	<10
14ir72209	2	0	12	5	13	7	<10
14ir44663	1	1	19	3	8	12	10-13
14ir75645	3	1	25	3	2	16	>=14
14ir10384	2	1	17	7	6	10	10-13
14ir86037	2	0	10	16	4	3	<10
14ir72405	1	0	9	11	10	4	<10
14ir43934	3	0	13	9	8	7	<10
14ir57793	4	1	17	4	9	10	10-13
14ir13196	4	1	18	8	4	10	10-13
14ir62403	1	0	15	8	7	8	<10
14ir64216	2	0	15	4	11	9	<10
14ir91197	3	0	12	5	13	7	<10
14ir54225	1	0	12	12	6	5	<10
14ir50531	3	1	17	4	9	10	10-13
14ir78013	3	1	22	8	0	13	10-13
14ir28156	2	0	12	10	8	6	<10
14ir90094	2	1	23	4	3	14	>=14
14ir92406	3	1	23	7	0	14	>=14
14ir68830	4	0	15	9	6	8	<10
14ir66714	4	1	17	6	7	10	10-13
14ir23472	3	0	16	8	6	9	<10
14ir24812	1	0	13	9	8	7	<10
14ir30398	1	0	16	10	4	8	<10
14ir76440	4	0	16	9	5	9	<10
14ir86880	1	0	12	5	13	7	<10
14ir52389	2	0	13	6	11	7	<10
14ir58880	2	1	22	8	0	13	10-13
14ir79949	3	1	24	5	1	15	>=14
14ir15708	3	1	18	7	5	10	10-13
14ir48151	1	1	20	7	3	12	10-13
14ir27151	1	1	19	3	8	12	10-13
14ir40107	2	1	24	6	0	15	>=14
14ir96410	1	0	12	18	0	4	<10
14ir79238	3	1	24	6	0	15	>=14
14ir66951	4	1	16	3	11	10	10-13
14ir44538	3	1	19	7	4	11	10-13
14ir66946	1	0	16	7	7	9	<10
14ir34598	1	1	16	5	9	10	10-13
14ir21395	4	1	20	8	2	12	10-13
14ir97390	4	1	20	4	6	12	10-13
14ir21534	4	0	14	10	6	7	<10
14ir25829	1	1	20	2	8	13	10-13
14ir62436	2	1	28	2	0	18	>=14
14ir98000	4	0	7	12	11	2	<10
14ir87520	2	0	12	10	8	6	<10
14ir12504	1	1	20	8	2	12	10-13
14ir48330	2	0	15	7	8	8	<10
14ir16380	4	0	13	9	8	7	<10
14ir13950	1	1	22	5	3	14	>=14
14ir78539	2	0	15	7	8	8	<10
14ir62496	4	0	14	9	7	7	<10
14ir32294	3	0	10	3	17	6	<10
14ir14881	2	0	3	11	16	0	<10
14ir93888	3	1	18	9	3	10	10-13
14ir50537	3	0	16	13	1	8	<10
14ir22594	4	0	4	5	21	2	<10
14ir64133	3	1	18	11	1	10	10-13
14ir14662	4	0	7	16	7	1	<10
14ir38472	2	0	5	14	11	0	<10
14ir92464	3	0	11	16	3	4	<10
14ir85684	2	0	8	10	12	3	<10
14ir79948	1	1	18	8	4	10	10-13
14ir43894	3	0	14	9	7	7	<10
14ir27548	3	1	23	6	1	14	>=14
14ir18781	1	0	8	16	6	2	<10
14ir90181	4	0	15	4	11	9	<10
14ir29638	2	0	11	12	7	5	<10
14ir59874	2	0	7	15	8	1	<10
14ir74204	3	0	10	13	7	4	<10
14ir44659	4	0	6	3	21	3	<10
14ir33549	4	0	9	21	0	1	<10
14ir48545	1	0	16	11	3	8	<10
14ir68093	1	0	10	11	9	4	<10
14ir11757	1	1	20	7	3	12	10-13
14ir54539	1	1	27	3	0	17	>=14
14ir95596	1	0	16	7	7	9	<10
14ir79596	1	0	14	7	9	8	<10
14ir98638	1	1	20	6	4	12	10-13
14ir71792	1	0	13	16	1	5	<10
14ir86612	1	0	12	15	3	5	<10
14ir63670	1	1	21	5	4	13	10-13
14ir95701	1	0	10	7	13	5	<10
14ir85252	1	0	9	6	15	5	<10
14ir62886	1	0	12	8	10	6	<10
14ir90862	3	1	21	5	4	13	10-13
14ir30606	2	1	19	6	5	11	10-13
14ir28234	2	1	22	4	4	14	>=14
14ir10391	4	0	13	11	6	6	<10
14ir75774	2	1	18	5	7	11	10-13
14ir97501	3	1	20	2	8	13	10-13
14ir58187	1	1	23	4	3	14	>=14
14ir85072	1	0	14	6	10	8	<10
14ir31904	3	1	17	4	9	10	10-13
14ir72396	2	0	15	10	5	8	<10
14ir18205	1	0	11	11	8	5	<10
14ir98411	4	0	13	7	10	7	<10
14ir61668	3	1	24	3	3	15	>=14
14ir81628	2	0	12	8	10	6	<10
14ir67103	1	1	18	2	10	12	10-13
14ir51826	4	1	19	4	7	12	10-13
14ir55219	2	1	16	4	10	10	10-13
