ijkID	feedbackCode
27665	14ir42216
27767	14ir86863
27952	14ir79508
27855	14ir50753
27675	14ir51973
28501	14ir18797
27589	14ir38252
27616	14ir83540
28286	14ir40204
27548	14ir27729
27773	14ir65921
28072	14ir78951
27929	14ir35979
28333	14ir63004
27691	14ir39649
27742	14ir95730
27837	14ir36488
27832	14ir48328
28622	14ir39696
28203	14ir82949
28449	14ir30015
27601	14ir14835
27720	14ir33881
28604	14ir57917
27641	14ir79040
28363	14ir28991
28120	14ir34747
27792	14ir82594
28377	14ir81680
28365	14ir86361
27814	14ir36222
27977	14ir26899
28019	14ir23529
27724	14ir21716
27639	14ir67065
27748	14ir26200
27551	14ir39312
27841	14ir79213
27712	14ir23183
27769	14ir23712
28212	14ir86043
28304	14ir58446
28458	14ir23375
27718	14ir39252
28327	14ir12436
28416	14ir41893
28163	14ir19508
28550	14ir16528
28439	14ir31364
28219	14ir98499
28257	14ir78871
28196	14ir32916
27864	14ir45819
27985	14ir42102
28172	14ir92478
28015	14ir76853
27865	14ir28867
28269	14ir19472
28317	14ir19627
27527	14ir73151
27793	14ir76899
27789	14ir45350
28556	14ir45921
28045	14ir60385
28476	14ir44469
28607	14ir47632
28240	14ir60370
27874	14ir72343
27678	14ir60010
27895	14ir93359
28116	14ir12867
27731	14ir28772
28343	14ir69663
27717	14ir25896
28165	14ir72209
27672	14ir44663
28373	14ir75645
28050	14ir10384
27859	14ir86037
28230	14ir72405
28315	14ir43934
28070	14ir57793
27689	14ir13196
27756	14ir62403
27723	14ir64216
28149	14ir91197
27643	14ir54225
28589	14ir50531
28042	14ir78013
27682	14ir28156
28356	14ir90094
28058	14ir92406
28409	14ir68830
27901	14ir66714
28249	14ir23472
27823	14ir24812
28543	14ir30398
27805	14ir76440
27584	14ir86880
27752	14ir52389
28285	14ir58880
28006	14ir79949
27751	14ir15708
28626	14ir48151
28499	14ir27151
28213	14ir40107
28268	14ir96410
28220	14ir79238
27754	14ir66951
27528	14ir44538
27506	14ir66946
27552	14ir34598
27578	14ir21395
27979	14ir97390
27545	14ir21534
28047	14ir25829
27992	14ir62436
27629	14ir98000
28569	14ir87520
28297	14ir12504
28520	14ir48330
28193	14ir16380
28425	14ir13950
27961	14ir78539
27777	14ir62496
27726	14ir32294
28605	14ir14881
27764	14ir93888
27622	14ir50537
28624	14ir22594
27802	14ir64133
27940	14ir14662
28472	14ir38472
27899	14ir92464
27565	14ir85684
27957	14ir79948
27575	14ir43894
28105	14ir27548
27609	14ir18781
28442	14ir90181
27760	14ir29638
27613	14ir59874
27597	14ir74204
28481	14ir44659
28529	14ir33549
28156	14ir48545
27663	14ir68093
27867	14ir11757
28155	14ir54539
28546	14ir95596
28364	14ir79596
27914	14ir98638
27583	14ir71792
28554	14ir86612
28048	14ir63670
27664	14ir95701
27529	14ir85252
28103	14ir62886
28130	14ir90862
27603	14ir30606
27747	14ir28234
27816	14ir10391
28080	14ir75774
27612	14ir97501
27725	14ir58187
28073	14ir85072
28108	14ir31904
28092	14ir72396
28007	14ir18205
28133	14ir98411
27811	14ir61668
28024	14ir81628
27611	14ir67103
28053	14ir51826
28016	14ir55219
28101	14ir61484
28122	14ir63741
28095	14ir53354
27947	14ir43315
27862	14ir75010
28093	14ir70557
27948	14ir64639
27982	14ir51741
28069	14ir16733
27645	14ir52285
27736	14ir92973
28113	14ir99395
28005	14ir61141
27835	14ir88196
28127	14ir37618
28049	14ir30675
27973	14ir79162
27655	14ir39892
27710	14ir76852
27749	14ir45092
27759	14ir50420
27873	14ir81117
27704	14ir69906
27974	14ir25389
27673	14ir49869
27972	14ir75962
28023	14ir18996
27978	14ir30580
27599	14ir95930
27852	14ir91448
27930	14ir70906
27719	14ir19535
27694	14ir44212
27621	14ir93977
28062	14ir82086
28078	14ir32156
27956	14ir98981
27509	14ir63813
27911	14ir19374
27787	14ir89134
28129	14ir64946
28115	14ir44974
27571	14ir30637
27983	14ir57531
28034	14ir29810
27696	14ir47287
28125	14ir64766
27708	14ir10685
28076	14ir55284
28033	14ir79075
27951	14ir26836
27986	14ir14825
27790	14ir48016
27746	14ir79603
27807	14ir83478
27523	14ir40687
28028	14ir71899
28117	14ir98415
27634	14ir33985
27965	14ir26354
27600	14ir41924
27598	14ir21780
28000	14ir30459
28056	14ir67773
27593	14ir62159
27941	14ir41001
27765	14ir65342
27713	14ir86213
28141	14ir70905
28055	14ir27212
27698	14ir62161
27923	14ir66907
27999	14ir60886
27674	14ir94770
27987	14ir65554
27967	14ir73736
28067	14ir49798
27851	14ir44815
27989	14ir63094
28037	14ir45884
27943	14ir90922
27876	14ir46699
27774	14ir49539
27533	14ir49417
27819	14ir14516
28025	14ir71086
27569	14ir49880
28096	14ir80284
28039	14ir46254
27860	14ir52042
27614	14ir46150
27931	14ir32632
27632	14ir62593
27945	14ir51544
27695	14ir20431
28035	14ir49296
27991	14ir19174
27976	14ir71088
27891	14ir89146
28150	14ir62072
28018	14ir18693
28038	14ir41212
28337	14ir38417
28393	14ir88828
28570	14ir97945
28438	14ir33037
28430	14ir13542
28466	14ir59765
28431	14ir79980
28598	14ir26614
28148	14ir21558
28294	14ir49969
27521	14ir45039
28158	14ir85900
28524	14ir68904
28305	14ir13262
28287	14ir59229
28544	14ir64644
28491	14ir66184
28225	14ir74335
28205	14ir65118
28522	14ir71128
28443	14ir50874
28567	14ir24375
28408	14ir74794
28312	14ir49187
28345	14ir41952
28405	14ir15680
28232	14ir69365
28330	14ir36868
28234	14ir45304
28516	14ir49095
28176	14ir80674
28506	14ir96073
28459	14ir50320
28303	14ir63625
28411	14ir56044
28357	14ir38442
28224	14ir62618
28223	14ir51935
28170	14ir53734
28295	14ir59332
28183	14ir29980
28549	14ir16797
28510	14ir51978
28320	14ir72914
28539	14ir66546
28588	14ir89482
28256	14ir30998
28169	14ir52535
28482	14ir45201
28371	14ir27263
28369	14ir96248
28414	14ir97376
28265	14ir11241
28515	14ir62151
28485	14ir35405
28208	14ir49234
28347	14ir94213
28254	14ir83911
27728	14ir48243
28252	14ir36250
28197	14ir20769
28517	14ir51747
28198	14ir93277
28362	14ir88261
28370	14ir19977
28335	14ir60295
28258	14ir97402
28328	14ir17173
28433	14ir98045
28533	14ir56528
28423	14ir29100
28299	14ir44293
28608	14ir19974
28503	14ir26498
28324	14ir64069
27635	14ir28162
28231	14ir35525
28462	14ir60264
28210	14ir28873
28284	14ir37653
