ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
27665	3	X	X	B	X	D	A	B	D	A	X	X	X	X	A	X	X	X	X	X	X	A	X	X	X	X	X	X	C	A	X
27767	4	D	B	B	B	C	B	A	D	A	D	A	A	D	A	X	A	B	X	C	C	B	X	D	X	D	C	D	C	X	D
27952	2	A	B	B	D	B	C	B	D	A	A	A	C	D	B	C	B	D	A	D	A	B	C	B	A	C	A	X	C	A	C
27855	1	D	B	B	B	C	B	A	A	C	D	X	A	D	A	X	A	C	B	X	D	X	X	D	D	B	B	X	A	A	X
27675	1	D	A	X	B	C	C	B	A	X	B	X	A	B	C	X	B	C	B	X	C	C	X	D	D	X	D	C	B	X	X
28501	4	D	B	B	B	D	B	A	X	A	D	X	A	X	B	D	A	X	A	X	X	X	X	X	X	X	A	D	C	A	D
27589	2	A	C	B	A	D	X	A	X	X	D	D	B	C	A	A	A	C	A	D	X	A	X	X	C	A	D	B	A	B	X
27616	1	A	B	B	B	D	B	A	X	A	X	A	B	X	B	D	X	C	A	X	X	A	C	C	D	A	D	D	C	A	C
28286	1	D	B	B	B	C	B	A	D	A	D	A	A	D	A	C	C	C	A	C	X	A	X	D	B	X	D	D	C	A	A
27548	1	A	A	B	X	A	B	A	B	A	X	C	X	D	A	C	A	A	A	D	X	C	X	B	X	C	X	X	C	D	D
27773	1	D	B	B	B	A	C	A	X	A	D	A	A	X	X	D	X	X	A	B	X	X	X	D	B	D	X	X	X	D	X
28072	3	A	B	B	B	D	A	A	A	D	C	X	D	D	X	X	A	B	A	C	X	A	X	X	C	X	X	X	D	B	X
27929	3	D	B	B	X	A	C	B	B	D	D	D	D	D	C	X	A	C	X	C	X	B	X	A	B	X	A	X	D	A	C
28333	3	D	B	B	B	D	B	A	B	C	D	A	X	D	C	X	A	B	D	B	X	A	X	A	D	D	D	X	C	D	C
27691	4	X	X	B	X	A	X	X	A	A	A	X	A	A	X	A	A	X	A	X	X	A	X	D	X	X	D	C	B	D	X
27742	1	D	A	B	B	A	B	A	D	A	D	A	A	D	A	D	B	C	A	C	X	A	B	D	X	D	D	D	C	A	A
27837	1	X	X	B	X	X	A	A	X	C	D	X	X	X	D	X	C	C	A	B	X	A	X	X	X	A	C	X	D	X	X
27832	2	D	B	B	B	C	B	A	D	A	D	X	A	D	X	X	B	X	A	D	X	B	X	D	C	X	D	X	C	D	D
28622	3	A	X	B	B	D	A	A	D	A	D	A	C	X	A	X	A	A	A	B	X	A	X	A	C	X	A	C	A	B	A
28203	4	D	B	B	B	C	B	A	D	A	D	A	B	D	A	X	B	A	A	C	D	D	X	D	B	D	D	D	C	X	X
28449	3	X	B	B	B	B	X	A	B	D	A	C	A	X	X	X	X	A	A	X	X	D	X	B	D	X	D	C	B	X	D
