ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore
27665	3	0	6	4	20	3
27767	4	1	20	5	5	12
27952	2	0	12	17	1	4
27855	1	0	15	8	7	8
27675	1	0	6	15	9	1
28501	4	0	14	5	11	8
27589	2	0	6	17	7	0
27616	1	0	12	12	6	5
28286	1	1	21	6	3	13
27548	1	0	8	14	8	2
27773	1	0	13	5	12	8
28072	3	0	8	12	10	3
27929	3	0	8	15	7	2
28333	3	0	11	14	5	4
27691	4	0	5	11	14	1
27742	1	1	23	5	2	14
27837	1	0	4	10	16	0
27832	2	1	18	4	8	11
28622	3	0	11	13	6	4
28203	4	1	21	5	4	13
28449	3	0	6	13	11	1
27601	1	0	9	16	5	2
27720	4	0	13	11	6	6
28604	2	1	17	3	10	11
27641	3	0	9	16	5	2
28363	4	0	9	10	11	4
28120	4	1	19	3	8	12
27792	2	0	6	3	21	3
28377	4	0	8	14	8	2
28365	3	0	11	7	12	6
27814	4	0	10	20	0	2
27977	2	1	17	2	11	11
28019	4	0	15	10	5	8
27724	2	0	13	8	9	7
27639	2	0	10	13	7	4
27748	2	0	10	17	3	3
27551	2	0	11	4	15	6
27841	4	1	25	3	2	16
27712	2	0	16	10	4	8
27769	4	0	15	4	11	9
28212	3	1	18	4	8	11
28304	1	1	24	4	2	15
28458	1	1	19	11	0	10
27718	1	0	15	9	6	8
28327	2	0	11	9	10	5
28416	3	1	21	6	3	13
28163	1	1	19	10	1	10
28550	3	0	11	9	10	5
28439	3	0	15	9	6	8
28219	4	0	10	15	5	3
28257	4	0	15	6	9	9
28196	1	1	21	4	5	13
27864	3	1	19	6	5	11
27985	1	1	17	8	5	10
28172	3	1	21	6	3	13
28015	1	0	15	12	3	7
27865	4	0	11	7	12	6
28269	4	0	6	13	11	1
28317	4	0	15	4	11	9
27527	2	1	28	2	0	18
27793	2	1	27	2	1	18
27789	1	1	19	2	9	12
28556	4	1	15	2	13	10
28045	4	1	18	6	6	11
28476	3	0	16	9	5	9
28607	3	0	8	16	6	2
28240	2	1	18	7	5	10
27874	1	1	22	6	2	13
27678	3	1	22	5	3	14
27895	1	0	16	6	8	9
28116	2	1	20	6	4	12
27731	4	1	28	2	0	18
28343	1	0	14	2	14	9
27717	2	0	16	11	3	8
28165	2	0	12	5	13	7
27672	1	1	19	3	8	12
28373	3	1	25	3	2	16
28050	2	1	17	7	6	10
27859	2	0	10	16	4	3
28230	1	0	9	11	10	4
28315	3	0	13	9	8	7
28070	4	1	17	4	9	10
27689	4	1	18	8	4	10
27756	1	0	15	8	7	8
27723	2	0	15	4	11	9
28149	3	0	12	5	13	7
27643	1	0	12	12	6	5
28589	3	1	17	4	9	10
28042	3	1	22	8	0	13
27682	2	0	12	10	8	6
28356	2	1	23	4	3	14
28058	3	1	23	7	0	14
28409	4	0	15	9	6	8
27901	4	1	17	6	7	10
28249	3	0	16	8	6	9
27823	1	0	13	9	8	7
28543	1	0	16	10	4	8
27805	4	0	16	9	5	9
27584	1	0	12	5	13	7
27752	2	0	13	6	11	7
28285	2	1	22	8	0	13
28006	3	1	24	5	1	15
27751	3	1	18	7	5	10
28626	1	1	20	7	3	12
28499	1	1	19	3	8	12
28213	2	1	24	6	0	15
28268	1	0	12	18	0	4
28220	3	1	24	6	0	15
27754	4	1	16	3	11	10
27528	3	1	19	7	4	11
27506	1	0	16	7	7	9
27552	1	1	16	5	9	10
27578	4	1	20	8	2	12
27979	4	1	20	4	6	12
27545	4	0	14	10	6	7
28047	1	1	20	2	8	13
27992	2	1	28	2	0	18
27629	4	0	7	12	11	2
28569	2	0	12	10	8	6
28297	1	1	20	8	2	12
28520	2	0	15	7	8	8
28193	4	0	13	9	8	7
28425	1	1	22	5	3	14
27961	2	0	15	7	8	8
27777	4	0	14	9	7	7
27726	3	0	10	3	17	6
28605	2	0	3	11	16	0
27764	3	1	18	9	3	10
27622	3	0	16	13	1	8
28624	4	0	4	5	21	2
27802	3	1	18	11	1	10
27940	4	0	7	16	7	1
28472	2	0	5	14	11	0
27899	3	0	11	16	3	4
27565	2	0	8	10	12	3
27957	1	1	18	8	4	10
27575	3	0	14	9	7	7
28105	3	1	23	6	1	14
27609	1	0	8	16	6	2
28442	4	0	15	4	11	9
27760	2	0	11	12	7	5
27613	2	0	7	15	8	1
27597	3	0	10	13	7	4
28481	4	0	6	3	21	3
28529	4	0	9	21	0	1
28156	1	0	16	11	3	8
27663	1	0	10	11	9	4
27867	1	1	20	7	3	12
28155	1	1	27	3	0	17
28546	1	0	16	7	7	9
28364	1	0	14	7	9	8
27914	1	1	20	6	4	12
27583	1	0	13	16	1	5
28554	1	0	12	15	3	5
28048	1	1	21	5	4	13
27664	1	0	10	7	13	5
27529	1	0	9	6	15	5
28103	1	0	12	8	10	6
28130	3	1	21	5	4	13
27603	2	1	19	6	5	11
27747	2	1	22	4	4	14
27816	4	0	13	11	6	6
28080	2	1	18	5	7	11
27612	3	1	20	2	8	13
27725	1	1	23	4	3	14
28073	1	0	14	6	10	8
28108	3	1	17	4	9	10
28092	2	0	15	10	5	8
28007	1	0	11	11	8	5
28133	4	0	13	7	10	7
27811	3	1	24	3	3	15
28024	2	0	12	8	10	6
27611	1	1	18	2	10	12
28053	4	1	19	4	7	12
28016	2	1	16	4	10	10
28101	2	0	16	6	8	9
28122	3	1	21	5	4	13
28095	2	0	13	3	14	8
27947	1	1	18	3	9	11
27862	1	1	17	7	6	10
28093	1	1	20	5	5	12
27948	3	1	22	1	7	14
27982	3	0	16	7	7	9
28069	2	0	9	11	10	4
27645	3	0	14	10	6	7
27736	2	0	16	6	8	9
28113	4	0	5	6	19	2
28005	2	0	14	3	13	9
27835	3	1	27	2	1	18
28127	3	0	15	6	9	9
28049	3	0	15	7	8	8
27973	4	0	14	7	9	8
27655	4	0	12	8	10	6
27710	1	0	16	7	7	9
27749	1	1	21	7	2	12
27759	2	0	3	13	14	0
27873	2	0	14	8	8	8
27704	4	0	16	9	5	9
27974	3	1	21	2	7	14
27673	3	1	18	6	6	11
27972	3	1	19	6	5	11
28023	1	0	9	14	7	3
27978	1	1	18	8	4	10
27599	2	0	8	6	16	4
27852	4	0	12	10	8	6
27930	2	0	13	6	11	7
27719	2	1	20	4	6	12
27694	4	0	7	9	14	3
27621	1	1	24	6	0	15
28062	4	0	14	4	12	8
28078	1	1	18	4	8	11
27956	3	1	19	8	3	11
27509	1	0	13	6	11	7
27911	2	0	15	6	9	9
27787	3	1	20	4	6	12
28129	4	0	14	7	9	8
28115	3	0	14	4	12	8
27571	1	1	18	3	9	11
27983	4	0	15	8	7	8
28034	3	1	22	5	3	14
27696	4	0	10	10	10	4
28125	4	1	20	4	6	12
27708	3	0	12	8	10	6
28076	2	0	15	6	9	9
28033	4	1	25	2	3	16
27951	4	0	11	9	10	5
27986	3	1	19	7	4	11
27790	4	1	25	2	3	16
27746	1	0	8	12	10	3
27807	4	0	9	11	10	4
27523	2	1	26	1	3	17
28028	3	0	15	11	4	8
28117	4	1	22	6	2	13
27634	3	0	15	13	2	7
27965	3	1	21	4	5	13
27600	1	0	13	7	10	7
27598	1	1	21	5	4	13
28000	2	1	19	5	6	12
28056	4	1	18	5	7	11
27593	2	1	17	4	9	10
27941	2	1	17	5	8	10
27765	3	1	18	3	9	11
27713	2	1	20	1	9	13
28141	4	1	21	2	7	14
28055	3	1	17	7	6	10
27698	3	0	11	6	13	6
27923	2	1	17	5	8	10
27999	1	0	11	19	0	3
27674	4	0	12	14	4	5
27987	1	0	13	4	13	8
27967	4	0	15	8	7	8
28067	3	1	28	2	0	18
27851	4	1	18	4	8	11
27989	2	1	26	2	2	17
28037	1	0	11	10	9	5
27943	1	0	8	16	6	2
27876	1	1	18	4	8	11
27774	3	0	11	11	8	5
27533	1	1	21	5	4	13
27819	4	1	19	2	9	12
28025	1	0	5	14	11	0
27569	2	0	13	7	10	7
28096	1	1	21	5	4	13
28039	4	0	9	16	5	2
27860	3	0	7	13	10	2
27614	2	1	24	6	0	15
27931	1	1	24	5	1	15
27632	1	0	11	10	9	5
27945	2	0	16	9	5	9
27695	3	0	6	14	10	1
28035	4	0	15	4	11	9
27991	1	0	5	6	19	2
27976	4	0	15	9	6	8
27891	1	0	6	2	22	4
28150	3	0	10	8	12	5
28018	2	0	11	19	0	3
28038	3	0	13	9	8	7
28337	2	0	14	7	9	8
28393	3	1	16	5	9	10
28570	1	0	15	4	11	9
28438	1	1	15	1	14	10
28430	1	0	11	10	9	5
28466	4	1	20	3	7	13
28431	2	0	14	5	11	8
28598	1	0	15	7	8	8
28148	1	0	12	12	6	5
28294	3	1	21	2	7	14
27521	2	1	22	4	4	14
28158	1	0	15	6	9	9
28524	2	0	12	7	11	6
28305	2	1	17	3	10	11
28287	4	1	17	5	8	10
28544	2	1	19	6	5	11
28491	4	0	14	9	7	7
28225	4	0	15	4	11	9
28205	2	1	17	4	9	10
28522	1	1	21	7	2	12
28443	1	0	17	10	3	9
28567	2	0	9	7	14	4
28408	3	1	17	7	6	10
28312	1	0	14	6	10	8
28345	1	0	15	6	9	9
28405	4	0	14	5	11	8
28232	4	0	16	8	6	9
28330	2	1	22	3	5	14
28234	3	1	28	2	0	18
28516	4	0	14	13	3	6
28176	2	0	14	6	10	8
28506	4	0	7	13	10	2
28459	2	1	18	4	8	11
28303	1	1	17	8	5	10
28411	2	1	19	1	10	12
28357	4	1	18	6	6	11
28224	3	0	15	7	8	8
28223	1	1	17	4	9	10
28170	1	1	19	0	11	13
28295	1	1	18	9	3	10
28183	1	0	15	7	8	8
28549	1	1	22	4	4	14
28510	3	0	8	9	13	3
28320	1	0	5	13	12	0
28539	1	0	6	7	17	2
28588	2	0	15	11	4	8
28256	3	0	6	2	22	4
28169	2	1	19	4	7	12
28482	4	0	4	1	25	2
28371	4	0	9	8	13	4
28369	4	0	9	13	8	3
28414	1	1	17	7	6	10
28265	3	1	21	6	3	13
28515	2	1	22	6	2	13
28485	3	1	20	3	7	13
28208	1	1	28	2	0	18
28347	3	0	8	7	15	4
28254	4	0	7	8	15	3
27728	3	0	14	16	0	6
28252	3	0	16	13	1	8
28197	2	0	12	11	7	6
28517	3	0	8	7	15	4
28198	1	0	6	13	11	1
28362	3	0	11	6	13	6
28370	3	0	14	11	5	7
28335	1	1	23	6	1	14
28258	4	0	13	6	11	7
28328	1	1	19	6	5	11
28433	1	1	19	4	7	12
28533	2	0	13	12	5	6
28423	2	0	11	11	8	5
28299	2	0	11	9	10	5
28608	3	0	14	5	11	8
28503	3	0	12	11	7	6
28324	2	1	19	8	3	11
27635	4	1	18	10	2	10
28231	3	0	15	5	10	9
28462	1	0	7	7	16	3
28210	2	1	19	7	4	11
28284	3	0	10	13	7	4
