vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	357	240	36	72	5	4	240
2	B	357	268	50	24	268	7	8
3	B	357	333	7	3	333	14	0
4	B	357	266	37	36	266	7	11
5	C	357	194	35	35	24	194	69
6	B	357	265	28	25	265	19	20
7	A	357	312	8	312	20	16	1
8	D	357	176	66	30	73	12	176
9	A	357	267	15	267	6	50	19
10	D	357	266	28	30	6	27	266
11	A	357	187	102	187	35	20	13
12	A	357	219	62	219	16	43	17
13	D	357	205	101	15	30	6	205
14	A	357	132	98	132	54	55	18
15	D	357	134	165	17	16	25	134
16	B	357	96	61	157	96	30	13
17	D	357	87	56	75	30	109	87
18	A	357	262	51	262	6	9	29
19	C	357	168	108	15	43	168	23
20	D	357	61	256	14	13	13	61
21	B	357	77	72	169	77	25	14
22	B	357	46	286	0	46	18	7
23	D	357	166	125	22	26	18	166
24	C	357	90	126	8	66	90	67
25	D	357	162	127	47	9	12	162
26	B	357	111	101	66	111	22	57
27	D	357	160	119	6	33	39	160
28	C	357	179	51	69	18	179	40
29	A	357	181	81	181	65	9	21
30	A	357	130	155	130	22	35	15
