feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
17dw72517	1	B	C	A	B	D	C	A	C	D	B	B	A	A	A	A	B	A	B	C	D	C	D	B	C	D	C	D	D	B	C
17dw51197	1	B	A	X	D	A	C	A	C	D	C	B	A	B	X	X	B	B	B	D	D	A	D	D	D	A	X	X	X	C	X
17dw25207	1	A	D	A	C	A	B	A	B	A	B	B	A	B	B	A	D	C	C	D	B	D	A	B	C	B	D	A	A	C	C
17dw57041	1	D	C	A	X	C	X	A	C	X	C	B	X	B	C	A	B	A	D	D	B	B	D	B	C	A	C	D	D	C	B
17dw89895	1	B	B	B	B	C	B	A	C	C	B	B	A	C	C	B	A	C	D	A	D	B	A	B	C	A	C	A	C	C	C
17dw53938	1	D	C	D	D	B	X	A	C	X	C	B	B	A	C	X	D	B	D	X	D	A	A	B	X	A	X	B	A	C	C
17dw11406	1	B	A	A	B	X	D	B	B	B	A	B	X	X	D	D	B	D	A	D	A	B	D	X	X	X	X	A	D	D	B
17dw87393	1	B	X	D	B	X	C	D	D	X	A	B	A	X	C	X	B	B	B	D	B	B	A	B	B	A	C	A	B	D	C
17dw97543	1	A	X	C	X	B	A	A	C	B	B	B	A	B	B	A	C	A	B	A	B	A	A	B	C	A	X	A	C	C	B
17dw70071	1	A	X	C	D	X	B	A	C	D	B	A	X	X	C	A	D	X	X	X	B	X	D	B	X	D	C	A	D	C	X
17dw54297	1	A	B	C	D	D	D	A	X	X	A	B	A	C	C	B	A	A	B	B	X	B	A	A	D	X	A	A	B	B	C
17dw45204	1	B	B	X	D	X	D	A	B	B	B	B	A	B	B	A	B	A	X	X	D	B	X	B	C	A	C	A	X	D	B
17dw88829	1	A	A	C	X	A	B	A	C	D	B	B	A	A	D	B	B	C	X	D	X	A	D	B	X	B	C	B	A	D	C
17dw21788	1	B	B	D	B	A	D	C	C	D	B	A	B	A	B	A	B	B	D	C	B	C	D	B	C	C	C	B	A	D	C
17dw36589	1	B	X	B	D	X	B	C	A	A	C	B	A	X	C	A	B	D	B	A	B	D	C	B	D	D	D	D	A	D	A
17dw81677	1	A	A	C	D	B	B	A	C	D	B	B	A	C	C	A	B	C	D	A	C	C	A	B	C	A	D	A	D	D	D
17dw80959	1	B	C	A	D	B	B	A	B	C	C	B	A	A	C	A	D	B	D	C	B	D	A	B	C	B	B	A	D	C	D
17dw40653	1	C	X	X	C	X	D	C	C	X	B	B	A	A	B	B	A	X	X	C	B	X	A	X	D	B	C	A	D	X	X
17dw24927	1	B	B	D	C	X	C	X	X	X	C	B	D	B	C	X	A	A	B	A	D	B	B	B	C	A	C	B	D	X	X
17dw43059	1	B	A	C	A	A	C	C	A	X	B	B	A	C	C	B	D	A	X	A	D	C	A	D	B	X	C	A	D	C	D
17dw89627	1	B	X	A	A	X	X	B	X	X	X	B	X	X	X	X	X	X	X	X	X	X	B	B	D	D	C	D	D	C	X
17dw92422	1	A	C	D	D	B	B	D	C	D	D	B	A	C	C	D	B	B	A	D	B	C	A	B	C	A	C	A	D	D	C
17dw40899	1	A	D	C	X	D	B	A	C	D	B	B	A	B	B	A	B	A	D	D	B	B	A	B	A	A	C	A	D	C	C
17dw49832	1	B	B	A	C	B	B	B	A	D	B	D	B	B	C	C	A	A	B	A	A	B	X	D	D	D	C	D	B	X	B
17dw43052	1	D	X	D	B	B	X	A	C	D	C	B	A	C	C	A	B	A	B	D	C	B	D	B	C	A	C	A	A	X	C
17dw68293	1	B	C	C	D	X	C	B	X	X	A	B	A	X	C	X	X	A	X	B	D	X	X	X	X	X	X	X	X	B	X
17dw67212	1	D	A	X	X	X	X	A	A	X	X	B	B	X	X	X	B	C	X	X	X	A	X	A	D	B	B	X	A	D	X
17dw25996	1	B	D	X	C	X	D	C	C	D	C	D	B	C	X	D	A	D	D	A	D	D	C	B	C	B	B	A	X	B	D
17dw94478	1	B	C	A	C	B	A	C	A	X	C	D	B	C	B	B	A	D	B	D	B	B	C	B	C	B	D	C	A	B	D
17dw99721	1	A	B	X	C	B	B	C	A	B	X	B	C	B	C	A	A	B	B	D	D	B	A	D	B	D	X	D	D	B	C
17dw63809	1	B	X	X	C	X	D	B	A	X	X	A	D	C	D	B	B	A	B	D	X	X	X	X	B	X	C	D	A	C	X
17dw79317	1	C	B	D	B	A	D	C	D	D	C	D	D	A	C	C	C	C	B	A	B	B	C	A	D	B	B	B	A	C	D
17dw28398	1	C	C	C	C	B	B	D	D	A	C	B	B	D	C	D	B	B	B	A	D	A	D	A	C	A	D	D	B	C	C
17dw83995	1	C	D	D	B	B	X	B	X	D	A	C	D	X	X	X	B	X	A	C	A	X	X	X	X	X	B	B	D	C	D
17dw53820	1	C	B	C	A	B	C	A	B	D	D	B	A	B	B	D	D	A	B	B	D	C	A	A	C	B	D	A	C	A	D
17dw43399	1	C	B	X	C	A	D	B	C	D	B	B	A	C	B	C	A	X	D	C	B	D	B	B	D	C	B	D	A	D	C
17dw68377	1	C	B	B	D	A	D	B	D	A	C	B	A	B	B	A	B	C	B	A	D	B	C	A	D	B	C	A	D	C	D
