feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	totaal_geen_correctieGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	wiskunde_geen_correctieGroep	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysicaGroep	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	fysica_geen_correctieGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore	chemie_geen_correctieGroep	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
17dw72517	1	0	12	15	0	5	5-9	13	17	0	5	5-9	3	6	0	1	<3	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	11	7	11	9	14	10	15	14	16
17dw51197	1	0	10	11	6	5	5-9	11	12	7	5	5-9	5	3	1	4	3-4	5	4	1	4	3-4	4	4	1	3	3-4	4	4	2	3	3-4	1	4	4	0	<3	2	4	4	1	<3	17	7	11	5	15	12	15	11	14
17dw25207	1	0	12	15	0	5	5-9	13	17	0	5	5-9	3	6	0	1	<3	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	18	6	16	4	16	8	16	16	15
17dw57041	1	0	13	10	4	7	5-9	13	13	4	6	5-9	2	4	3	1	<3	2	5	3	0	<3	6	2	1	6	>=5	6	3	1	5	>=5	5	4	0	4	3-4	5	5	0	3	3-4	16	8	12	8	13	14	13	15	14
17dw89895	1	0	14	13	0	7	5-9	15	15	0	7	5-9	3	6	0	1	<3	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	7	2	0	7	>=5	7	3	0	6	>=5	15	6	12	6	15	9	15	15	15
17dw53938	1	0	10	12	5	4	<5	11	13	6	4	<5	4	3	2	3	3-4	4	4	2	3	3-4	2	6	1	0	<3	2	6	2	0	<3	4	3	2	3	3-4	5	3	2	4	3-4	0	0	0	0	0	0	0	0	0
17dw11406	1	0	8	12	7	3	<5	9	14	7	3	<5	1	7	1	0	<3	1	8	1	0	<3	4	3	2	3	3-4	5	3	2	4	3-4	3	2	4	3	3-4	3	3	4	2	<3	14	6	13	7	15	11	17	15	15
17dw87393	1	0	12	11	4	6	5-9	12	13	5	5	5-9	0	6	3	0	<3	0	7	3	0	<3	5	3	1	4	3-4	5	3	2	4	3-4	7	2	0	7	>=5	7	3	0	6	>=5	16	10	12	6	19	16	15	14	16
17dw97543	1	0	14	10	3	8	5-9	16	11	3	8	5-9	5	2	2	5	>=5	6	2	2	5	>=5	4	5	0	3	3-4	4	6	0	2	<3	5	3	1	4	3-4	6	3	1	5	>=5	17	5	15	5	14	9	17	13	14
17dw70071	1	0	12	6	9	7	5-9	13	7	10	7	5-9	7	0	2	8	>=5	8	0	2	8	>=5	1	3	5	0	<3	1	4	5	0	<3	4	3	2	3	3-4	4	3	3	3	3-4	15	7	13	6	16	12	15	15	15
17dw54297	1	0	11	12	4	5	5-9	11	15	4	4	<5	4	3	2	3	3-4	4	4	2	3	3-4	4	4	1	3	3-4	4	5	1	2	<3	3	5	1	1	<3	3	6	1	1	<3	16	9	13	5	12	10	11	13	14
17dw45204	1	0	12	9	6	7	5-9	13	11	6	6	5-9	2	5	2	0	<3	3	5	2	1	<3	4	3	2	3	3-4	4	4	2	3	3-4	6	1	2	6	>=5	6	2	2	5	>=5	14	13	10	9	15	16	13	12	15
17dw88829	1	1	16	7	4	10	>=10	18	8	4	10	>=10	7	1	1	7	>=5	8	1	1	8	>=5	5	2	2	5	>=5	5	3	2	4	3-4	4	4	1	3	3-4	5	4	1	4	3-4	17	6	13	6	13	10	12	13	12
17dw21788	1	0	10	17	0	3	<5	11	19	0	3	<5	2	7	0	0	<3	3	7	0	1	<3	3	6	0	1	<3	3	7	0	1	<3	5	4	0	4	3-4	5	5	0	3	3-4	17	10	17	6	18	9	13	10	13
17dw36589	1	0	8	16	3	2	<5	8	19	3	1	<5	2	5	2	0	<3	2	6	2	0	<3	4	4	1	3	3-4	4	5	1	2	<3	2	7	0	0	<3	2	8	0	0	<3	13	12	7	11	15	16	13	11	15
17dw81677	1	1	21	6	0	14	>=10	22	8	0	13	>=10	9	0	0	10	>=5	10	0	0	10	>=5	5	4	0	4	3-4	5	5	0	3	3-4	7	2	0	7	>=5	7	3	0	6	>=5	12	17	10	9	12	10	15	11	8
17dw80959	1	0	13	14	0	6	5-9	13	17	0	5	5-9	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	14	4	12	9	12	8	16	14	11
17dw40653	1	0	8	10	9	3	<5	9	11	10	4	<5	1	4	4	0	<3	2	4	4	1	<3	3	4	2	2	<3	3	5	2	1	<3	4	2	3	4	3-4	4	2	4	3	3-4	16	6	17	7	17	17	12	18	13
17dw24927	1	0	7	14	6	2	<5	7	16	7	1	<5	0	5	4	0	<3	0	6	4	0	<3	2	7	0	0	<3	2	7	1	0	<3	5	2	2	5	>=5	5	3	2	4	3-4	15	5	15	5	13	8	17	10	14
17dw43059	1	0	10	14	3	4	<5	11	16	3	4	<5	2	6	1	0	<3	3	6	1	1	<3	4	4	1	3	3-4	4	5	1	2	<3	4	4	1	3	3-4	4	5	1	2	<3	15	8	13	5	11	12	13	12	15
