vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	A	399	174	44	5	1	174	108	42	70
2	A	399	67	17	119	29	67	83	82	48
3	C	399	169	42	82	20	44	42	169	62
4	D	399	136	34	103	25	22	67	71	136
5	B	399	138	35	182	45	38	138	26	15
6	B	399	118	30	101	25	31	118	74	75
7	A	399	251	63	14	3	251	47	59	28
8	C	399	237	59	51	12	41	45	237	25
9	D	399	124	31	143	35	44	52	36	124
10	B	399	131	33	41	10	21	131	175	31
11	B	399	333	83	1	0	18	333	3	44
12	A	399	302	76	21	5	302	54	14	8
13	C	399	133	33	71	17	65	111	133	19
14	D	399	66	17	71	17	28	53	181	66
15	D	399	37	9	97	24	173	74	18	37
16	B	399	249	62	22	5	56	249	20	52
17	A	399	128	32	50	12	128	118	70	33
18	D	399	131	33	90	22	36	106	36	131
19	D	399	149	37	36	9	110	53	51	149
20	B	399	189	47	55	13	21	189	17	117
21	A	399	123	31	43	10	123	149	66	18
22	A	399	167	42	31	7	167	66	64	71
23	B	399	305	76	39	9	23	305	10	22
24	C	399	192	48	72	18	15	62	192	58
25	A	399	219	55	40	10	219	86	23	31
26	C	399	254	64	36	9	14	29	254	66
27	A	399	200	50	34	8	200	97	20	48
28	D	399	240	60	30	7	65	49	15	240
29	D	399	182	46	32	8	16	77	92	182
30	C	399	220	55	38	9	17	43	220	81
