ijkID	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
30005	17	6	14	4	16	8	15	15	17
30007	16	4	13	8	20	5	15	19	20
30009	17	7	13	5	17	11	14	18	17
30013	16	7	12	5	15	8	15	14	13
30014	17	6	14	7	14	9	13	15	14
30018	19	4	20	4	19	4	20	11	16
30020	17	6	15	4	15	5	15	15	17
30025	12	5	12	4	14	10	13	8	13
30026	15	6	15	4	14	11	10	10	14
30027	18	4	18	4	16	8	15	11	14
30028	16	7	12	6	13	11	11	12	14
30032	18	6	15	5	17	8	17	13	15
30038	17	6	13	6	12	12	9	13	11
30039	18	5	15	6	17	8	15	15	17
30043	14	8	13	8	14	9	16	16	13
30046	17	4	15	6	16	6	16	9	15
30048	17	6	15	5	15	10	15	15	15
30050	16	12	14	7	13	13	15	14	10
30055	15	7	12	5	15	10	9	13	15
30057	16	9	15	6	15	11	13	10	12
30058	14	9	12	7	15	11	11	11	13
30063	16	7	13	6	14	10	16	13	14
30065	17	6	16	5	16	8	14	13	17
30068	16	5	14	8	16	8	15	15	15
30070	18	4	18	5	19	8	17	13	16
30073	17	6	14	7	14	10	16	14	12
30074	17	5	15	4	15	8	15	13	14
30076	16	7	14	5	14	12	15	11	15
30077	15	5	17	4	15	10	15	16	16
30079	15	5	12	7	13	7	16	11	15
30085	19	5	20	4	18	6	19	15	18
30086	17	6	18	5	15	7	17	12	13
30093	15	6	15	5	16	11	15	10	14
30094	14	11	10	11	14	12	11	9	12
30099	16	7	15	6	15	10	13	11	15
30100	17	7	16	6	15	8	17	12	10
30101	15	10	14	7	12	12	17	7	6
30106	19	8	18	5	17	10	17	15	16
30107	18	5	13	4	17	10	15	15	16
30108	16	5	14	4	15	8	17	16	15
30110	17	6	15	4	12	8	14	13	11
30111	18	11	16	5	15	9	15	13	14
30113	16	7	14	7	15	5	17	11	14
30114	15	11	13	12	14	13	15	15	12
30115	15	8	14	5	15	8	17	15	14
30117	13	13	15	8	17	10	17	13	17
30118	17	11	14	6	18	10	17	13	14
30123	16	11	12	11	14	14	15	17	14
30124	17	9	18	5	15	10	13	13	15
30125	14	11	12	11	14	15	12	13	13
30127	15	11	15	8	14	10	15	13	16
30129	17	6	13	5	16	9	15	12	15
30132	17	6	14	5	15	9	17	17	17
30136	18	6	16	7	18	11	15	10	15
30138	14	6	17	5	16	10	13	4	10
30142	17	8	16	8	15	7	16	13	14
30143	19	6	20	4	18	8	17	16	18
30144	16	9	16	6	15	9	15	14	13
30146	16	7	14	4	14	13	15	13	15
30147	15	9	12	7	15	10	14	14	14
30149	14	11	12	7	14	10	11	11	16
30151	15	6	14	4	12	7	17	9	13
30152	15	9	13	6	15	9	14	14	15
30155	17	10	13	7	14	12	13	13	14
30157	15	9	12	6	14	12	10	13	14
30161	16	9	11	6	14	13	12	11	10
30162	13	11	12	8	14	12	11	8	12
30163	17	7	17	5	18	9	15	15	12
30164	16	9	14	4	17	12	16	6	12
30166	16	12	13	6	12	12	13	7	12
30167	15	9	12	6	14	10	11	15	15
30171	15	8	14	4	15	13	13	9	11
30172	15	9	16	6	17	8	20	19	19
30174	17	6	12	5	15	11	15	15	16
30177	17	6	14	5	16	10	15	13	11
30183	15	13	13	6	17	9	15	10	16
30184	15	6	14	5	14	9	15	13	14
30189	15	7	15	10	19	7	16	12	15
30190	15	7	15	7	18	8	19	13	19
30191	17	6	15	4	15	11	13	13	10
30192	16	12	11	7	16	14	13	17	12
30196	18	8	15	6	15	9	14	13	14
30207	16	16	17	5	16	16	11	13	12
30216	13	7	11	7	14	6	18	13	16
30218	18	7	18	5	14	7	13	11	13
30221	15	7	13	6	14	9	15	14	13
30222	17	4	14	5	17	7	14	15	18
30223	17	4	14	6	15	14	17	14	15
30224	16	6	16	5	15	7	19	17	16
30226	16	6	15	5	14	6	15	10	13
30227	17	5	12	7	14	9	11	15	15
30228	17	5	15	4	16	9	15	10	13
30231	17	8	14	5	14	13	13	15	15
30232	17	6	17	5	17	5	16	17	15
30240	15	8	10	8	13	10	12	9	14
30245	17	6	15	6	16	8	16	16	15
