Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,ijkID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,30444,17dwAEEX18330444,17,B,5,12,15,0,5,13,17,0,1,3,6,0,2,4,6,0,3,4,5,0,2,4,6,0,4,5,4,0,3,5,5,0,,,,
,,30417,17dwAEEX17630417,17,B,5,10,11,6,5,11,12,7,4,5,3,1,4,5,4,1,3,4,4,1,3,4,4,2,0,1,4,4,1,2,4,4,,,,
,,30453,17dwAEEX18730453,17,B,5,12,15,0,5,13,17,0,1,3,6,0,2,4,6,0,3,4,5,0,2,4,6,0,4,5,4,0,3,5,5,0,,,,
,,30350,17dwAEEX15330350,17,B,7,13,10,4,6,13,13,4,1,2,4,3,0,2,5,3,6,6,2,1,5,6,3,1,4,5,4,0,3,5,5,0,,,,
,,30333,17dwAEEX14330333,17,B,7,14,13,0,7,15,15,0,1,3,6,0,2,4,6,0,3,4,5,0,2,4,6,0,7,7,2,0,6,7,3,0,,,,
,,30353,17dwAEEX15430353,17,C,4,10,12,5,4,11,13,6,3,4,3,2,3,4,4,2,0,2,6,1,0,2,6,2,3,4,3,2,4,5,3,2,,,,
,,30334,17dwAEEX14430334,17,C,3,8,12,7,3,9,14,7,0,1,7,1,0,1,8,1,3,4,3,2,4,5,3,2,3,3,2,4,2,3,3,4,,,,
,,30322,17dwAEEX13630322,17,B,6,12,11,4,5,12,13,5,0,0,6,3,0,0,7,3,4,5,3,1,4,5,3,2,7,7,2,0,6,7,3,0,,,,
,,30440,17dwAEEX18130440,17,B,8,14,10,3,8,16,11,3,5,5,2,2,5,6,2,2,3,4,5,0,2,4,6,0,4,5,3,1,5,6,3,1,,,,
,,30433,17dwAEEX18030433,17,B,7,12,6,9,7,13,7,10,8,7,0,2,8,8,0,2,0,1,3,5,0,1,4,5,3,4,3,2,3,4,3,3,,,,
,,30371,17dwAEEX16230371,17,B,5,11,12,4,4,11,15,4,3,4,3,2,3,4,4,2,3,4,4,1,2,4,5,1,1,3,5,1,1,3,6,1,,,,
,,30463,17dwAEEX19130463,17,B,7,12,9,6,6,13,11,6,0,2,5,2,1,3,5,2,3,4,3,2,3,4,4,2,6,6,1,2,5,6,2,2,,,,
,,30377,17dwAEEX16430377,17,A,10,16,7,4,10,18,8,4,7,7,1,1,8,8,1,1,5,5,2,2,4,5,3,2,3,4,4,1,4,5,4,1,,,,
,,30446,17dwAEEX18430446,17,C,3,10,17,0,3,11,19,0,0,2,7,0,1,3,7,0,1,3,6,0,1,3,7,0,4,5,4,0,3,5,5,0,,,,
,,30331,17dwAEEX14230331,17,C,2,8,16,3,1,8,19,3,0,2,5,2,0,2,6,2,3,4,4,1,2,4,5,1,0,2,7,0,0,2,8,0,,,,
,,30385,17dwAEEX16730385,17,A,14,21,6,0,13,22,8,0,10,9,0,0,10,10,0,0,4,5,4,0,3,5,5,0,7,7,2,0,6,7,3,0,,,,
,,30469,17dwAEEX19230469,17,B,6,13,14,0,5,13,17,0,3,4,5,0,2,4,6,0,3,4,5,0,2,4,6,0,4,5,4,0,3,5,5,0,,,,
,,30321,17dwAEEX13530321,17,C,3,8,10,9,4,9,11,10,0,1,4,4,1,2,4,4,2,3,4,2,1,3,5,2,4,4,2,3,3,4,2,4,,,,
,,30347,17dwAEEX15030347,17,C,2,7,14,6,1,7,16,7,0,0,5,4,0,0,6,4,0,2,7,0,0,2,7,1,5,5,2,2,4,5,3,2,,,,
,,30411,17dwAEEX17530411,17,C,4,10,14,3,4,11,16,3,0,2,6,1,1,3,6,1,3,4,4,1,2,4,5,1,3,4,4,1,2,4,5,1,,,,
,,30395,17dwAEEX16930395,17,C,1,4,9,14,1,4,9,17,0,0,4,5,0,0,4,6,1,1,0,8,1,1,0,9,1,3,5,1,1,3,5,2,,,,
,,30363,17dwAEEX16030363,17,A,14,21,6,0,13,22,8,0,6,6,3,0,5,6,4,0,6,6,3,0,6,7,3,0,10,9,0,0,9,9,1,0,,,,
,,30421,17dwAEEX17730421,17,A,13,20,6,1,12,21,8,1,6,6,2,1,6,7,2,1,7,7,2,0,6,7,3,0,7,7,2,0,6,7,3,0,,,,
,,30360,17dwAEEX15830360,17,C,0,5,20,2,0,6,22,2,1,3,6,0,2,4,6,0,0,1,8,0,0,1,9,0,0,1,6,2,0,1,7,2,,,,
,,30405,17dwAEEX17130405,17,A,10,16,8,3,8,16,11,3,3,4,3,2,3,4,4,2,6,6,3,0,5,6,4,0,6,6,2,1,5,6,3,1,,,,
,,30323,17dwAEEX13730323,17,C,2,5,8,14,1,5,9,16,1,2,4,3,0,2,5,3,2,3,3,3,2,3,3,4,0,0,1,8,0,0,1,9,,,,
,,30361,17dwAEEX15930361,17,C,1,5,9,13,2,6,9,15,1,2,2,5,1,2,2,6,1,2,2,5,1,2,2,6,0,1,5,3,0,2,5,3,,,,
,,30406,17dwAEEX17230406,17,C,1,7,16,4,1,8,18,4,0,2,5,2,0,2,6,2,0,2,6,1,1,3,6,1,1,3,5,1,1,3,6,1,,,,
,,30330,17dwAEEX14130330,17,C,0,6,20,1,0,6,23,1,0,1,7,1,0,1,8,1,1,3,6,0,1,3,7,0,0,2,7,0,0,2,8,0,,,,
,,30383,17dwAEEX16630383,17,C,2,8,17,2,1,8,19,3,1,3,5,1,1,3,5,2,0,2,7,0,0,2,8,0,1,3,5,1,1,3,6,1,,,,
,,30366,17dwAEEX16130366,17,C,1,6,12,9,1,6,13,11,0,0,5,4,0,0,5,5,4,5,3,1,4,5,4,1,0,1,4,4,0,1,4,5,,,,
,,30348,17dwAEEX15130348,17,C,0,2,25,0,0,2,28,0,0,1,8,0,0,1,9,0,0,1,8,0,0,1,9,0,0,0,9,0,0,0,10,0,,,,
,,30409,17dwAEEX17430409,17,C,1,8,19,0,2,10,20,0,1,3,6,0,1,3,7,0,0,2,7,0,1,3,7,0,1,3,6,0,2,4,6,0,,,,
,,30345,17dwAEEX14830345,17,C,0,4,14,9,0,4,15,11,0,2,5,2,0,2,6,2,0,1,5,3,0,1,5,4,0,1,4,4,0,1,4,5,,,,
,,30389,17dwAEEX16830389,17,C,3,10,17,0,3,11,19,0,3,4,5,0,2,4,6,0,1,3,6,0,2,4,6,0,1,3,6,0,1,3,7,0,,,,
