ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore
30444	1	0	12	15	0	5	13	17	0	5	3	6	0	1	4	6	0	2	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3
30417	1	0	10	11	6	5	11	12	7	5	5	3	1	4	5	4	1	4	4	4	1	3	4	4	2	3	1	4	4	0	2	4	4	1
30453	1	0	12	15	0	5	13	17	0	5	3	6	0	1	4	6	0	2	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3
30350	1	0	13	10	4	7	13	13	4	6	2	4	3	1	2	5	3	0	6	2	1	6	6	3	1	5	5	4	0	4	5	5	0	3
30333	1	0	14	13	0	7	15	15	0	7	3	6	0	1	4	6	0	2	4	5	0	3	4	6	0	2	7	2	0	7	7	3	0	6
30353	1	0	10	12	5	4	11	13	6	4	4	3	2	3	4	4	2	3	2	6	1	0	2	6	2	0	4	3	2	3	5	3	2	4
30334	1	0	8	12	7	3	9	14	7	3	1	7	1	0	1	8	1	0	4	3	2	3	5	3	2	4	3	2	4	3	3	3	4	2
30322	1	0	12	11	4	6	12	13	5	5	0	6	3	0	0	7	3	0	5	3	1	4	5	3	2	4	7	2	0	7	7	3	0	6
30440	1	0	14	10	3	8	16	11	3	8	5	2	2	5	6	2	2	5	4	5	0	3	4	6	0	2	5	3	1	4	6	3	1	5
30433	1	0	12	6	9	7	13	7	10	7	7	0	2	8	8	0	2	8	1	3	5	0	1	4	5	0	4	3	2	3	4	3	3	3
30371	1	0	11	12	4	5	11	15	4	4	4	3	2	3	4	4	2	3	4	4	1	3	4	5	1	2	3	5	1	1	3	6	1	1
30463	1	0	12	9	6	7	13	11	6	6	2	5	2	0	3	5	2	1	4	3	2	3	4	4	2	3	6	1	2	6	6	2	2	5
30377	1	1	16	7	4	10	18	8	4	10	7	1	1	7	8	1	1	8	5	2	2	5	5	3	2	4	4	4	1	3	5	4	1	4
30446	1	0	10	17	0	3	11	19	0	3	2	7	0	0	3	7	0	1	3	6	0	1	3	7	0	1	5	4	0	4	5	5	0	3
30331	1	0	8	16	3	2	8	19	3	1	2	5	2	0	2	6	2	0	4	4	1	3	4	5	1	2	2	7	0	0	2	8	0	0
30385	1	1	21	6	0	14	22	8	0	13	9	0	0	10	10	0	0	10	5	4	0	4	5	5	0	3	7	2	0	7	7	3	0	6
30469	1	0	13	14	0	6	13	17	0	5	4	5	0	3	4	6	0	2	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3
30321	1	0	8	10	9	3	9	11	10	4	1	4	4	0	2	4	4	1	3	4	2	2	3	5	2	1	4	2	3	4	4	2	4	3
30347	1	0	7	14	6	2	7	16	7	1	0	5	4	0	0	6	4	0	2	7	0	0	2	7	1	0	5	2	2	5	5	3	2	4
30411	1	0	10	14	3	4	11	16	3	4	2	6	1	0	3	6	1	1	4	4	1	3	4	5	1	2	4	4	1	3	4	5	1	2
30395	1	0	4	9	14	1	4	9	17	1	0	4	5	0	0	4	6	0	1	0	8	1	1	0	9	1	3	5	1	1	3	5	2	1
30363	1	1	21	6	0	14	22	8	0	13	6	3	0	6	6	4	0	5	6	3	0	6	7	3	0	6	9	0	0	10	9	1	0	9
30421	1	1	20	6	1	13	21	8	1	12	6	2	1	6	7	2	1	6	7	2	0	7	7	3	0	6	7	2	0	7	7	3	0	6
30360	1	0	5	20	2	0	6	22	2	0	3	6	0	1	4	6	0	2	1	8	0	0	1	9	0	0	1	6	2	0	1	7	2	0
30405	1	1	16	8	3	10	16	11	3	8	4	3	2	3	4	4	2	3	6	3	0	6	6	4	0	5	6	2	1	6	6	3	1	5
30323	1	0	5	8	14	2	5	9	16	1	2	4	3	1	2	5	3	0	3	3	3	2	3	3	4	2	0	1	8	0	0	1	9	0
