key	value
aantalDeelnemers	399
totaalHoogsteScore	18
totaalLaagsteScore	0
totaalGemiddeldeScore	6.862155388471178
totaalMediaanScore	6
totaalAantalScore0	26
totaalAantalScore1	19
totaalAantalScore2	20
totaalAantalScore3	29
totaalAantalScore4	38
totaalAantalScore5	34
totaalAantalScore6	37
totaalAantalScore7	33
totaalAantalScore8	29
totaalAantalScore9	34
totaalAantalScore10	24
totaalAantalScore11	17
totaalAantalScore12	9
totaalAantalScore13	15
totaalAantalScore14	9
totaalAantalScore15	6
totaalAantalScore16	12
totaalAantalScore17	3
totaalAantalScore18	5
totaalAantalScore19	0
totaalAantalScore20	0
totaal_geen_correctieHoogsteScore	18
totaal_geen_correctieLaagsteScore	0
totaal_geen_correctieGemiddeldeScore	6.335839598997493
totaal_geen_correctieMediaanScore	6
totaal_geen_correctieAantalScore0	28
totaal_geen_correctieAantalScore1	23
totaal_geen_correctieAantalScore2	20
totaal_geen_correctieAantalScore3	34
totaal_geen_correctieAantalScore4	37
totaal_geen_correctieAantalScore5	37
totaal_geen_correctieAantalScore6	40
totaal_geen_correctieAantalScore7	34
totaal_geen_correctieAantalScore8	38
totaal_geen_correctieAantalScore9	28
totaal_geen_correctieAantalScore10	24
totaal_geen_correctieAantalScore11	8
totaal_geen_correctieAantalScore12	13
totaal_geen_correctieAantalScore13	9
totaal_geen_correctieAantalScore14	10
totaal_geen_correctieAantalScore15	6
totaal_geen_correctieAantalScore16	6
totaal_geen_correctieAantalScore17	3
totaal_geen_correctieAantalScore18	1
totaal_geen_correctieAantalScore19	0
totaal_geen_correctieAantalScore20	0
wiskundeHoogsteScore	10
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	2.8972431077694236
wiskundeMediaanScore	3
wiskundeAantalScore0	111
wiskundeAantalScore1	63
wiskundeAantalScore2	24
wiskundeAantalScore3	63
wiskundeAantalScore4	36
wiskundeAantalScore5	13
wiskundeAantalScore6	35
wiskundeAantalScore7	21
wiskundeAantalScore8	14
