Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","ijkID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,30001,"17dwGRGE00130001",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30002,"17dwGRGE00230002",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30003,"17dwGRGE00330003",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30004,"17dwGRGE00430004",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30005,"17dwAEEX00130005",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30006,"17dwGRGE00530006",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30007,"17dwAEEX00230007",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30008,"17dwGRGE00630008",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30009,"17dwAEEX00330009",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30010,"17dwGRGE00730010",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30011,"17dwGRGE00830011",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30012,"17dwGRGE00930012",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30013,"17dwAEEX00430013",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30014,"17dwAEEX00530014",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30015,"17dwGRGE01030015",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30016,"17dwGRGE01130016",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30017,"17dwGRGE01230017",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30018,"17dwAEEX00630018",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30019,"17dwGRGE01330019",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30020,"17dwAEEX00730020",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30021,"17dwGRGE01430021",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30022,"17dwGRGE01530022",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30023,"17dwGRGE01630023",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
