feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
17ia77039	1	B	A	D	B	C	X	X	B	C	X	D	C	B	A	B	X	X	C	A	C	X	C
17ia38760	1	D	B	D	B	C	A	B	D	A	C	D	A	C	B	D	A	C	B	A	C	B	A
17ia88081	1	D	C	D	B	D	X	X	B	C	C	X	X	C	C	C	X	X	D	D	A	C	A
17ia14788	1	D	B	B	B	D	B	B	A	C	B	B	X	X	X	B	X	X	X	D	A	C	A
17ia19482	1	B	B	D	A	D	C	C	C	B	B	B	C	X	C	C	X	X	D	C	B	B	A
17ia34101	1	B	C	D	A	D	B	A	B	X	B	X	X	B	D	B	X	X	C	D	A	C	A
17ia17795	1	D	C	B	B	D	A	D	A	C	C	B	X	C	X	B	X	X	X	D	A	C	A
17ia66932	1	D	C	B	B	D	A	X	A	C	B	C	A	X	D	D	X	X	D	D	A	C	A
17ia24103	1	D	C	B	B	X	X	X	A	C	D	X	A	X	D	B	X	A	X	D	A	C	A
17ia70063	1	D	C	B	A	B	X	C	A	C	D	B	A	X	C	B	X	X	X	D	D	A	A
17ia23467	1	D	C	B	B	D	C	B	A	X	D	B	X	X	D	C	X	B	D	D	D	C	A
17ia79103	1	D	C	B	C	D	A	D	A	X	D	B	X	X	D	C	A	B	X	D	A	B	A
17ia40431	1	D	B	B	A	D	X	B	X	C	B	B	X	X	C	B	X	X	X	D	A	C	A
17ia77051	1	X	C	B	A	A	C	C	C	C	D	X	X	X	D	C	X	X	D	D	A	C	A
17ia67664	1	D	A	D	B	A	B	C	D	X	D	A	D	X	D	A	X	X	C	D	A	C	A
17ia86165	1	D	C	B	B	D	C	D	A	X	D	B	X	C	C	C	X	X	D	D	X	X	D
17ia86463	1	D	C	B	B	D	X	D	A	C	B	D	A	C	D	C	X	X	D	D	A	C	A
17ia22869	1	D	C	B	B	D	A	B	A	X	D	B	X	C	D	D	X	X	D	D	D	X	A
17ia11141	1	D	D	D	B	D	A	C	C	C	C	B	D	X	C	D	B	D	D	C	A	D	B
17ia58882	1	D	C	B	B	D	X	B	C	C	D	B	X	X	D	X	X	X	D	D	A	C	A
17ia92265	1	C	X	B	A	X	X	X	B	X	D	B	X	X	C	X	X	A	X	B	A	X	C
17ia37707	1	D	C	B	A	A	B	D	A	C	D	D	A	X	C	C	A	X	X	D	A	C	A
17ia42502	1	D	C	X	X	C	X	B	A	X	D	B	A	X	D	X	X	X	X	D	A	B	A
17ia74997	1	D	C	B	A	D	A	B	D	X	B	B	A	D	C	C	X	B	D	D	A	C	A
17ia60665	1	X	B	B	B	D	X	B	A	C	D	B	X	C	D	B	X	X	X	D	D	A	A
17ia97783	1	A	C	B	B	B	X	A	D	X	B	X	X	A	D	A	X	X	C	D	D	C	A
17ia66155	1	D	B	B	B	D	B	C	A	X	C	B	A	X	X	C	X	X	X	D	A	C	C
17ia68391	1	D	X	B	B	D	B	C	D	X	D	B	X	X	C	D	A	X	D	D	A	C	A
17ia90414	1	X	C	D	A	X	C	X	A	X	B	B	X	X	C	X	X	X	C	D	D	X	A
17ia46785	1	D	C	B	B	D	A	B	A	C	D	B	X	X	D	X	X	C	X	D	A	C	A
17ia46415	1	D	C	B	B	D	A	D	A	D	B	B	X	X	C	D	X	X	X	D	A	C	A
17ia76138	1	D	C	B	B	B	C	X	A	C	D	B	X	X	D	X	X	B	X	D	A	C	A
17ia49735	1	D	C	B	B	D	C	A	A	C	B	D	A	X	X	X	A	X	C	D	A	C	A
17ia18169	1	D	C	B	B	D	A	C	A	C	B	A	D	X	D	C	X	X	D	D	A	C	A
17ia39494	1	D	C	B	B	D	A	D	A	C	B	B	A	X	X	A	X	X	X	D	X	X	D
17ia75758	1	D	C	D	X	X	A	X	D	C	B	A	X	X	X	C	A	X	D	D	D	C	A
17ia67436	1	B	C	B	B	D	B	B	A	X	D	D	X	C	D	B	X	X	B	D	A	X	A
17ia67905	1	B	D	A	B	D	B	D	B	A	B	C	D	C	C	C	B	D	B	D	C	C	A
17ia11364	1	A	C	B	B	C	X	C	C	X	D	X	B	X	D	C	X	X	D	D	A	C	A
17ia42094	1	X	C	B	B	X	X	B	X	X	D	B	X	C	C	C	X	X	D	D	X	X	A
17ia98668	1	B	C	B	B	D	X	C	B	C	B	D	X	C	X	B	X	A	B	D	D	B	A
17ia90845	1	D	B	B	B	D	A	B	B	C	D	B	A	X	D	X	X	X	X	D	D	A	A
17ia31130	1	D	C	B	B	D	C	D	A	X	D	B	X	C	C	C	A	B	X	D	A	C	A
17ia41353	1	D	C	B	B	C	C	D	A	C	D	D	D	B	C	D	A	B	D	D	A	A	D
17ia11946	1	X	C	D	B	D	C	X	B	X	B	D	X	X	A	X	X	X	C	D	X	B	A
17ia60472	1	A	C	B	B	B	A	X	A	X	B	D	X	X	C	X	X	D	A	D	A	X	A
17ia35175	1	D	X	B	B	A	X	B	X	A	D	X	D	X	B	D	X	B	X	D	B	C	A
17ia20512	1	D	C	B	A	D	A	D	A	C	D	B	A	X	D	X	A	B	X	D	A	C	A
17ia15644	1	D	C	D	B	A	X	B	A	X	D	C	D	X	B	C	X	D	A	D	A	C	A
17ia47821	1	D	C	B	B	D	A	D	A	C	D	B	A	X	D	D	A	B	X	D	X	C	A
17ia80451	1	D	C	B	B	D	C	D	A	C	D	B	X	X	D	C	X	D	X	D	B	C	A
17ia86054	1	D	B	B	B	D	C	B	A	X	A	B	X	X	C	C	X	X	B	D	D	C	A
17ia87858	1	C	B	C	A	C	X	B	B	B	C	C	B	D	C	B	B	A	C	C	A	D	A
17ia54806	1	D	C	B	B	D	A	D	A	C	B	B	A	X	D	C	A	B	X	D	A	C	A
17ia56612	1	D	B	B	C	A	X	D	A	X	C	X	X	C	C	B	X	X	D	D	A	D	A
