feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore	ruimtelijkGroep
17ia77039	1	0	2	14	6	0	<10	2	11	5	0	<=6	1	5	2	0	<=4	1	6	3	0	<4	0	3	1	0	<=4
17ia38760	1	0	7	15	0	2	<10	6	12	0	2	<=6	3	5	0	2	<=4	3	7	0	1	<4	1	3	0	0	<=4
17ia88081	1	0	12	4	6	10	10-13	8	4	6	7	7-9	4	2	2	4	<=4	4	2	4	7	>=7	4	0	0	10	>=8
17ia14788	1	0	11	5	6	8	<10	7	5	6	6	<=6	5	3	0	5	5-7	2	2	6	3	<4	4	0	0	10	>=8
17ia19482	1	0	5	14	3	0	<10	4	11	3	0	<=6	1	7	0	0	<=4	3	4	3	3	<4	1	3	0	0	<=4
17ia34101	1	0	7	10	5	3	<10	3	10	5	0	<=6	2	6	0	0	<=4	1	4	5	0	<4	4	0	0	10	>=8
17ia17795	1	1	15	2	5	13	10-13	11	2	5	11	>=10	8	0	0	10	>=8	3	2	5	5	4-6	4	0	0	10	>=8
17ia66932	1	1	15	3	4	13	10-13	11	3	4	11	>=10	7	0	1	9	>=8	4	3	3	6	4-6	4	0	0	10	>=8
17ia24103	1	0	13	2	7	11	10-13	9	2	7	9	7-9	5	0	3	6	5-7	4	2	4	7	>=7	4	0	0	10	>=8
17ia70063	1	0	10	7	5	7	<10	8	5	5	7	7-9	4	3	1	4	<=4	4	2	4	7	>=7	2	2	0	3	<=4
17ia23467	1	1	15	3	4	13	10-13	12	2	4	13	>=10	6	2	0	7	5-7	6	0	4	12	>=7	3	1	0	7	5-7
17ia79103	1	1	16	2	4	14	>=14	13	1	4	14	>=10	7	1	0	8	>=8	6	0	4	12	>=7	3	1	0	7	5-7
17ia40431	1	0	9	6	7	6	<10	5	6	7	3	<=6	3	3	2	3	<=4	2	3	5	2	<4	4	0	0	10	>=8
17ia77051	1	0	11	5	6	8	<10	7	5	6	6	<=6	2	5	1	0	<=4	5	0	5	10	>=7	4	0	0	10	>=8
17ia67664	1	0	8	10	4	4	<10	4	10	4	1	<=6	2	6	0	0	<=4	2	4	4	1	<4	4	0	0	10	>=8
