ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
31752	1	B	A	D	B	C	X	X	B	C	X	D	C	B	A	B	X	X	C	A	C	X	C
31088	1	D	B	D	B	C	A	B	D	A	C	D	A	C	B	D	A	C	B	A	C	B	A
30795	1	D	C	D	B	D	X	X	B	C	C	X	X	C	C	C	X	X	D	D	A	C	A
30911	1	D	B	B	B	D	B	B	A	C	B	B	X	X	X	B	X	X	X	D	A	C	A
31302	1	B	B	D	A	D	C	C	C	B	B	B	C	X	C	C	X	X	D	C	B	B	A
31017	1	B	C	D	A	D	B	A	B	X	B	X	X	B	D	B	X	X	C	D	A	C	A
30975	1	D	C	B	B	D	A	D	A	C	C	B	X	C	X	B	X	X	X	D	A	C	A
30522	1	D	C	B	B	D	A	X	A	C	B	C	A	X	D	D	X	X	D	D	A	C	A
30849	1	D	C	B	B	X	X	X	A	C	D	X	A	X	D	B	X	A	X	D	A	C	A
31077	1	D	C	B	A	B	X	C	A	C	D	B	A	X	C	B	X	X	X	D	D	A	A
31726	1	D	C	B	B	D	C	B	A	X	D	B	X	X	D	C	X	B	D	D	D	C	A
30662	1	D	C	B	C	D	A	D	A	X	D	B	X	X	D	C	A	B	X	D	A	B	A
31123	1	D	B	B	A	D	X	B	X	C	B	B	X	X	C	B	X	X	X	D	A	C	A
31363	1	X	C	B	A	A	C	C	C	C	D	X	X	X	D	C	X	X	D	D	A	C	A
31428	1	D	A	D	B	A	B	C	D	X	D	A	D	X	D	A	X	X	C	D	A	C	A
31189	1	D	C	B	B	D	C	D	A	X	D	B	X	C	C	C	X	X	D	D	X	X	D
30807	1	D	C	B	B	D	X	D	A	C	B	D	A	C	D	C	X	X	D	D	A	C	A
30944	1	D	C	B	B	D	A	B	A	X	D	B	X	C	D	D	X	X	D	D	D	X	A
31043	1	D	D	D	B	D	A	C	C	C	C	B	D	X	C	D	B	D	D	C	A	D	B
30928	1	D	C	B	B	D	X	B	C	C	D	B	X	X	D	X	X	X	D	D	A	C	A
31755	1	C	X	B	A	X	X	X	B	X	D	B	X	X	C	X	X	A	X	B	A	X	C
31307	1	D	C	B	A	A	B	D	A	C	D	D	A	X	C	C	A	X	X	D	A	C	A
31182	1	D	C	X	X	C	X	B	A	X	D	B	A	X	D	X	X	X	X	D	A	B	A
30538	1	D	C	B	A	D	A	B	D	X	B	B	A	D	C	C	X	B	D	D	A	C	A
31497	1	X	B	B	B	D	X	B	A	C	D	B	X	C	D	B	X	X	X	D	D	A	A
31206	1	A	C	B	B	B	X	A	D	X	B	X	X	A	D	A	X	X	C	D	D	C	A
