ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore
31752	1	0	2	14	6	0	2	11	5	0	1	5	2	0	1	6	3	0	0	3	1	0
31088	1	0	7	15	0	2	6	12	0	2	3	5	0	2	3	7	0	1	1	3	0	0
30795	1	0	12	4	6	10	8	4	6	7	4	2	2	4	4	2	4	7	4	0	0	10
30911	1	0	11	5	6	8	7	5	6	6	5	3	0	5	2	2	6	3	4	0	0	10
31302	1	0	5	14	3	0	4	11	3	0	1	7	0	0	3	4	3	3	1	3	0	0
31017	1	0	7	10	5	3	3	10	5	0	2	6	0	0	1	4	5	0	4	0	0	10
30975	1	1	15	2	5	13	11	2	5	11	8	0	0	10	3	2	5	5	4	0	0	10
30522	1	1	15	3	4	13	11	3	4	11	7	0	1	9	4	3	3	6	4	0	0	10
30849	1	0	13	2	7	11	9	2	7	9	5	0	3	6	4	2	4	7	4	0	0	10
31077	1	0	10	7	5	7	8	5	5	7	4	3	1	4	4	2	4	7	2	2	0	3
31726	1	1	15	3	4	13	12	2	4	13	6	2	0	7	6	0	4	12	3	1	0	7
30662	1	1	16	2	4	14	13	1	4	14	7	1	0	8	6	0	4	12	3	1	0	7
31123	1	0	9	6	7	6	5	6	7	3	3	3	2	3	2	3	5	2	4	0	0	10
31363	1	0	11	5	6	8	7	5	6	6	2	5	1	0	5	0	5	10	4	0	0	10
31428	1	0	8	10	4	4	4	10	4	1	2	6	0	0	2	4	4	1	4	0	0	10
31189	1	1	13	3	6	11	12	2	4	13	7	1	0	8	5	1	4	9	1	1	2	2
30807	1	1	17	2	3	15	13	2	3	14	7	0	1	9	6	2	2	11	4	0	0	10
