vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	243	175	33	9	19	7	175
2	C	243	190	6	5	27	190	15
3	B	243	159	19	9	159	15	41
4	B	243	182	7	30	182	11	13
5	D	243	165	23	17	14	24	165
6	A	243	86	83	86	33	39	2
7	D	243	85	37	10	42	69	85
8	A	243	149	22	149	28	19	25
9	C	243	128	96	7	4	128	8
10	D	243	140	9	7	64	23	140
11	B	243	123	55	9	123	23	33
12	A	243	77	130	77	8	6	22
13	C	243	63	152	8	9	63	11
14	D	243	129	45	6	13	50	129
15	C	243	114	51	10	35	114	33
16	A	243	35	180	35	16	9	3
17	B	243	70	137	15	70	8	13
18	D	243	110	95	9	8	21	110
19	D	243	216	2	7	2	16	216
20	A	243	149	19	149	10	24	41
21	C	243	132	33	34	22	132	22
22	A	243	201	3	201	10	16	13
