key	value
toetsCode	ia
toetsSessie	17
aantalVragen	22
aantalAlternatieven	4
subScores	totaal|wiskunde|wiskunde_basis|wiskunde_standaard|ruimtelijk
totaal-maxScore	20
wiskunde-maxScore	20
wiskunde_basis-maxScore	10
wiskunde_standaard-maxScore	20
ruimtelijk-maxScore	10
totaal-vragen	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
wiskunde-vragen	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
wiskunde_basis-vragen	1|2|3|4|5|6|7|8
wiskunde_standaard-vragen	9|10|11|12|13|14|15|16|17|18
ruimtelijk-vragen	19|20|21|22
