key	value
aantalDeelnemers	968
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	11.8
totaalMediaanScore	12
totaalAantalScore0	12
totaalAantalScore1	9
totaalAantalScore2	13
totaalAantalScore3	10
totaalAantalScore4	16
totaalAantalScore5	44
totaalAantalScore6	25
totaalAantalScore7	31
totaalAantalScore8	56
totaalAantalScore9	71
totaalAantalScore10	70
totaalAantalScore11	76
totaalAantalScore12	94
totaalAantalScore13	62
totaalAantalScore14	82
totaalAantalScore15	85
totaalAantalScore16	59
totaalAantalScore17	49
totaalAantalScore18	46
totaalAantalScore19	36
totaalAantalScore20	22
wiskundeHoogsteScore	20
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	11.8
wiskundeMediaanScore	12
wiskundeAantalScore0	12
wiskundeAantalScore1	9
wiskundeAantalScore2	13
wiskundeAantalScore3	10
wiskundeAantalScore4	16
wiskundeAantalScore5	44
wiskundeAantalScore6	25
wiskundeAantalScore7	31
wiskundeAantalScore8	56
wiskundeAantalScore9	71
wiskundeAantalScore10	70
wiskundeAantalScore11	76
wiskundeAantalScore12	94
wiskundeAantalScore13	62
wiskundeAantalScore14	82
wiskundeAantalScore15	85
wiskundeAantalScore16	59
wiskundeAantalScore17	49
wiskundeAantalScore18	46
wiskundeAantalScore19	36
wiskundeAantalScore20	22
