vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	968	837	86	63	6	21	37	10	837
2	C	968	862	89	13	1	12	62	862	19
3	B	968	832	86	48	4	17	832	15	56
4	B	968	768	79	11	1	151	768	31	7
5	D	968	822	85	30	3	20	27	69	822
6	A	968	550	57	166	17	550	85	152	15
7	D	968	517	53	80	8	52	122	197	517
8	A	968	825	85	25	2	825	40	41	37
9	C	968	771	80	175	18	10	3	771	9
10	D	968	741	77	13	1	18	174	22	741
11	B	968	702	73	118	12	26	702	47	75
12	A	968	527	54	324	33	527	47	18	52
13	C	968	371	38	483	49	42	38	371	34
14	D	968	676	70	91	9	5	30	166	676
15	C	968	681	70	123	12	22	62	681	80
16	A	968	388	40	497	51	388	41	27	15
17	B	968	458	47	340	35	60	458	48	62
18	D	968	571	59	298	30	29	13	57	571
19	D	968	493	51	209	21	75	99	92	493
20	C	968	329	34	335	34	82	177	329	45
21	B	968	493	51	25	2	115	493	67	268
22	D	968	615	64	108	11	22	168	55	615
