ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
30674	1	0	8	8	6	5	8	8	6	5
31260	1	0	8	7	7	5	8	7	7	5
30745	1	0	8	8	6	5	8	8	6	5
31504	1	0	4	18	0	0	4	18	0	0
31235	1	0	10	6	6	7	10	6	6	7
31041	1	1	13	6	3	10	13	6	3	10
30472	1	0	8	7	7	5	8	7	7	5
31691	1	0	3	16	3	0	3	16	3	0
31566	1	1	15	7	0	12	15	7	0	12
31325	1	0	7	15	0	2	7	15	0	2
31733	1	0	3	16	3	0	3	16	3	0
30687	1	1	22	0	0	20	22	0	0	20
31627	1	0	6	15	1	1	6	15	1	1
31339	1	1	12	2	8	10	12	2	8	10
31306	1	0	5	8	9	2	5	8	9	2
31632	1	0	11	4	7	9	11	4	7	9
31561	1	0	6	10	6	2	6	10	6	2
30479	1	0	13	9	0	9	13	9	0	9
31214	1	1	15	7	0	12	15	7	0	12
30564	1	0	6	9	7	3	6	9	7	3
31522	1	0	8	9	5	5	8	9	5	5
31220	1	1	14	5	3	11	14	5	3	11
31656	1	0	7	7	8	4	7	7	8	4
31105	1	1	16	3	3	14	16	3	3	14
31489	1	0	12	5	5	9	12	5	5	9
30805	1	1	14	6	2	11	14	6	2	11
31047	1	1	19	2	1	17	19	2	1	17
30772	1	1	14	3	5	12	14	3	5	12
31224	1	0	9	11	2	5	9	11	2	5
30516	1	1	13	6	3	10	13	6	3	10
30995	1	1	12	3	7	10	12	3	7	10
31597	1	0	10	10	2	6	10	10	2	6
31419	1	0	10	6	6	7	10	6	6	7
30851	1	0	7	12	3	3	7	12	3	3
30940	1	0	8	7	7	5	8	7	7	5
31165	1	1	15	1	6	13	15	1	6	13
30596	1	1	14	4	4	12	14	4	4	12
30871	1	0	5	9	8	2	5	9	8	2
30563	1	0	8	7	7	5	8	7	7	5
30620	1	1	18	0	4	16	18	0	4	16
31269	1	0	13	8	1	9	13	8	1	9
31601	1	0	9	10	3	5	9	10	3	5
30741	1	1	13	4	5	11	13	4	5	11
31014	1	0	11	4	7	9	11	4	7	9
31559	1	0	11	3	8	9	11	3	8	9
31335	1	1	16	1	5	14	16	1	5	14
30737	1	1	17	5	0	14	17	5	0	14
31117	1	0	10	7	5	7	10	7	5	7
30661	1	1	13	3	6	11	13	3	6	11
30684	1	1	18	4	0	15	18	4	0	15
31377	1	1	17	3	2	15	17	3	2	15
30826	1	0	10	3	9	8	10	3	9	8
31474	1	1	13	3	6	11	13	3	6	11
30969	1	0	10	2	10	8	10	2	10	8
30973	1	0	11	6	5	8	11	6	5	8
31086	1	1	16	6	0	13	16	6	0	13
31066	1	0	11	2	9	9	11	2	9	9
31038	1	1	11	0	11	10	11	0	11	10
31037	1	0	2	11	9	0	2	11	9	0
31390	1	1	15	1	6	13	15	1	6	13
30643	1	0	9	7	6	6	9	7	6	6
31163	1	1	14	3	5	12	14	3	5	12
30986	1	0	7	2	13	6	7	2	13	6
31706	1	0	6	8	8	3	6	8	8	3
30875	1	1	12	4	6	10	12	4	6	10
31046	1	1	13	4	5	11	13	4	5	11
31122	1	0	8	7	7	5	8	7	7	5
31322	1	0	12	6	4	9	12	6	4	9
30507	1	1	18	1	3	16	18	1	3	16
30470	1	1	14	4	4	12	14	4	4	12
30729	1	1	18	4	0	15	18	4	0	15
30724	1	1	14	6	2	11	14	6	2	11
30577	1	0	11	5	6	8	11	5	6	8
30756	1	1	20	2	0	18	20	2	0	18
30656	1	1	15	5	2	12	15	5	2	12
30578	1	1	14	2	6	12	14	2	6	12
30594	1	1	14	5	3	11	14	5	3	11
30722	1	1	15	6	1	12	15	6	1	12
30623	1	1	13	3	6	11	13	3	6	11
30666	1	0	8	8	6	5	8	8	6	5
30719	1	1	14	3	5	12	14	3	5	12
30801	1	0	10	4	8	8	10	4	8	8
30777	1	1	15	3	4	13	15	3	4	13
30645	1	1	21	1	0	19	21	1	0	19
30609	1	1	17	4	1	14	17	4	1	14
30689	1	0	11	8	3	8	11	8	3	8
30524	1	0	12	5	5	9	12	5	5	9
30771	1	1	20	1	1	18	20	1	1	18
30487	1	1	16	3	3	14	16	3	3	14
30738	1	0	11	4	7	9	11	4	7	9
30581	1	1	13	3	6	11	13	3	6	11
30668	1	0	12	7	3	9	12	7	3	9
30496	1	1	14	3	5	12	14	3	5	12
30595	1	1	15	4	3	12	15	4	3	12
30475	1	0	5	8	9	2	5	8	9	2
30791	1	0	8	5	9	6	8	5	9	6
30804	1	1	22	0	0	20	22	0	0	20
30606	1	0	9	9	4	5	9	9	4	5
30618	1	1	21	0	1	19	21	0	1	19
30585	1	1	16	3	3	14	16	3	3	14
30600	1	1	13	3	6	11	13	3	6	11
30529	1	1	15	3	4	13	15	3	4	13
30720	1	1	21	1	0	19	21	1	0	19
30658	1	1	16	4	2	13	16	4	2	13
30686	1	0	10	10	2	6	10	10	2	6
30587	1	1	12	2	8	10	12	2	8	10
30792	1	0	10	5	7	8	10	5	7	8
30740	1	1	14	3	5	12	14	3	5	12
30499	1	1	19	3	0	16	19	3	0	16
30759	1	1	15	7	0	12	15	7	0	12
30569	1	1	12	4	6	10	12	4	6	10
30528	1	1	14	3	5	12	14	3	5	12
30555	1	1	16	5	1	13	16	5	1	13
30685	1	1	15	7	0	12	15	7	0	12
30539	1	1	21	1	0	19	21	1	0	19
30515	1	1	17	4	1	14	17	4	1	14
30634	1	1	19	3	0	16	19	3	0	16
30473	1	1	13	5	4	10	13	5	4	10
30664	1	1	19	3	0	16	19	3	0	16
30774	1	1	18	2	2	16	18	2	2	16
30482	1	1	14	3	5	12	14	3	5	12
30810	1	1	19	1	2	17	19	1	2	17
30731	1	0	11	4	7	9	11	4	7	9
30749	1	0	8	9	5	5	8	9	5	5
30526	1	1	12	3	7	10	12	3	7	10
30546	1	1	14	8	0	10	14	8	0	10
30796	1	0	9	6	7	6	9	6	7	6
30676	1	1	16	3	3	14	16	3	3	14
30549	1	0	10	2	10	8	10	2	10	8
30505	1	0	10	7	5	7	10	7	5	7
30762	1	0	10	4	8	8	10	4	8	8
30631	1	0	12	7	3	9	12	7	3	9
30521	1	0	8	9	5	5	8	9	5	5
30677	1	1	21	1	0	19	21	1	0	19
30784	1	1	17	5	0	14	17	5	0	14
30780	1	1	20	2	0	18	20	2	0	18
30709	1	1	20	1	1	18	20	1	1	18
30502	1	1	19	2	1	17	19	2	1	17
30548	1	1	16	4	2	13	16	4	2	13
30758	1	1	21	1	0	19	21	1	0	19
30757	1	1	20	2	0	18	20	2	0	18
30560	1	0	6	14	2	1	6	14	2	1
30541	1	0	4	15	3	0	4	15	3	0
30635	1	1	18	1	3	16	18	1	3	16
30681	1	1	21	1	0	19	21	1	0	19
30570	1	0	9	5	8	7	9	5	8	7
30638	1	0	4	16	2	0	4	16	2	0
30697	1	0	8	12	2	4	8	12	2	4
30683	1	1	15	7	0	12	15	7	0	12
30513	1	1	17	5	0	14	17	5	0	14
30730	1	1	17	4	1	14	17	4	1	14
30614	1	1	14	3	5	12	14	3	5	12
30580	1	1	15	4	3	12	15	4	3	12
30692	1	1	15	3	4	13	15	3	4	13
30477	1	0	8	12	2	4	8	12	2	4
30746	1	1	19	1	2	17	19	1	2	17
30717	1	1	14	4	4	12	14	4	4	12
30898	1	1	15	2	5	13	15	2	5	13
31094	1	1	16	1	5	14	16	1	5	14
30821	1	1	14	6	2	11	14	6	2	11
30960	1	1	16	3	3	14	16	3	3	14
30968	1	1	17	2	3	15	17	2	3	15
30962	1	1	14	5	3	11	14	5	3	11
31072	1	1	20	2	0	18	20	2	0	18
31093	1	1	19	3	0	16	19	3	0	16
30902	1	1	14	4	4	12	14	4	4	12
30873	1	1	20	1	1	18	20	1	1	18
30999	1	0	10	7	5	7	10	7	5	7
30889	1	1	12	4	6	10	12	4	6	10
30934	1	1	16	3	3	14	16	3	3	14
30925	1	0	10	3	9	8	10	3	9	8
30980	1	0	12	5	5	9	12	5	5	9
31040	1	0	9	3	10	7	9	3	10	7
31020	1	1	17	5	0	14	17	5	0	14
30959	1	0	11	4	7	9	11	4	7	9
30987	1	1	15	7	0	12	15	7	0	12
30981	1	1	20	2	0	18	20	2	0	18
31051	1	1	16	2	4	14	16	2	4	14
30847	1	1	12	4	6	10	12	4	6	10
31097	1	1	14	2	6	12	14	2	6	12
30867	1	1	20	2	0	18	20	2	0	18
30961	1	1	17	1	4	15	17	1	4	15
31071	1	1	13	6	3	10	13	6	3	10
31010	1	0	10	8	4	7	10	8	4	7
31084	1	1	17	2	3	15	17	2	3	15
31070	1	1	13	5	4	10	13	5	4	10
30951	1	0	8	9	5	5	8	9	5	5
30906	1	1	13	2	7	11	13	2	7	11
30946	1	0	12	6	4	9	12	6	4	9
30998	1	0	9	12	1	5	9	12	1	5
31031	1	1	15	3	4	13	15	3	4	13
30843	1	1	13	5	4	10	13	5	4	10
30840	1	1	21	1	0	19	21	1	0	19
30997	1	1	17	3	2	15	17	3	2	15
30903	1	0	8	6	8	5	8	6	8	5
30984	1	1	12	4	6	10	12	4	6	10
30920	1	1	19	2	1	17	19	2	1	17
31092	1	1	15	5	2	12	15	5	2	12
30824	1	0	7	11	4	3	7	11	4	3
31081	1	1	16	0	6	15	16	0	6	15
30985	1	1	18	1	3	16	18	1	3	16
30833	1	1	13	5	4	10	13	5	4	10
30939	1	1	15	7	0	12	15	7	0	12
31029	1	1	19	2	1	17	19	2	1	17
31024	1	1	16	4	2	13	16	4	2	13
30991	1	0	6	12	4	2	6	12	4	2
30856	1	1	18	3	1	15	18	3	1	15
30865	1	1	15	4	3	12	15	4	3	12
30923	1	0	11	3	8	9	11	3	8	9
31100	1	0	8	11	3	4	8	11	3	4
31013	1	1	18	4	0	15	18	4	0	15
30855	1	1	21	1	0	19	21	1	0	19
30950	1	0	7	3	12	5	7	3	12	5
30921	1	1	15	5	2	12	15	5	2	12
31035	1	0	10	10	2	6	10	10	2	6
30822	1	1	18	4	0	15	18	4	0	15
30817	1	0	11	3	8	9	11	3	8	9
30896	1	1	15	6	1	12	15	6	1	12
31351	1	0	8	8	6	5	8	8	6	5
31354	1	0	12	7	3	9	12	7	3	9
31348	1	0	11	6	5	8	11	6	5	8
31238	1	1	18	3	1	15	18	3	1	15
31202	1	1	15	2	5	13	15	2	5	13
31320	1	1	17	2	3	15	17	2	3	15
31223	1	0	13	9	0	9	13	9	0	9
31194	1	1	15	4	3	12	15	4	3	12
31287	1	1	19	3	0	16	19	3	0	16
31147	1	1	21	1	0	19	21	1	0	19
31199	1	1	16	6	0	13	16	6	0	13
31196	1	0	10	5	7	8	10	5	7	8
31293	1	1	15	4	3	12	15	4	3	12
31160	1	0	9	12	1	5	9	12	1	5
31282	1	1	13	5	4	10	13	5	4	10
31227	1	1	12	2	8	10	12	2	8	10
31185	1	1	18	2	2	16	18	2	2	16
31159	1	1	15	2	5	13	15	2	5	13
31107	1	1	18	1	3	16	18	1	3	16
31213	1	1	17	5	0	14	17	5	0	14
31240	1	1	18	4	0	15	18	4	0	15
31178	1	1	15	3	4	13	15	3	4	13
31187	1	1	21	0	1	19	21	0	1	19
31304	1	0	11	5	6	8	11	5	6	8
31294	1	0	12	6	4	9	12	6	4	9
31326	1	0	5	12	5	1	5	12	5	1
31252	1	0	11	11	0	7	11	11	0	7
31138	1	0	6	11	5	2	6	11	5	2
31285	1	1	14	3	5	12	14	3	5	12
31257	1	0	12	6	4	9	12	6	4	9
31205	1	1	14	3	5	12	14	3	5	12
31172	1	0	8	6	8	5	8	6	8	5
31136	1	1	17	4	1	14	17	4	1	14
31237	1	1	18	4	0	15	18	4	0	15
31149	1	0	11	2	9	9	11	2	9	9
31300	1	1	13	3	6	11	13	3	6	11
31168	1	1	19	3	0	16	19	3	0	16
31192	1	1	14	5	3	11	14	5	3	11
31164	1	1	17	4	1	14	17	4	1	14
31215	1	1	13	5	4	10	13	5	4	10
31219	1	1	15	2	5	13	15	2	5	13
31318	1	1	16	2	4	14	16	2	4	14
31323	1	1	13	4	5	11	13	4	5	11
31242	1	0	10	6	6	7	10	6	6	7
31296	1	0	11	3	8	9	11	3	8	9
31286	1	1	19	3	0	16	19	3	0	16
31312	1	1	16	3	3	14	16	3	3	14
31120	1	1	17	3	2	15	17	3	2	15
31171	1	1	17	4	1	14	17	4	1	14
31170	1	0	11	3	8	9	11	3	8	9
31314	1	1	13	3	6	11	13	3	6	11
31361	1	0	10	7	5	7	10	7	5	7
31288	1	1	12	4	6	10	12	4	6	10
31355	1	0	10	11	1	6	10	11	1	6
31142	1	1	18	4	0	15	18	4	0	15
31218	1	0	10	6	6	7	10	6	6	7
31234	1	0	11	5	6	8	11	5	6	8
31184	1	0	8	5	9	6	8	5	9	6
31119	1	1	14	3	5	12	14	3	5	12
31233	1	0	8	6	8	5	8	6	8	5
31157	1	1	19	2	1	17	19	2	1	17
31232	1	1	13	5	4	10	13	5	4	10
31229	1	1	18	2	2	16	18	2	2	16
31118	1	0	11	8	3	8	11	8	3	8
31284	1	0	6	12	4	2	6	12	4	2
31290	1	1	12	4	6	10	12	4	6	10
31162	1	0	11	6	5	8	11	6	5	8
31104	1	1	19	1	2	17	19	1	2	17
31356	1	0	12	7	3	9	12	7	3	9
31281	1	0	11	5	6	8	11	5	6	8
31114	1	1	17	4	1	14	17	4	1	14
31156	1	1	22	0	0	20	22	0	0	20
31169	1	0	8	8	6	5	8	8	6	5
31327	1	0	11	9	2	7	11	9	2	7
31350	1	0	7	4	11	5	7	4	11	5
31542	1	1	15	2	5	13	15	2	5	13
31641	1	0	10	4	8	8	10	4	8	8
31408	1	1	14	2	6	12	14	2	6	12
31423	1	0	5	13	4	1	5	13	4	1
31481	1	1	20	2	0	18	20	2	0	18
31653	1	1	13	3	6	11	13	3	6	11
31421	1	1	12	3	7	10	12	3	7	10
31684	1	0	12	6	4	9	12	6	4	9
31385	1	1	13	5	4	10	13	5	4	10
31557	1	1	16	3	3	14	16	3	3	14
31558	1	1	19	2	1	17	19	2	1	17
31651	1	0	8	3	11	6	8	3	11	6
31620	1	1	13	6	3	10	13	6	3	10
31463	1	1	12	4	6	10	12	4	6	10
31466	1	1	19	2	1	17	19	2	1	17
31427	1	1	17	1	4	15	17	1	4	15
31535	1	1	21	0	1	19	21	0	1	19
31519	1	0	12	5	5	9	12	5	5	9
31447	1	1	12	3	7	10	12	3	7	10
31541	1	1	19	2	1	17	19	2	1	17
31465	1	1	21	1	0	19	21	1	0	19
31486	1	0	12	6	4	9	12	6	4	9
31599	1	1	14	5	3	11	14	5	3	11
31550	1	1	21	1	0	19	21	1	0	19
31670	1	1	12	3	7	10	12	3	7	10
31514	1	1	19	3	0	16	19	3	0	16
31488	1	0	10	6	6	7	10	6	6	7
31436	1	1	16	2	4	14	16	2	4	14
31451	1	1	13	5	4	10	13	5	4	10
31611	1	1	14	2	6	12	14	2	6	12
31581	1	0	8	8	6	5	8	8	6	5
31657	1	1	12	2	8	10	12	2	8	10
31675	1	1	11	0	11	10	11	0	11	10
31563	1	1	15	5	2	12	15	5	2	12
31483	1	0	9	10	3	5	9	10	3	5
31661	1	0	9	3	10	7	9	3	10	7
31446	1	1	19	3	0	16	19	3	0	16
31596	1	1	17	5	0	14	17	5	0	14
31668	1	0	11	7	4	8	11	7	4	8
31562	1	0	10	8	4	7	10	8	4	7
31540	1	0	9	10	3	5	9	10	3	5
31479	1	1	17	3	2	15	17	3	2	15
31521	1	0	3	16	3	0	3	16	3	0
31615	1	1	14	3	5	12	14	3	5	12
31586	1	0	7	6	9	5	7	6	9	5
31605	1	1	16	3	3	14	16	3	3	14
31595	1	1	14	5	3	11	14	5	3	11
31518	1	0	10	4	8	8	10	4	8	8
31472	1	1	14	8	0	10	14	8	0	10
31413	1	1	16	3	3	14	16	3	3	14
31450	1	0	12	8	2	8	12	8	2	8
31467	1	0	6	7	9	3	6	7	9	3
31681	1	0	10	5	7	8	10	5	7	8
31379	1	0	10	4	8	8	10	4	8	8
31598	1	1	14	5	3	11	14	5	3	11
31529	1	1	18	0	4	16	18	0	4	16
31475	1	1	15	6	1	12	15	6	1	12
31607	1	0	9	6	7	6	9	6	7	6
31523	1	1	20	1	1	18	20	1	1	18
