feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysicaGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
18dw60090	1	0	16	10	4	8	5-9	6	2	2	5	>=5	3	5	2	1	<3	7	3	0	6	>=5	16	6	14	7	17	10	15	15	17
18dw86675	1	0	17	13	0	8	5-9	5	5	0	3	3-4	4	6	0	2	<3	8	2	0	7	>=5	17	6	16	4	13	11	13	13	15
18dw58108	1	0	15	5	10	9	5-9	5	1	4	5	>=5	3	4	3	2	<3	7	0	3	7	>=5	15	7	13	5	15	9	14	11	10
18dw45049	1	0	15	13	2	7	5-9	5	4	1	4	3-4	4	5	1	2	<3	6	4	0	5	>=5	17	7	14	5	14	10	13	11	11
18dw51840	1	1	22	4	4	14	>=10	9	1	0	9	>=5	5	2	3	4	3-4	8	1	1	8	>=5	18	11	16	6	12	8	11	11	14
18dw95852	1	0	16	9	5	9	5-9	5	4	1	4	3-4	5	3	2	4	3-4	6	2	2	5	>=5	16	8	16	5	14	8	15	10	16
18dw89852	1	0	16	8	6	9	5-9	6	3	1	5	>=5	4	2	4	3	3-4	6	3	1	5	>=5	15	7	13	5	15	11	11	8	9
18dw12019	1	1	22	8	0	13	>=10	9	1	0	9	>=5	4	6	0	2	<3	9	1	0	9	>=5	18	5	17	4	16	9	11	13	14
18dw35761	1	0	10	19	1	2	<5	3	6	1	1	<3	2	8	0	0	<3	5	5	0	3	3-4	0	0	0	0	0	0	0	0	0
18dw34023	1	0	17	13	0	8	5-9	7	3	0	6	>=5	5	5	0	3	3-4	5	5	0	3	3-4	17	5	15	5	14	9	15	14	14
18dw13600	1	0	12	14	4	5	5-9	6	1	3	6	>=5	1	8	1	0	<3	5	5	0	3	3-4	15	6	12	5	16	9	12	9	12
18dw47710	1	0	14	9	7	7	5-9	6	2	2	5	>=5	4	5	1	2	<3	4	2	4	3	3-4	14	7	10	7	12	12	15	15	13
18dw40902	1	0	14	9	7	7	5-9	8	0	2	8	>=5	2	5	3	0	<3	4	4	2	3	3-4	16	7	13	9	12	9	14	13	12
18dw11967	1	1	19	8	3	11	>=10	7	1	2	7	>=5	5	5	0	3	3-4	7	2	1	6	>=5	17	7	13	5	15	10	13	13	17
18dw28335	1	0	11	11	8	5	5-9	4	1	5	4	3-4	3	5	2	1	<3	4	5	1	2	<3	17	6	16	5	15	9	15	15	14
18dw24008	1	0	11	17	2	4	<5	5	5	0	3	3-4	3	7	0	1	<3	3	5	2	1	<3	15	7	13	7	14	10	14	12	11
18dw91013	1	1	18	4	8	11	>=10	6	0	4	6	>=5	4	4	2	3	3-4	8	0	2	8	>=5	14	9	12	8	17	14	17	19	15
18dw90735	1	0	9	15	6	3	<5	4	3	3	3	3-4	1	9	0	0	<3	4	3	3	3	3-4	12	8	8	17	12	9	15	11	11
18dw37805	1	0	11	19	0	3	<5	4	6	0	2	<3	3	7	0	1	<3	4	6	0	2	<3	15	11	11	8	14	10	12	16	15
18dw60257	1	1	18	7	5	10	>=10	7	1	2	7	>=5	4	3	3	3	3-4	7	3	0	6	>=5	16	6	16	6	17	8	15	17	14
18dw70458	1	0	14	12	4	7	5-9	5	2	3	4	3-4	3	7	0	1	<3	6	3	1	5	>=5	12	8	10	8	14	10	15	13	15
18dw95403	1	1	21	6	3	13	>=10	6	2	2	5	>=5	7	2	1	6	>=5	8	2	0	7	>=5	14	8	12	7	14	9	16	13	16
18dw49557	1	0	15	6	9	9	5-9	5	1	4	5	>=5	5	4	1	4	3-4	5	1	4	5	>=5	13	5	12	8	13	9	14	13	14
18dw24503	1	1	18	8	4	10	>=10	6	3	1	5	>=5	7	3	0	6	>=5	5	2	3	4	3-4	17	5	14	4	16	7	16	12	16
18dw86013	1	1	20	5	5	12	>=10	4	2	4	3	3-4	6	3	1	5	>=5	10	0	0	10	>=5	13	13	10	8	12	14	11	13	13
18dw11846	1	0	16	14	0	8	5-9	4	6	0	2	<3	4	6	0	2	<3	8	2	0	7	>=5	16	6	13	7	14	8	14	14	13
18dw24968	1	1	21	1	8	14	>=10	10	0	0	10	>=5	4	1	5	4	3-4	7	0	3	7	>=5	14	9	13	10	12	11	15	15	13
18dw17137	1	0	12	10	8	6	5-9	4	4	2	3	3-4	4	4	2	3	3-4	4	2	4	3	3-4	12	6	12	10	13	12	13	14	12
18dw14534	1	0	13	4	13	8	5-9	4	1	5	4	3-4	2	1	7	2	<3	7	2	1	6	>=5	13	6	13	9	12	11	11	14	14
18dw83563	1	1	17	5	8	10	>=10	7	0	3	7	>=5	4	4	2	3	3-4	6	1	3	6	>=5	13	12	9	14	14	14	14	13	13
18dw27932	1	1	22	8	0	13	>=10	9	1	0	9	>=5	5	5	0	3	3-4	8	2	0	7	>=5	17	7	13	6	17	8	15	17	13
18dw12707	1	1	19	7	4	11	>=10	6	2	2	5	>=5	5	3	2	4	3-4	8	2	0	7	>=5	17	7	14	6	15	9	15	13	16
18dw59717	1	0	11	15	4	4	<5	3	5	2	1	<3	2	7	1	0	<3	6	3	1	5	>=5	13	13	13	6	12	16	9	13	10
18dw95881	1	0	12	18	0	4	<5	5	5	0	3	3-4	1	9	0	0	<3	6	4	0	5	>=5	16	6	15	4	16	12	13	13	16
18dw74924	1	0	7	7	16	3	<5	4	1	5	4	3-4	1	4	5	0	<3	2	2	6	1	<3	18	5	17	4	19	6	17	11	14
18dw63182	1	1	18	10	2	10	>=10	7	2	1	6	>=5	4	5	1	2	<3	7	3	0	6	>=5	16	5	14	5	16	10	13	11	12
18dw27839	1	0	13	8	9	7	5-9	5	1	4	5	>=5	3	5	2	1	<3	5	2	3	4	3-4	15	6	15	6	13	15	11	20	16
18dw40741	1	0	14	15	1	6	5-9	5	5	0	3	3-4	3	7	0	1	<3	6	3	1	5	>=5	17	6	18	5	19	9	17	16	16
18dw49205	1	0	12	12	6	5	5-9	4	2	4	3	3-4	3	6	1	1	<3	5	4	1	4	3-4	15	7	10	7	10	11	9	18	15
18dw80341	1	1	22	5	3	14	>=10	8	1	1	8	>=5	5	4	1	4	3-4	9	0	1	9	>=5	17	10	14	7	13	12	15	13	12
18dw44966	1	1	19	7	4	11	>=10	8	2	0	7	>=5	2	5	3	0	<3	9	0	1	9	>=5	15	5	10	8	13	8	14	12	15
18dw36507	1	1	20	7	3	12	>=10	9	1	0	9	>=5	4	6	0	2	<3	7	0	3	7	>=5	16	7	13	7	11	14	14	13	12
18dw26565	1	1	20	9	1	11	>=10	8	1	1	8	>=5	5	5	0	3	3-4	7	3	0	6	>=5	16	9	13	7	13	10	16	13	12
18dw75753	1	0	16	11	3	8	5-9	5	2	3	4	3-4	4	6	0	2	<3	7	3	0	6	>=5	15	8	14	7	14	9	15	11	15
18dw18629	1	1	21	6	3	13	>=10	8	1	1	8	>=5	4	4	2	3	3-4	9	1	0	9	>=5	17	4	16	4	11	9	13	10	11
18dw76226	1	0	15	11	4	8	5-9	5	2	3	4	3-4	4	6	0	2	<3	6	3	1	5	>=5	13	7	11	5	14	9	11	11	12
18dw15444	1	1	21	7	2	12	>=10	6	4	0	5	>=5	7	2	1	6	>=5	8	1	1	8	>=5	18	7	14	6	16	8	16	11	17
18dw24569	1	0	14	8	8	8	5-9	7	3	0	6	>=5	1	3	6	0	<3	6	2	2	5	>=5	17	7	15	4	14	9	13	12	15
18dw54076	1	0	18	12	0	9	5-9	7	3	0	6	>=5	5	5	0	3	3-4	6	4	0	5	>=5	18	4	18	4	13	7	17	12	14
18dw92438	1	1	18	9	3	10	>=10	8	2	0	7	>=5	4	4	2	3	3-4	6	3	1	5	>=5	15	9	13	10	14	9	14	16	13
18dw49012	1	0	15	15	0	7	5-9	5	5	0	3	3-4	3	7	0	1	<3	7	3	0	6	>=5	15	6	16	4	18	8	17	11	18
18dw86459	1	0	13	7	10	7	5-9	4	3	3	3	3-4	5	3	2	4	3-4	4	1	5	4	3-4	14	5	13	5	15	9	16	13	13
18dw69456	1	0	17	10	3	9	5-9	5	3	2	4	3-4	4	6	0	2	<3	8	1	1	8	>=5	17	8	14	5	13	11	13	14	14
18dw28265	1	0	12	8	10	6	5-9	5	0	5	5	>=5	4	5	1	2	<3	3	3	4	2	<3	18	7	12	6	15	12	13	12	14
18dw48039	1	1	19	11	0	10	>=10	7	3	0	6	>=5	4	6	0	2	<3	8	2	0	7	>=5	15	9	13	7	14	9	13	11	11
18dw25345	1	0	11	13	6	4	<5	4	4	2	3	3-4	4	6	0	2	<3	3	3	4	2	<3	14	10	11	7	15	16	11	10	10
18dw61549	1	1	20	6	4	12	>=10	6	2	2	5	>=5	6	3	1	5	>=5	8	1	1	8	>=5	18	6	19	4	15	6	20	7	15
18dw57859	1	1	18	4	8	11	>=10	5	0	5	5	>=5	5	4	1	4	3-4	8	0	2	8	>=5	15	6	16	6	13	9	13	13	17
18dw58114	1	0	13	4	13	8	5-9	8	0	2	8	>=5	2	3	5	1	<3	3	1	6	3	3-4	16	14	10	7	14	11	15	14	12
18dw31284	1	0	11	16	3	4	<5	4	5	1	2	<3	2	6	2	0	<3	5	5	0	3	3-4	15	6	14	4	10	9	15	11	9
18dw69132	1	0	16	13	1	8	5-9	6	3	1	5	>=5	5	5	0	3	3-4	5	5	0	3	3-4	15	7	11	12	17	8	15	14	16
18dw97531	1	0	14	8	8	8	5-9	8	2	0	7	>=5	3	1	6	3	3-4	3	5	2	1	<3	15	7	13	6	14	8	15	10	13
18dw54219	1	1	21	7	2	12	>=10	8	2	0	7	>=5	5	4	1	4	3-4	8	1	1	8	>=5	17	5	16	5	15	5	17	11	13
18dw21213	1	0	11	11	8	5	5-9	5	2	3	4	3-4	2	7	1	0	<3	4	2	4	3	3-4	0	0	0	0	0	0	0	0	0
18dw34128	1	0	14	16	0	6	5-9	6	4	0	5	>=5	1	9	0	0	<3	7	3	0	6	>=5	15	8	12	5	13	9	14	8	15
18dw76066	1	0	12	10	8	6	5-9	5	3	2	4	3-4	2	4	4	1	<3	5	3	2	4	3-4	15	7	12	7	14	8	12	11	11
18dw77410	1	0	12	11	7	6	5-9	4	3	3	3	3-4	4	5	1	2	<3	4	3	3	3	3-4	16	6	12	7	15	7	17	16	14
18dw20666	1	0	12	10	8	6	5-9	7	2	1	6	>=5	2	4	4	1	<3	3	4	3	2	<3	16	7	15	5	14	9	14	13	15
18dw35245	1	0	17	9	4	9	5-9	4	2	4	3	3-4	4	6	0	2	<3	9	1	0	9	>=5	16	6	16	5	15	10	15	12	14
18dw20480	1	0	11	17	2	4	<5	6	4	0	5	>=5	2	8	0	0	<3	3	5	2	1	<3	15	17	14	6	9	18	13	16	13
18dw16052	1	0	13	6	11	7	5-9	4	2	4	3	3-4	1	3	6	0	<3	8	1	1	8	>=5	18	7	18	4	19	6	15	18	16
18dw55675	1	0	5	19	6	0	<5	2	5	3	0	<3	2	7	1	0	<3	1	7	2	0	<3	14	8	14	6	14	9	15	9	13
18dw32519	1	0	17	10	3	9	5-9	6	2	2	5	>=5	5	4	1	4	3-4	6	4	0	5	>=5	14	11	10	8	15	10	15	13	15
18dw40867	1	0	5	25	0	0	<5	1	9	0	0	<3	1	9	0	0	<3	3	7	0	1	<3	0	0	0	0	0	0	0	0	0
18dw87747	1	0	18	12	0	9	5-9	7	3	0	6	>=5	5	5	0	3	3-4	6	4	0	5	>=5	17	9	14	4	15	9	15	17	15
18dw61757	1	0	7	23	0	0	<5	3	7	0	1	<3	1	9	0	0	<3	3	7	0	1	<3	14	12	16	10	14	13	11	11	14
18dw36427	1	0	4	9	17	1	<5	1	1	8	1	<3	2	6	2	0	<3	1	2	7	0	<3	13	9	13	9	14	10	9	9	11
18dw73837	1	0	16	7	7	9	5-9	6	1	3	6	>=5	4	6	0	2	<3	6	0	4	6	>=5	12	12	8	10	15	5	17	12	14
