ijkID	feedbackCode
31797	18dw61549
31798	18dw80341
31799	18dw44712
31800	18dw20480
31801	18dw54076
31802	18dw32519
31803	18dw15444
31804	18dw86675
31805	18dw95852
31806	18dw13600
31807	18dw16052
31808	18dw76226
31809	18dw86013
31810	18dw98196
31811	18dw92438
31812	18dw82917
31813	18dw24569
31814	18dw97531
31815	18dw17137
31816	18dw16358
31817	18dw34023
31818	18dw54219
31819	18dw69132
31820	18dw95984
31821	18dw55299
31822	18dw45049
31823	18dw48039
31824	18dw11967
31825	18dw25268
31826	18dw27839
31827	18dw40741
31828	18dw75664
31829	18dw34128
31830	18dw95403
31831	18dw49012
31832	18dw18629
31833	18dw11846
31834	18dw69456
31898	18dw27932
31835	18dw86459
31836	18dw40867
31837	18dw37116
31838	18dw74924
31839	18dw58114
31899	18dw26565
31840	18dw10414
31841	18dw68979
31900	18dw85932
31901	18dw75753
31842	18dw91013
31843	18dw28265
31844	18dw57859
31845	18dw60257
31846	18dw24744
31847	18dw24008
31848	18dw35761
31849	18dw51840
31850	18dw72053
31851	18dw12171
31852	18dw89852
31853	18dw58108
31854	18dw63182
31855	18dw41142
31856	18dw12019
31857	18dw55675
31858	18dw36427
31859	18dw59717
31860	18dw60090
31861	18dw36000
31862	18dw36507
31902	18dw24503
31903	18dw76066
31863	18dw20666
31864	18dw14534
31865	18dw31284
31866	18dw89219
31867	18dw95881
31868	18dw28037
31869	18dw87747
31870	18dw73837
31871	18dw77410
31872	18dw49557
31873	18dw47710
31874	18dw90735
31875	18dw12707
31876	18dw49205
31877	18dw25345
31878	18dw75458
31879	18dw33474
31880	18dw54795
31881	18dw28335
31882	18dw10605
31883	18dw61757
31884	18dw24968
31885	18dw22131
31886	18dw16911
31887	18dw44966
31888	18dw71933
31889	18dw40062
31904	18dw11422
31890	18dw96283
31891	18dw35245
31892	18dw13550
31893	18dw17873
31894	18dw40902
31905	18dw70458
31895	18dw37805
31896	18dw21213
31897	18dw73800
31906	18dw83563
