ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
31860	1	0	16	10	4	8	6	2	2	5	3	5	2	1	7	3	0	6
31804	1	0	17	13	0	8	5	5	0	3	4	6	0	2	8	2	0	7
31853	1	0	15	5	10	9	5	1	4	5	3	4	3	2	7	0	3	7
31822	1	0	15	13	2	7	5	4	1	4	4	5	1	2	6	4	0	5
31849	1	1	22	4	4	14	9	1	0	9	5	2	3	4	8	1	1	8
31805	1	0	16	9	5	9	5	4	1	4	5	3	2	4	6	2	2	5
31852	1	0	16	8	6	9	6	3	1	5	4	2	4	3	6	3	1	5
31856	1	1	22	8	0	13	9	1	0	9	4	6	0	2	9	1	0	9
31848	1	0	10	19	1	2	3	6	1	1	2	8	0	0	5	5	0	3
31817	1	0	17	13	0	8	7	3	0	6	5	5	0	3	5	5	0	3
31806	1	0	12	14	4	5	6	1	3	6	1	8	1	0	5	5	0	3
31873	1	0	14	9	7	7	6	2	2	5	4	5	1	2	4	2	4	3
31894	1	0	14	9	7	7	8	0	2	8	2	5	3	0	4	4	2	3
31824	1	1	19	8	3	11	7	1	2	7	5	5	0	3	7	2	1	6
31881	1	0	11	11	8	5	4	1	5	4	3	5	2	1	4	5	1	2
31847	1	0	11	17	2	4	5	5	0	3	3	7	0	1	3	5	2	1
31842	1	1	18	4	8	11	6	0	4	6	4	4	2	3	8	0	2	8
31874	1	0	9	15	6	3	4	3	3	3	1	9	0	0	4	3	3	3
31895	1	0	11	19	0	3	4	6	0	2	3	7	0	1	4	6	0	2
31845	1	1	18	7	5	10	7	1	2	7	4	3	3	3	7	3	0	6
31905	1	0	14	12	4	7	5	2	3	4	3	7	0	1	6	3	1	5
31830	1	1	21	6	3	13	6	2	2	5	7	2	1	6	8	2	0	7
31872	1	0	15	6	9	9	5	1	4	5	5	4	1	4	5	1	4	5
31902	1	1	18	8	4	10	6	3	1	5	7	3	0	6	5	2	3	4
31809	1	1	20	5	5	12	4	2	4	3	6	3	1	5	10	0	0	10
31833	1	0	16	14	0	8	4	6	0	2	4	6	0	2	8	2	0	7
31884	1	1	21	1	8	14	10	0	0	10	4	1	5	4	7	0	3	7
31815	1	0	12	10	8	6	4	4	2	3	4	4	2	3	4	2	4	3
31864	1	0	13	4	13	8	4	1	5	4	2	1	7	2	7	2	1	6
31906	1	1	17	5	8	10	7	0	3	7	4	4	2	3	6	1	3	6
31898	1	1	22	8	0	13	9	1	0	9	5	5	0	3	8	2	0	7
31875	1	1	19	7	4	11	6	2	2	5	5	3	2	4	8	2	0	7
31859	1	0	11	15	4	4	3	5	2	1	2	7	1	0	6	3	1	5
31867	1	0	12	18	0	4	5	5	0	3	1	9	0	0	6	4	0	5
31838	1	0	7	7	16	3	4	1	5	4	1	4	5	0	2	2	6	1
31854	1	1	18	10	2	10	7	2	1	6	4	5	1	2	7	3	0	6
31826	1	0	13	8	9	7	5	1	4	5	3	5	2	1	5	2	3	4
31827	1	0	14	15	1	6	5	5	0	3	3	7	0	1	6	3	1	5
31876	1	0	12	12	6	5	4	2	4	3	3	6	1	1	5	4	1	4
31798	1	1	22	5	3	14	8	1	1	8	5	4	1	4	9	0	1	9
31887	1	1	19	7	4	11	8	2	0	7	2	5	3	0	9	0	1	9
31862	1	1	20	7	3	12	9	1	0	9	4	6	0	2	7	0	3	7
31899	1	1	20	9	1	11	8	1	1	8	5	5	0	3	7	3	0	6
31901	1	0	16	11	3	8	5	2	3	4	4	6	0	2	7	3	0	6
31832	1	1	21	6	3	13	8	1	1	8	4	4	2	3	9	1	0	9
31808	1	0	15	11	4	8	5	2	3	4	4	6	0	2	6	3	1	5
31803	1	1	21	7	2	12	6	4	0	5	7	2	1	6	8	1	1	8
31813	1	0	14	8	8	8	7	3	0	6	1	3	6	0	6	2	2	5
31801	1	0	18	12	0	9	7	3	0	6	5	5	0	3	6	4	0	5
31811	1	1	18	9	3	10	8	2	0	7	4	4	2	3	6	3	1	5
31831	1	0	15	15	0	7	5	5	0	3	3	7	0	1	7	3	0	6
31835	1	0	13	7	10	7	4	3	3	3	5	3	2	4	4	1	5	4
31834	1	0	17	10	3	9	5	3	2	4	4	6	0	2	8	1	1	8
31843	1	0	12	8	10	6	5	0	5	5	4	5	1	2	3	3	4	2
31823	1	1	19	11	0	10	7	3	0	6	4	6	0	2	8	2	0	7
31877	1	0	11	13	6	4	4	4	2	3	4	6	0	2	3	3	4	2
31797	1	1	20	6	4	12	6	2	2	5	6	3	1	5	8	1	1	8
31844	1	1	18	4	8	11	5	0	5	5	5	4	1	4	8	0	2	8
31839	1	0	13	4	13	8	8	0	2	8	2	3	5	1	3	1	6	3
31865	1	0	11	16	3	4	4	5	1	2	2	6	2	0	5	5	0	3
31819	1	0	16	13	1	8	6	3	1	5	5	5	0	3	5	5	0	3
31814	1	0	14	8	8	8	8	2	0	7	3	1	6	3	3	5	2	1
31818	1	1	21	7	2	12	8	2	0	7	5	4	1	4	8	1	1	8
31896	1	0	11	11	8	5	5	2	3	4	2	7	1	0	4	2	4	3
31829	1	0	14	16	0	6	6	4	0	5	1	9	0	0	7	3	0	6
31903	1	0	12	10	8	6	5	3	2	4	2	4	4	1	5	3	2	4
31871	1	0	12	11	7	6	4	3	3	3	4	5	1	2	4	3	3	3
31863	1	0	12	10	8	6	7	2	1	6	2	4	4	1	3	4	3	2
31891	1	0	17	9	4	9	4	2	4	3	4	6	0	2	9	1	0	9
31800	1	0	11	17	2	4	6	4	0	5	2	8	0	0	3	5	2	1
31807	1	0	13	6	11	7	4	2	4	3	1	3	6	0	8	1	1	8
31857	1	0	5	19	6	0	2	5	3	0	2	7	1	0	1	7	2	0
31802	1	0	17	10	3	9	6	2	2	5	5	4	1	4	6	4	0	5
31836	1	0	5	25	0	0	1	9	0	0	1	9	0	0	3	7	0	1
31869	1	0	18	12	0	9	7	3	0	6	5	5	0	3	6	4	0	5
31883	1	0	7	23	0	0	3	7	0	1	1	9	0	0	3	7	0	1
31858	1	0	4	9	17	1	1	1	8	1	2	6	2	0	1	2	7	0
31870	1	0	16	7	7	9	6	1	3	6	4	6	0	2	6	0	4	6
