vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	78	51	8	1	12	6	51
2	C	78	52	1	15	7	52	3
3	B	78	67	0	3	67	5	3
4	A	78	13	36	13	9	14	6
5	A	78	70	3	70	2	1	2
6	B	78	23	33	8	23	9	5
7	A	78	28	30	28	4	9	7
8	C	78	26	13	2	29	26	8
9	C	78	55	13	2	2	55	6
10	B	78	56	3	4	56	2	13
11	A	78	57	4	57	1	6	10
12	C	78	52	3	18	3	52	2
13	D	78	28	6	34	1	9	28
14	B	78	33	16	4	33	14	11
15	D	78	47	8	1	13	9	47
16	C	78	3	17	9	15	3	34
17	D	78	5	7	13	10	43	5
18	B	78	23	19	9	23	12	15
19	D	78	8	20	18	12	20	8
20	D	78	21	12	2	31	12	21
21	A	78	41	11	41	3	4	19
22	A	78	48	19	48	8	1	2
23	A	78	54	7	54	4	12	1
24	A	78	56	4	56	6	5	7
25	A	78	55	12	55	5	5	1
26	A	78	40	20	40	1	13	4
27	C	78	50	8	2	7	50	11
28	B	78	40	4	9	40	2	23
29	A	78	47	18	47	4	6	3
30	A	78	27	14	27	17	17	3
