Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,"Voornaam","nummer","ijkID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,31797,"18dwGRDM00131797",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31798,"18dwGRDM00231798",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31799,"18dwGRDM00331799",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31800,"18dwGRDM00431800",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31801,"18dwGRDM00531801",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31802,"18dwGRDM00631802",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31803,"18dwGRDM00731803",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31804,"18dwAET300131804",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31805,"18dwAET300231805",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31806,"18dwAET300331806",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31807,"18dwGRDM00831807",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31808,"18dwGRDM00931808",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31809,"18dwAET300431809",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31810,"18dwAET300531810",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31811,"18dwGRDM01031811",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31812,"18dwGRDM01131812",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31813,"18dwGRDM01231813",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31814,"18dwGRDM01331814",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31815,"18dwGRDM01431815",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31816,"18dwGRDM01531816",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31817,"18dwAET300631817",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31818,"18dwGRDM01631818",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31819,"18dwGRDM01731819",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31820,"18dwGRDM01831820",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31821,"18dwGRDM01931821",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31822,"18dwAET300731822",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31823,"18dwGRDM02031823",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31824,"18dwAET300831824",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31825,"18dwAET300931825",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31826,"18dwGRDM02131826",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31827,"18dwGRDM02231827",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31828,"18dwGRDM02331828",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31829,"18dwGRDM02431829",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31830,"18dwAET301031830",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31831,"18dwGRDM02531831",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31832,"18dwGRDM02631832",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31833,"18dwAET301131833",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31834,"18dwGRDM02731834",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31898,"18dwGRDM06931898",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31835,"18dwGRDM02831835",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
