scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	27
totaal	10-13	rgb(255,215,0)	9
totaal	>=14	rgb(144,238,144)	4
wiskunde	<=6	rgb(255,140,0)	20
wiskunde	7-9	rgb(255,215,0)	9
wiskunde	>=10	rgb(144,238,144)	11
wiskunde_basis	<=4	rgb(255,140,0)	18
wiskunde_basis	5-7	rgb(255,215,0)	9
wiskunde_basis	>=8	rgb(144,238,144)	13
wiskunde_standaard	<4	rgb(255,140,0)	22
wiskunde_standaard	4-6	rgb(255,215,0)	13
wiskunde_standaard	>=7	rgb(144,238,144)	5
ruimtelijk	<=4	rgb(255,140,0)	12
ruimtelijk	5-7	rgb(255,215,0)	13
ruimtelijk	>=8	rgb(144,238,144)	15
