vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	40	23	58	6	15	3	5	23	3
2	C	40	22	55	0	0	1	4	22	13
3	B	40	29	72	6	15	3	29	2	0
4	D	40	26	65	5	12	2	6	1	26
5	B	40	17	42	18	45	2	17	3	0
6	D	40	30	75	0	0	1	8	1	30
7	D	40	8	20	14	35	11	4	3	8
8	A	40	35	88	1	2	35	3	0	1
9	B	40	9	22	15	37	7	9	6	3
10	A	40	19	48	11	27	19	4	3	3
11	A	40	9	22	14	35	9	7	3	7
12	A	40	23	58	7	17	23	2	3	5
13	A	40	8	20	15	37	8	11	2	4
14	A	40	6	15	29	72	6	1	2	2
15	A	40	14	35	20	50	14	3	1	2
16	A	40	3	8	22	55	3	6	4	5
17	B	40	5	12	26	65	0	5	6	3
18	A	40	18	45	16	40	18	3	3	0
19	B	40	24	60	4	10	3	24	6	3
20	B	40	29	72	0	0	1	29	1	9
21	A	40	29	72	0	0	29	7	2	2
22	D	40	33	82	3	7	3	0	1	33
