ijkID	feedbackCode
31910	18ia65006
31913	18ia11576
31914	18ia18683
31915	18ia53085
31918	18ia65737
31920	18ia94546
31927	18ia24257
31929	18ia12213
31937	18ia17230
31943	18ia78287
31950	18ia63652
31957	18ia41127
31958	18ia47583
31961	18ia74808
31970	18ia44535
31973	18ia84739
31990	18ia55806
31994	18ia94998
31995	18ia98183
31998	18ia81540
32003	18ia44118
32006	18ia24677
32007	18ia93263
32014	18ia29008
32029	18ia38456
32037	18ia10520
32038	18ia90799
32050	18ia36586
32052	18ia51980
32053	18ia69007
32054	18ia84873
32133	18ia32340
32057	18ia63641
32060	18ia72272
32134	18ia91895
32068	18ia62075
32073	18ia53472
32074	18ia60325
32078	18ia88913
32079	18ia59846
32086	18ia28020
32140	18ia34723
32090	18ia94855
32091	18ia90323
32095	18ia87154
32096	18ia30933
32097	18ia81568
32142	18ia30541
32102	18ia84584
32144	18ia35908
32113	18ia42850
32114	18ia75908
32116	18ia28440
32117	18ia80695
32121	18ia76185
