key	value
aantalDeelnemers	40
totaalHoogsteScore	16
totaalLaagsteScore	1
totaalGemiddeldeScore	7.7
totaalMediaanScore	7
totaalAantalScore0	0
totaalAantalScore1	1
totaalAantalScore2	2
totaalAantalScore3	2
totaalAantalScore4	6
totaalAantalScore5	5
totaalAantalScore6	1
totaalAantalScore7	5
totaalAantalScore8	2
totaalAantalScore9	3
totaalAantalScore10	2
totaalAantalScore11	2
totaalAantalScore12	3
totaalAantalScore13	2
totaalAantalScore14	1
totaalAantalScore15	2
totaalAantalScore16	1
totaalAantalScore17	0
totaalAantalScore18	0
totaalAantalScore19	0
totaalAantalScore20	0
wiskundeHoogsteScore	15
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	6.7
wiskundeMediaanScore	7
wiskundeAantalScore0	1
wiskundeAantalScore1	5
wiskundeAantalScore2	3
wiskundeAantalScore3	0
wiskundeAantalScore4	5
wiskundeAantalScore5	1
wiskundeAantalScore6	5
wiskundeAantalScore7	4
wiskundeAantalScore8	2
wiskundeAantalScore9	3
wiskundeAantalScore10	3
wiskundeAantalScore11	4
wiskundeAantalScore12	0
wiskundeAantalScore13	0
wiskundeAantalScore14	3
wiskundeAantalScore15	1
wiskundeAantalScore16	0
wiskundeAantalScore17	0
wiskundeAantalScore18	0
wiskundeAantalScore19	0
wiskundeAantalScore20	0
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	5.2
wiskunde_basisMediaanScore	6
wiskunde_basisAantalScore0	3
wiskunde_basisAantalScore1	2
wiskunde_basisAantalScore2	2
wiskunde_basisAantalScore3	8
wiskunde_basisAantalScore4	3
wiskunde_basisAantalScore5	2
wiskunde_basisAantalScore6	4
wiskunde_basisAantalScore7	3
wiskunde_basisAantalScore8	8
wiskunde_basisAantalScore9	3
wiskunde_basisAantalScore10	2
wiskunde_standaardHoogsteScore	14
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	3.925
wiskunde_standaardMediaanScore	3
wiskunde_standaardAantalScore0	6
wiskunde_standaardAantalScore1	3
wiskunde_standaardAantalScore2	3
wiskunde_standaardAantalScore3	10
wiskunde_standaardAantalScore4	4
wiskunde_standaardAantalScore5	6
wiskunde_standaardAantalScore6	3
wiskunde_standaardAantalScore7	1
wiskunde_standaardAantalScore8	0
wiskunde_standaardAantalScore9	0
wiskunde_standaardAantalScore10	1
wiskunde_standaardAantalScore11	1
wiskunde_standaardAantalScore12	1
wiskunde_standaardAantalScore13	0
wiskunde_standaardAantalScore14	1
wiskunde_standaardAantalScore15	0
wiskunde_standaardAantalScore16	0
wiskunde_standaardAantalScore17	0
wiskunde_standaardAantalScore18	0
wiskunde_standaardAantalScore19	0
wiskunde_standaardAantalScore20	0
ruimtelijkHoogsteScore	10
ruimtelijkLaagsteScore	0
ruimtelijkGemiddeldeScore	6.525
ruimtelijkMediaanScore	7
ruimtelijkAantalScore0	4
