feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
18ir98012	1	C	C	B	D	X	D	D	A	A	A	A	D	A	X	A	B	B	A	X	B	A	B
18ir74320	1	C	D	B	D	B	D	C	A	B	B	D	D	X	A	A	D	C	B	B	X	C	X
18ir50077	1	C	D	B	X	B	D	X	A	X	X	B	B	D	X	X	X	X	B	X	D	C	X
18ir40484	1	B	C	B	B	X	D	A	A	A	A	X	A	X	X	X	X	X	X	X	A	A	A
18ir90509	1	C	C	B	C	D	D	C	A	C	D	C	A	A	D	C	B	C	A	A	B	A	B
18ir86620	1	X	C	B	B	B	D	X	A	X	A	D	A	X	A	A	X	X	X	D	C	C	B
18ir76697	1	C	C	B	X	B	D	X	A	X	A	X	A	X	X	A	X	X	X	X	B	B	B
18ir43908	1	D	C	B	X	X	B	A	A	X	X	D	A	B	X	X	X	C	X	X	X	X	X
18ir62821	1	A	C	B	D	B	D	A	A	X	D	C	A	X	D	X	D	X	X	C	D	B	B
18ir37419	1	C	C	B	B	B	A	X	A	C	A	X	A	A	X	A	C	B	A	X	B	B	D
18ir17093	1	C	D	B	D	B	D	X	A	B	A	X	D	X	X	D	X	X	A	X	B	A	B
18ir70741	1	B	D	X	X	X	D	A	A	B	X	B	A	X	X	X	X	X	X	X	X	B	A
18ir45768	1	B	D	B	X	X	D	A	A	X	X	C	C	B	X	A	X	X	A	C	B	B	D
18ir47645	1	C	C	B	D	A	C	C	A	B	D	D	A	B	C	A	D	B	B	C	B	A	D
18ir32098	1	D	A	B	D	X	D	A	C	A	D	D	X	B	D	C	C	D	A	B	C	C	B
18ir35579	1	B	D	B	X	X	B	D	A	X	X	X	A	A	X	A	X	X	A	X	B	A	B
18ir43391	1	C	C	B	A	B	D	D	A	B	B	C	C	A	D	B	C	B	A	A	B	D	B
18ir24742	1	D	C	B	A	B	B	D	A	C	A	C	B	D	D	A	A	B	A	C	B	D	B
18ir68190	1	C	C	B	X	B	D	X	A	X	X	X	X	X	X	X	X	X	X	D	X	D	B
18ir69767	1	C	C	B	X	X	D	D	A	A	X	A	A	B	X	A	B	X	A	D	B	A	B
18ir67269	1	C	C	B	B	B	D	A	X	D	A	X	D	C	X	A	B	X	A	X	B	C	D
18ir72575	1	D	B	B	D	B	D	C	A	B	A	B	A	B	A	A	A	B	A	B	B	A	C
18ir63906	1	D	D	B	D	B	D	X	A	X	A	B	A	A	A	A	A	B	A	D	B	A	B
18ir40653	1	C	C	B	D	B	D	D	A	X	A	B	A	C	A	A	D	B	A	X	B	B	B
18ir69392	1	C	C	B	D	B	D	D	A	B	A	A	A	A	D	A	C	B	A	D	B	A	B
18ir65641	1	C	C	B	D	X	D	D	A	B	B	B	A	D	A	X	A	X	A	C	X	D	B
18ir48708	1	C	C	B	B	B	D	D	A	B	A	C	D	B	B	A	A	B	A	D	B	A	B
18ir31325	1	C	C	B	D	B	D	D	A	B	A	B	D	A	D	A	B	B	A	D	B	D	D
18ir29019	1	C	C	B	D	B	D	D	A	B	A	A	A	D	X	X	X	X	A	D	B	A	D
18ir17820	1	C	C	B	D	B	D	D	A	B	A	A	D	A	A	A	X	B	A	D	B	A	B
18ir89243	1	C	C	X	D	B	D	X	A	B	A	A	X	A	X	A	X	X	A	X	B	B	B
18ir98000	1	C	A	C	X	B	D	B	A	A	D	C	A	B	X	X	B	X	A	C	C	D	C
18ir10890	1	C	B	B	D	B	D	X	A	X	A	A	D	A	D	A	X	X	A	X	B	D	A
18ir73399	1	C	C	B	D	B	D	A	A	B	B	X	A	A	X	D	D	B	A	X	B	A	B
18ir66396	1	C	X	B	D	B	B	A	A	A	A	C	A	B	X	C	D	X	C	X	C	A	B
18ir91318	1	C	D	B	D	B	D	X	A	B	B	A	A	X	B	A	C	C	A	X	B	A	B
18ir81375	1	C	C	B	A	B	D	D	A	C	A	D	D	X	X	C	D	X	X	D	A	A	X
18ir81147	1	X	D	B	D	B	D	C	A	X	B	A	D	X	X	A	D	X	A	X	X	X	B
18ir28743	1	C	C	B	X	X	D	B	A	B	X	B	A	X	X	A	X	X	A	X	X	A	X
18ir90542	1	C	C	B	D	B	D	D	A	B	A	A	A	X	A	A	B	B	A	C	X	A	X
18ir57761	1	B	C	B	C	X	D	C	D	X	X	C	X	B	X	A	C	X	X	A	A	B	B
18ir24967	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	D	B	A	C	B	D	B
18ir19494	1	C	C	X	D	X	D	X	A	X	A	B	X	X	X	A	X	X	X	X	B	X	X
18ir73896	1	C	C	B	D	B	D	X	A	X	A	C	A	X	X	A	A	B	A	D	B	A	B
18ir42817	1	D	C	B	X	A	D	X	B	A	A	X	A	X	D	A	D	B	X	D	D	A	X
18ir35527	1	D	C	B	A	B	D	D	A	B	A	A	A	A	A	A	D	B	A	A	B	A	B
18ir23548	1	D	C	B	D	B	D	D	A	X	X	A	D	A	A	A	A	B	A	D	B	A	B
18ir27566	1	C	C	B	D	X	B	X	A	B	X	A	A	A	D	X	X	X	X	X	B	B	B
18ir99076	1	C	C	B	D	B	D	X	A	B	A	X	A	C	X	A	A	X	A	X	B	B	X
18ir99170	1	B	D	B	D	X	D	D	A	A	A	X	A	D	A	A	A	B	A	A	B	A	B
18ir32140	1	B	C	B	D	B	D	X	A	C	A	B	A	X	D	D	B	A	X	X	X	A	A
18ir24577	1	D	D	B	D	B	A	A	A	D	A	C	A	B	X	B	X	B	C	D	D	C	B
18ir49542	1	C	C	B	D	B	D	D	A	B	X	A	D	A	B	A	A	B	A	C	B	B	A
18ir79804	1	C	C	B	X	B	D	D	A	X	X	A	A	A	B	D	D	B	A	D	B	D	B
18ir79134	1	C	C	B	D	B	D	D	A	A	A	B	A	A	D	A	X	B	D	D	B	A	B
18ir63292	1	C	C	B	D	B	D	D	A	D	A	X	D	A	B	A	D	B	A	X	B	B	B
18ir41960	1	C	D	B	D	B	D	C	A	X	A	D	A	B	A	A	X	B	A	A	B	A	B
18ir63817	1	A	C	B	X	X	B	C	A	X	C	A	C	C	X	D	B	X	A	B	B	B	B
18ir71748	1	C	C	B	X	X	D	B	A	X	A	X	A	C	X	X	B	X	D	B	X	A	C
18ir57025	1	C	A	B	D	B	X	C	A	X	D	B	B	C	D	C	B	D	B	C	X	C	X
18ir13866	1	C	A	B	D	X	D	C	B	X	A	X	X	B	X	A	X	B	X	D	A	A	X
18ir86319	1	C	C	B	D	X	D	X	A	B	A	A	A	A	A	A	B	B	A	D	B	A	C
18ir47612	1	C	A	B	X	X	D	A	B	X	X	A	D	X	D	C	X	X	D	X	X	X	C
18ir73259	1	D	C	D	X	A	B	A	A	B	X	X	C	A	A	B	X	A	C	B	C	B	C
18ir40589	1	C	B	B	X	A	D	X	A	A	D	B	A	C	X	A	B	X	X	D	X	A	B
18ir55632	1	C	C	B	D	B	D	X	A	A	A	A	A	B	A	A	X	B	A	D	B	D	A
18ir47731	1	C	C	B	X	B	X	X	X	X	X	D	C	X	X	X	X	B	B	X	X	X	B
18ir15573	1	C	C	B	D	B	D	D	A	A	B	A	A	A	X	X	D	X	A	D	B	B	X
18ir19114	1	X	C	B	D	X	D	X	D	X	A	X	A	X	X	X	X	X	A	X	X	B	C
18ir26098	1	C	C	C	X	B	D	X	A	A	A	X	X	X	X	X	C	X	X	C	C	D	C
18ir13748	1	C	C	B	D	B	D	X	A	A	A	A	A	A	A	A	X	B	X	X	X	A	X
18ir42001	1	C	B	X	X	B	D	D	A	B	X	D	A	X	X	A	B	X	X	X	X	A	B
18ir10883	1	C	C	B	D	B	D	X	B	X	A	A	C	X	X	B	X	X	X	C	B	A	B
18ir96430	1	C	D	B	D	B	D	X	A	B	A	A	A	X	D	A	A	B	A	A	B	D	B
18ir30204	1	C	C	B	D	B	D	D	D	B	A	A	A	A	X	X	X	B	X	D	B	A	B
18ir91682	1	B	C	B	D	B	D	X	A	X	A	D	A	A	X	X	X	X	A	X	B	A	X
18ir36292	1	C	C	B	D	B	D	X	A	X	A	X	A	X	X	A	X	B	A	X	B	X	B
18ir88252	1	X	C	B	D	B	D	X	A	A	A	A	A	B	D	A	X	X	X	X	B	A	B
18ir92860	1	C	C	B	D	B	D	B	A	X	A	X	D	X	X	X	X	X	X	X	B	B	B
18ir82771	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	A	B	A	D	B	A	B
18ir23594	1	C	D	B	X	B	B	X	A	X	X	X	D	A	X	A	X	B	A	X	B	A	B
18ir47741	1	C	C	B	D	B	D	D	A	D	X	A	A	X	B	A	B	B	X	D	B	A	B
18ir70936	1	C	C	B	D	B	D	X	A	B	X	X	X	X	A	A	X	X	X	D	B	D	A
18ir27039	1	C	C	B	D	B	D	D	A	C	A	A	D	X	A	A	X	X	A	B	B	D	A
18ir86766	1	C	C	B	X	B	D	D	A	X	A	X	A	A	X	X	X	X	A	A	X	D	B
18ir79471	1	C	C	B	D	B	D	D	A	B	C	D	A	X	D	A	B	B	X	X	B	A	B
18ir70338	1	D	C	B	X	B	D	D	A	B	A	A	A	A	X	A	X	B	A	X	B	C	B
18ir22764	1	C	B	B	B	B	D	X	A	B	X	X	X	D	X	A	X	B	C	X	B	B	B
18ir91842	1	C	C	B	D	B	D	X	A	B	A	A	A	A	X	A	D	X	A	D	B	A	B
18ir86228	1	C	C	B	D	B	D	D	A	B	A	A	A	X	A	A	X	X	A	X	B	A	B
18ir18533	1	B	B	B	B	B	B	B	A	X	A	C	A	B	B	A	X	X	A	X	B	A	B
18ir88376	1	C	C	B	X	B	D	A	A	X	A	D	X	A	X	D	X	X	X	C	C	A	A
18ir56779	1	C	C	B	D	B	D	D	A	B	A	X	A	C	X	A	D	B	A	D	D	A	A
18ir26252	1	C	C	B	D	B	D	D	D	B	A	B	A	X	X	A	B	B	X	D	B	A	A
18ir94516	1	C	C	B	B	B	D	X	A	B	A	X	A	A	A	A	X	B	X	B	B	A	D
18ir87564	1	C	C	B	D	B	D	D	D	X	A	A	C	X	X	A	X	B	A	D	B	B	B
18ir71213	1	C	C	B	X	B	D	X	A	X	A	X	A	X	X	A	X	B	A	X	B	A	A
18ir77926	1	C	A	B	X	X	B	A	A	B	X	X	A	B	X	A	D	A	B	D	B	A	B
18ir54588	1	C	C	B	D	X	D	B	A	B	A	C	A	B	B	D	B	B	A	C	D	B	C
18ir44367	1	C	D	B	X	X	D	C	A	X	X	X	B	B	D	A	X	X	A	X	A	D	B
18ir80529	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	A	B	A	D	B	A	B
18ir24652	1	D	D	B	C	B	D	A	A	A	B	A	C	X	X	A	X	A	A	C	C	B	A
18ir84216	1	C	C	B	D	B	D	D	A	B	A	A	A	B	A	A	A	B	A	D	B	D	B
18ir32722	1	C	C	B	D	B	D	D	A	B	A	X	A	A	A	X	X	B	B	X	B	A	B
18ir59122	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	D	A	B	A	D	B	A	B
18ir81287	1	C	C	B	X	X	B	X	A	X	C	X	X	A	D	X	B	B	X	X	D	D	B
18ir14555	1	C	C	B	D	B	D	D	A	X	A	A	A	A	X	A	X	X	A	B	B	X	B
18ir17259	1	C	A	B	C	B	D	D	A	B	C	B	A	A	C	B	D	A	C	B	A	D	C
18ir14532	1	C	D	B	D	B	D	D	A	A	A	X	A	C	X	A	X	X	A	D	B	A	B
18ir89182	1	C	C	B	B	B	D	D	C	C	A	D	B	C	B	D	D	X	A	D	B	D	B
18ir84601	1	C	C	B	D	X	D	D	A	B	A	D	A	A	A	A	A	B	A	D	B	A	B
18ir59284	1	D	C	B	D	B	D	X	X	A	X	X	D	A	X	X	X	X	X	X	B	X	B
18ir68077	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	X	B	A	D	B	A	A
18ir21301	1	X	C	B	X	X	D	A	A	X	A	A	C	X	X	D	X	X	A	X	A	B	C
18ir19767	1	C	D	B	D	B	D	X	A	B	A	B	A	A	B	A	X	B	X	D	B	B	B
18ir16602	1	D	D	C	A	X	B	A	A	X	B	D	A	X	X	B	X	X	A	A	X	B	C
18ir65585	1	C	C	B	D	B	D	D	A	B	A	A	A	A	B	A	X	X	B	C	B	A	B
18ir79346	1	C	C	B	D	B	D	D	A	A	A	D	A	C	A	A	A	B	A	B	B	A	B
18ir18336	1	C	A	B	D	X	D	A	A	B	A	A	A	X	X	A	X	X	X	X	X	A	A
18ir20438	1	C	C	B	D	B	D	X	A	X	A	A	A	A	X	A	X	B	A	X	B	A	C
18ir11966	1	C	A	B	X	X	D	D	A	X	A	D	A	X	X	A	X	X	A	X	B	A	A
18ir69267	1	B	C	B	D	X	D	X	A	X	A	A	A	B	X	X	D	X	X	B	B	X	C
18ir81175	1	B	B	B	D	B	D	D	A	A	X	C	A	X	A	A	B	X	A	C	A	D	X
18ir10488	1	C	C	B	X	B	D	X	A	B	A	X	A	A	D	X	A	X	A	X	B	X	X
18ir71602	1	C	C	B	D	X	D	X	A	X	A	X	A	X	X	C	X	B	X	X	B	A	B
18ir21233	1	C	C	B	D	B	D	X	A	C	A	A	A	C	X	A	X	B	X	D	B	A	X
18ir97537	1	B	C	B	D	B	D	D	A	A	A	X	A	X	A	X	X	X	X	X	B	D	X
