feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep
18ir98012	1	1	16	3	3	14	>=14	16	3	3	14	>=14
18ir74320	1	0	9	10	3	5	<=7	9	10	3	5	<=7
18ir50077	1	0	5	7	10	2	<=7	5	7	10	2	<=7
18ir40484	1	0	7	6	9	5	<=7	7	6	9	5	<=7
18ir90509	1	0	11	11	0	7	<=7	11	11	0	7	<=7
18ir86620	1	0	11	4	7	9	8-9	11	4	7	9	8-9
18ir76697	1	1	11	1	10	10	10-13	11	1	10	10	10-13
18ir43908	1	0	4	6	12	2	<=7	4	6	12	2	<=7
18ir62821	1	0	8	9	5	5	<=7	8	9	5	5	<=7
18ir37419	1	0	12	6	4	9	8-9	12	6	4	9	8-9
18ir17093	1	1	12	3	7	10	10-13	12	3	7	10	10-13
18ir70741	1	0	4	6	12	2	<=7	4	6	12	2	<=7
18ir45768	1	0	6	9	7	3	<=7	6	9	7	3	<=7
18ir47645	1	0	11	11	0	7	<=7	11	11	0	7	<=7
18ir32098	1	0	5	15	2	0	<=7	5	15	2	0	<=7
18ir35579	1	0	10	3	9	8	8-9	10	3	9	8	8-9
18ir43391	1	0	13	9	0	9	8-9	13	9	0	9	8-9
18ir24742	1	0	12	10	0	8	8-9	12	10	0	8	8-9
18ir68190	1	0	8	1	13	7	<=7	8	1	13	7	<=7
18ir69767	1	1	14	3	5	12	10-13	14	3	5	12	10-13
18ir67269	1	0	9	8	5	6	<=7	9	8	5	6	<=7
18ir72575	1	1	15	7	0	12	10-13	15	7	0	12	10-13
18ir63906	1	1	17	3	2	15	>=14	17	3	2	15	>=14
18ir40653	1	1	16	4	2	13	10-13	16	4	2	13	10-13
18ir69392	1	1	20	2	0	18	>=14	20	2	0	18	>=14
18ir65641	1	1	13	5	4	10	10-13	13	5	4	10	10-13
18ir48708	1	1	17	5	0	14	>=14	17	5	0	14	>=14
18ir31325	1	1	16	6	0	13	10-13	16	6	0	13	10-13
18ir29019	1	1	16	2	4	14	>=14	16	2	4	14	>=14
18ir17820	1	1	20	1	1	18	>=14	20	1	1	18	>=14
18ir89243	1	1	14	1	7	12	10-13	14	1	7	12	10-13
18ir98000	1	0	6	12	4	2	<=7	6	12	4	2	<=7
18ir10890	1	0	12	5	5	9	8-9	12	5	5	9	8-9
18ir73399	1	1	15	4	3	12	10-13	15	4	3	12	10-13
18ir66396	1	0	9	9	4	5	<=7	9	9	4	5	<=7
18ir91318	1	1	14	5	3	11	10-13	14	5	3	11	10-13
18ir81375	1	0	10	7	5	7	<=7	10	7	5	7	<=7
18ir81147	1	0	9	5	8	7	<=7	9	5	8	7	<=7
18ir28743	1	0	10	2	10	8	8-9	10	2	10	8	8-9
18ir90542	1	1	17	2	3	15	>=14	17	2	3	15	>=14
18ir57761	1	0	5	10	7	2	<=7	5	10	7	2	<=7
18ir24967	1	1	19	3	0	16	>=14	19	3	0	16	>=14
18ir19494	1	0	8	1	13	7	<=7	8	1	13	7	<=7
18ir73896	1	1	17	1	4	15	>=14	17	1	4	15	>=14
18ir42817	1	0	9	7	6	6	<=7	9	7	6	6	<=7
18ir35527	1	1	18	4	0	15	>=14	18	4	0	15	>=14
18ir23548	1	1	18	2	2	16	>=14	18	2	2	16	>=14
18ir27566	1	0	11	3	8	9	8-9	11	3	8	9	8-9
18ir99076	1	1	14	2	6	12	10-13	14	2	6	12	10-13
18ir99170	1	1	15	5	2	12	10-13	15	5	2	12	10-13
18ir32140	1	0	9	8	5	6	<=7	9	8	5	6	<=7
18ir24577	1	0	9	11	2	5	<=7	9	11	2	5	<=7
18ir49542	1	1	16	5	1	13	10-13	16	5	1	13	10-13
18ir79804	1	1	15	4	3	12	10-13	15	4	3	12	10-13
18ir79134	1	1	17	4	1	14	>=14	17	4	1	14	>=14
18ir63292	1	1	15	5	2	12	10-13	15	5	2	12	10-13
