key	value
aantalDeelnemers	146
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	9.883561643835616
totaalMediaanScore	10
totaalAantalScore0	2
totaalAantalScore1	3
totaalAantalScore2	6
totaalAantalScore3	4
totaalAantalScore4	2
totaalAantalScore5	11
totaalAantalScore6	8
totaalAantalScore7	13
totaalAantalScore8	7
totaalAantalScore9	13
totaalAantalScore10	7
totaalAantalScore11	7
totaalAantalScore12	17
totaalAantalScore13	13
totaalAantalScore14	10
totaalAantalScore15	9
totaalAantalScore16	5
totaalAantalScore17	1
totaalAantalScore18	5
totaalAantalScore19	1
totaalAantalScore20	2
wiskundeHoogsteScore	20
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	9.883561643835616
wiskundeMediaanScore	10
wiskundeAantalScore0	2
wiskundeAantalScore1	3
wiskundeAantalScore2	6
wiskundeAantalScore3	4
wiskundeAantalScore4	2
wiskundeAantalScore5	11
wiskundeAantalScore6	8
wiskundeAantalScore7	13
wiskundeAantalScore8	7
wiskundeAantalScore9	13
wiskundeAantalScore10	7
wiskundeAantalScore11	7
wiskundeAantalScore12	17
wiskundeAantalScore13	13
wiskundeAantalScore14	10
wiskundeAantalScore15	9
wiskundeAantalScore16	5
wiskundeAantalScore17	1
wiskundeAantalScore18	5
wiskundeAantalScore19	1
wiskundeAantalScore20	2
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	9.883561643835616
vragenreeks1totaalMediaanScore	10
vragenreeks1totaalAantalScore0	2
vragenreeks1totaalAantalScore1	3
vragenreeks1totaalAantalScore2	6
vragenreeks1totaalAantalScore3	4
vragenreeks1totaalAantalScore4	2
vragenreeks1totaalAantalScore5	11
vragenreeks1totaalAantalScore6	8
vragenreeks1totaalAantalScore7	13
vragenreeks1totaalAantalScore8	7
vragenreeks1totaalAantalScore9	13
vragenreeks1totaalAantalScore10	7
vragenreeks1totaalAantalScore11	7
vragenreeks1totaalAantalScore12	17
vragenreeks1totaalAantalScore13	13
vragenreeks1totaalAantalScore14	10
vragenreeks1totaalAantalScore15	9
vragenreeks1totaalAantalScore16	5
vragenreeks1totaalAantalScore17	1
vragenreeks1totaalAantalScore18	5
vragenreeks1totaalAantalScore19	1
vragenreeks1totaalAantalScore20	2
vragenreeks1wiskundeHoogsteScore	20
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	9.883561643835616
vragenreeks1wiskundeMediaanScore	10
vragenreeks1wiskundeAantalScore0	2
vragenreeks1wiskundeAantalScore1	3
vragenreeks1wiskundeAantalScore2	6
vragenreeks1wiskundeAantalScore3	4
vragenreeks1wiskundeAantalScore4	2
vragenreeks1wiskundeAantalScore5	11
vragenreeks1wiskundeAantalScore6	8
vragenreeks1wiskundeAantalScore7	13
vragenreeks1wiskundeAantalScore8	7
vragenreeks1wiskundeAantalScore9	13
vragenreeks1wiskundeAantalScore10	7
vragenreeks1wiskundeAantalScore11	7
vragenreeks1wiskundeAantalScore12	17
vragenreeks1wiskundeAantalScore13	13
vragenreeks1wiskundeAantalScore14	10
vragenreeks1wiskundeAantalScore15	9
vragenreeks1wiskundeAantalScore16	5
vragenreeks1wiskundeAantalScore17	1
vragenreeks1wiskundeAantalScore18	5
vragenreeks1wiskundeAantalScore19	1
vragenreeks1wiskundeAantalScore20	2
