scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	31
totaal	10-13	rgb(255,215,0)	38
totaal	>=14	rgb(144,238,144)	66
zonder_basis	<10	rgb(255,140,0)	50
zonder_basis	10-13	rgb(255,215,0)	32
zonder_basis	>=14	rgb(144,238,144)	53
wiskunde_basis	<7	rgb(255,140,0)	23
wiskunde_basis	7-8	rgb(255,215,0)	22
wiskunde_basis	>=9	rgb(144,238,144)	90
wiskunde_standaard	<8	rgb(255,140,0)	62
wiskunde_standaard	8-11	rgb(255,215,0)	48
wiskunde_standaard	>=12	rgb(144,238,144)	25
chemie	<5	rgb(255,140,0)	40
chemie	5-7	rgb(255,215,0)	30
chemie	>=7	rgb(144,238,144)	65
