feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19bw20516	1	1	24	3	8	13	10-13	15	3	7	11	10-13	9	0	1	9	>=9	10	0	5	10	8-11	5	3	2	4	<5
19bw90503	1	1	29	3	3	16	>=14	20	3	2	15	>=14	9	0	1	9	>=9	11	2	2	10	8-11	9	1	0	9	>=7
19bw52517	1	0	8	4	23	4	<10	4	3	18	2	<10	4	1	5	4	<7	2	1	12	2	<8	2	2	6	1	<5
19bw61683	1	1	33	0	2	19	>=14	23	0	2	18	>=14	10	0	0	10	>=9	13	0	2	13	>=12	10	0	0	10	>=7
19bw19985	1	0	16	3	16	9	<10	10	2	13	7	<10	6	1	3	6	<7	1	1	13	1	<8	9	1	0	9	>=7
19bw92677	1	1	22	5	8	12	10-13	14	5	6	10	10-13	8	0	2	8	7-8	7	4	4	6	<8	7	1	2	7	>=7
19bw87730	1	1	23	8	4	12	10-13	16	6	3	11	10-13	7	2	1	6	<7	10	2	3	9	8-11	6	4	0	5	5-7
19bw72420	1	1	31	2	2	17	>=14	21	2	2	16	>=14	10	0	0	10	>=9	11	2	2	10	8-11	10	0	0	10	>=7
19bw98251	1	0	21	10	4	10	10-13	13	9	3	8	<10	8	1	1	8	7-8	7	6	2	5	<8	6	3	1	5	5-7
19bw91940	1	1	25	10	0	12	10-13	16	9	0	10	10-13	9	1	0	9	>=9	11	4	0	10	8-11	5	5	0	3	<5
19bw92914	1	1	26	2	7	14	>=14	18	1	6	14	>=14	8	1	1	8	7-8	9	0	6	9	8-11	9	1	0	9	>=7
19bw99552	1	0	19	10	6	9	<10	11	10	4	6	<10	8	0	2	8	7-8	6	5	4	4	<8	5	5	0	3	<5
19bw99345	1	1	31	4	0	17	>=14	21	4	0	16	>=14	10	0	0	10	>=9	13	2	0	12	>=12	8	2	0	7	>=7
19bw57045	1	0	19	16	0	8	<10	9	16	0	3	<10	10	0	0	10	>=9	5	10	0	2	<8	4	6	0	2	<5
19bw30584	1	1	31	1	3	18	>=14	22	1	2	17	>=14	9	0	1	9	>=9	12	1	2	12	>=12	10	0	0	10	>=7
19bw38698	1	0	17	18	0	6	<10	10	15	0	4	<10	7	3	0	6	<7	6	9	0	3	<8	4	6	0	2	<5
19bw24125	1	0	18	17	0	7	<10	13	12	0	7	<10	5	5	0	3	<7	8	7	0	6	<8	5	5	0	3	<5
19bw99989	1	1	31	2	2	17	>=14	23	0	2	18	>=14	8	2	0	7	7-8	15	0	0	15	>=12	8	0	2	8	>=7
