vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	135	119	88	4	2	3	5	119	4
2	B	135	127	94	2	1	3	127	1	2
3	A	135	130	96	2	1	130	0	1	2
4	B	135	114	84	0	0	8	114	8	5
5	D	135	114	84	1	0	4	10	6	114
6	B	135	101	75	13	9	10	101	7	4
7	D	135	99	73	13	9	5	8	10	99
8	B	135	116	86	8	5	4	116	5	2
9	D	135	121	90	0	0	1	10	3	121
10	C	135	125	93	2	1	3	2	125	3
11	A	135	95	70	10	7	95	6	16	8
12	B	135	69	51	29	21	15	69	14	8
13	A	135	51	38	43	31	51	13	17	11
14	B	135	107	79	10	7	4	107	4	10
15	A	135	86	64	16	11	86	14	14	5
16	C	135	113	84	6	4	5	5	113	6
17	D	135	84	62	13	9	12	9	17	84
18	C	135	101	75	5	3	8	14	101	7
19	A	135	115	85	11	8	115	3	4	2
20	D	135	58	43	31	22	16	13	17	58
21	D	135	53	39	11	8	9	51	11	53
22	C	135	56	41	26	19	7	7	56	39
23	C	135	86	64	29	21	6	7	86	7
24	B	135	95	70	13	9	8	95	15	4
25	B	135	75	56	19	14	19	75	3	19
26	C	135	105	78	5	3	7	12	105	6
27	B	135	87	64	6	4	23	87	10	9
28	C	135	78	58	6	4	17	29	78	5
29	A	135	102	76	1	0	102	3	6	23
30	D	135	75	56	19	14	19	8	14	75
31	A	135	94	70	6	4	94	24	11	0
32	C	135	94	70	6	4	22	9	94	4
33	B	135	82	61	17	12	8	82	28	0
34	B	135	109	81	5	3	2	109	18	1
35	B	135	98	73	3	2	0	98	13	21
