ijkID	feedbackCode
32178	19bw13134
32191	19bw36428
32212	19bw54192
32219	19bw89103
32241	19bw70978
32245	19bw86609
32277	19bw22458
32280	19bw10143
32287	19bw69372
32288	19bw59296
32294	19bw31122
32299	19bw51813
32307	19bw73640
32308	19bw83537
32311	19bw90749
32332	19bw95932
32339	19bw28834
32341	19bw31119
32343	19bw26789
32352	19bw57767
32355	19bw88292
32366	19bw83356
32369	19bw40945
32407	19bw14435
32409	19bw42539
32410	19bw31497
32415	19bw15077
32416	19bw96828
32424	19bw30584
32427	19bw58958
32432	19bw84506
32457	19bw79787
32500	19bw77544
32504	19bw64855
32553	19bw73192
32564	19bw26292
33689	19bw17351
32597	19bw64276
32600	19bw81246
32607	19bw93304
32611	19bw99552
32616	19bw75744
32632	19bw65180
32658	19bw61679
32672	19bw47084
33699	19bw41575
32691	19bw76298
32703	19bw65011
32707	19bw40101
32733	19bw79487
32739	19bw25088
32745	19bw75286
32747	19bw31355
32751	19bw54255
32756	19bw61451
33707	19bw53189
32775	19bw34275
32832	19bw54517
32834	19bw71083
32843	19bw20516
32848	19bw98251
32854	19bw93388
32862	19bw31745
32876	19bw12751
32885	19bw84524
32888	19bw29217
32897	19bw22986
32910	19bw27790
32912	19bw82576
32922	19bw74748
32925	19bw87105
32939	19bw66873
32941	19bw12827
33725	19bw77382
32970	19bw92451
32984	19bw19985
32994	19bw33411
33011	19bw95334
33030	19bw53018
33036	19bw46624
33039	19bw29511
33051	19bw55080
33053	19bw90503
33737	19bw48622
33738	19bw23579
33069	19bw98021
33087	19bw92677
33093	19bw31919
33097	19bw42577
33103	19bw57241
33110	19bw25452
33119	19bw33553
33135	19bw63285
33138	19bw14850
33140	19bw47477
33151	19bw68701
33157	19bw28554
33174	19bw38698
33191	19bw57045
33211	19bw96224
33225	19bw45133
33230	19bw90007
33244	19bw45583
33245	19bw24125
33256	19bw22660
33257	19bw28996
33259	19bw21310
33776	19bw61683
33778	19bw13037
33278	19bw33794
33280	19bw23700
33290	19bw99989
33291	19bw99906
33311	19bw72998
33317	19bw71653
33788	19bw31539
33332	19bw97941
33333	19bw18035
33335	19bw88958
33796	19bw57395
33801	19bw67860
33374	19bw76388
33376	19bw64542
33379	19bw42433
33809	19bw72420
33811	19bw89633
33818	19bw59155
33403	19bw10264
33404	19bw44261
33417	19bw24416
33452	19bw99345
33846	19bw81479
33854	19bw70023
33469	19bw23753
33476	19bw61054
33478	19bw70271
33483	19bw40025
33861	19bw40806
33495	19bw33840
33504	19bw74326
33512	19bw92914
33513	19bw68611
33514	19bw87730
33875	19bw36697
33531	19bw93785
33535	19bw91940
33884	19bw83413
33886	19bw79320
33889	19bw81048
33581	19bw21510
33899	19bw17311
33603	19bw69061
33910	19bw52517
33619	19bw30552
33622	19bw13623
33629	19bw62226
33633	19bw25085
