Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32843,bw1593593518bdaDvNhEduPqWxTJg5kC7rgMI18vPH,19,A,13,24,3,8,11,15,3,7,9,9,0,1,10,10,0,5,4,5,3,2,,,,,,,,,,,,,,,,
,,33053,bw15948943445T8mlekNwESDYTm2y2EpH7xJKaQI99,19,A,16,29,3,3,15,20,3,2,9,9,0,1,10,11,2,2,9,9,1,0,,,,,,,,,,,,,,,,
,,33910,bw1597436516laWLGmvUNbsARwg1792U4Pn5RjtVZB,19,B,4,8,4,23,2,4,3,18,4,4,1,5,2,2,1,12,1,2,2,6,,,,,,,,,,,,,,,,
,,33776,bw1596292341pdUPl8DwtI1IMiffyGP92u5Yc8Z4MC,19,A,19,33,0,2,18,23,0,2,10,10,0,0,13,13,0,2,10,10,0,0,,,,,,,,,,,,,,,,
,,32984,bw15943209728RqGrc7OtmmqMyAzgg164tIwnZhKn1,19,B,9,16,3,16,7,10,2,13,6,6,1,3,1,1,1,13,9,9,1,0,,,,,,,,,,,,,,,,
,,33087,bw1595181454WiBAy2eJXpFikKcWCmo7XGtH8AGKus,19,A,12,22,5,8,10,14,5,6,8,8,0,2,6,7,4,4,7,7,1,2,,,,,,,,,,,,,,,,
,,33514,bw1597325177aUaiNQQUfmqrzc07dFMR3QRKNZkSXe,19,A,12,23,8,4,11,16,6,3,6,7,2,1,9,10,2,3,5,6,4,0,,,,,,,,,,,,,,,,
,,33809,bw1596885599WhzWHLudyxaMcsaoPNmQk5OXaq8n31,19,A,17,31,2,2,16,21,2,2,10,10,0,0,10,11,2,2,10,10,0,0,,,,,,,,,,,,,,,,
,,32848,bw1593607209e87iCmMRiftG43YqIMYy06lPyzhnHX,19,A,10,21,10,4,8,13,9,3,8,8,1,1,5,7,6,2,5,6,3,1,,,,,,,,,,,,,,,,
,,33535,bw1597348598pYGfW6dhimMxNm4LHSPTrP8WHGtkl5,19,A,12,25,10,0,10,16,9,0,9,9,1,0,10,11,4,0,3,5,5,0,,,,,,,,,,,,,,,,
,,33512,bw1597321697LlcWnfAxNRvsbupodtBDrt9QuHbPj4,19,A,14,26,2,7,14,18,1,6,8,8,1,1,9,9,0,6,9,9,1,0,,,,,,,,,,,,,,,,
,,32611,bw15921495783oCFzTg0yFUkfTerkeR2S8K3F2wpzW,19,B,9,19,10,6,6,11,10,4,8,8,0,2,4,6,5,4,3,5,5,0,,,,,,,,,,,,,,,,
,,33452,bw1597142281W7ATCgmmgRtVRxWetfKpsziMF0kP7m,19,A,17,31,4,0,16,21,4,0,10,10,0,0,12,13,2,0,7,8,2,0,,,,,,,,,,,,,,,,
,,33191,bw1595947967zxkjai3YrFPc5UxR1BCYjwlOpWBUJ3,19,B,8,19,16,0,3,9,16,0,10,10,0,0,2,5,10,0,2,4,6,0,,,,,,,,,,,,,,,,
,,32424,bw1591375607lyoe15D5UyBeY94GDk6zMxpFSW1QTN,19,A,18,31,1,3,17,22,1,2,9,9,0,1,12,12,1,2,10,10,0,0,,,,,,,,,,,,,,,,
,,33174,bw1595839681vNmVNZoTLodEk7OG8h6hwtg7gI4PML,19,B,6,17,18,0,4,10,15,0,6,7,3,0,3,6,9,0,2,4,6,0,,,,,,,,,,,,,,,,
,,33245,bw1596272683qiQAxsvQoftFskrwlXeUpVJzTcTXan,19,B,7,18,17,0,7,13,12,0,3,5,5,0,6,8,7,0,3,5,5,0,,,,,,,,,,,,,,,,
,,33290,bw1596447086VNS9xnXH4wyt5E4aLZgxWsn6qaiuMZ,19,A,17,31,2,2,18,23,0,2,7,8,2,0,15,15,0,0,8,8,0,2,,,,,,,,,,,,,,,,
,,33332,bw1596621594bt0R9wOz75fT5t0jznWcpQZ6oOEpWZ,19,A,19,34,1,0,19,24,1,0,10,10,0,0,15,15,0,0,9,9,1,0,,,,,,,,,,,,,,,,
,,32553,bw15917937642qyPDhYhiIuSEUpkNoN3VXmgcwRxnB,19,A,14,26,4,5,14,18,3,4,8,8,1,1,10,11,3,1,7,7,0,3,,,,,,,,,,,,,,,,
,,32432,bw1591395637cx6ceo6346KKPemLsM0YYXnme0xEtG,19,A,17,31,4,0,16,21,4,0,10,10,0,0,14,14,1,0,6,7,3,0,,,,,,,,,,,,,,,,
