ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
32843	1	1	24	3	8	13	15	3	7	11	9	0	1	9	10	0	5	10	5	3	2	4
33053	1	1	29	3	3	16	20	3	2	15	9	0	1	9	11	2	2	10	9	1	0	9
33910	1	0	8	4	23	4	4	3	18	2	4	1	5	4	2	1	12	2	2	2	6	1
33776	1	1	33	0	2	19	23	0	2	18	10	0	0	10	13	0	2	13	10	0	0	10
32984	1	0	16	3	16	9	10	2	13	7	6	1	3	6	1	1	13	1	9	1	0	9
33087	1	1	22	5	8	12	14	5	6	10	8	0	2	8	7	4	4	6	7	1	2	7
33514	1	1	23	8	4	12	16	6	3	11	7	2	1	6	10	2	3	9	6	4	0	5
33809	1	1	31	2	2	17	21	2	2	16	10	0	0	10	11	2	2	10	10	0	0	10
32848	1	0	21	10	4	10	13	9	3	8	8	1	1	8	7	6	2	5	6	3	1	5
33535	1	1	25	10	0	12	16	9	0	10	9	1	0	9	11	4	0	10	5	5	0	3
33512	1	1	26	2	7	14	18	1	6	14	8	1	1	8	9	0	6	9	9	1	0	9
32611	1	0	19	10	6	9	11	10	4	6	8	0	2	8	6	5	4	4	5	5	0	3
33452	1	1	31	4	0	17	21	4	0	16	10	0	0	10	13	2	0	12	8	2	0	7
33191	1	0	19	16	0	8	9	16	0	3	10	0	0	10	5	10	0	2	4	6	0	2
32424	1	1	31	1	3	18	22	1	2	17	9	0	1	9	12	1	2	12	10	0	0	10
33174	1	0	17	18	0	6	10	15	0	4	7	3	0	6	6	9	0	3	4	6	0	2
33245	1	0	18	17	0	7	13	12	0	7	5	5	0	3	8	7	0	6	5	5	0	3
33290	1	1	31	2	2	17	23	0	2	18	8	2	0	7	15	0	0	15	8	0	2	8
33332	1	1	34	1	0	19	24	1	0	19	10	0	0	10	15	0	0	15	9	1	0	9
32553	1	1	26	4	5	14	18	3	4	14	8	1	1	8	11	3	1	10	7	0	3	7
32432	1	1	31	4	0	17	21	4	0	16	10	0	0	10	14	1	0	14	7	3	0	6
32672	1	0	25	10	0	12	15	10	0	9	10	0	0	10	9	6	0	7	6	4	0	5
32407	1	1	29	6	0	15	21	4	0	16	8	2	0	7	13	2	0	12	8	2	0	7
33403	1	1	31	2	2	17	22	1	2	17	9	1	0	9	12	1	2	12	10	0	0	10
33603	1	1	33	1	1	19	23	1	1	18	10	0	0	10	14	0	1	14	9	1	0	9
33069	1	1	33	1	1	19	23	1	1	18	10	0	0	10	13	1	1	13	10	0	0	10
33495	1	1	23	3	9	13	14	3	8	10	9	0	1	9	8	1	6	8	6	2	2	5
32922	1	0	21	14	0	9	12	13	0	6	9	1	0	9	8	7	0	6	4	6	0	2
32897	1	1	28	7	0	15	19	6	0	14	9	1	0	9	14	1	0	14	5	5	0	3
33738	1	0	19	11	5	9	9	11	5	4	10	0	0	10	3	7	5	1	6	4	0	5
33379	1	1	32	2	1	18	22	2	1	17	10	0	0	10	12	2	1	11	10	0	0	10
33151	1	1	30	5	0	16	20	5	0	15	10	0	0	10	12	3	0	11	8	2	0	7
32500	1	0	19	13	3	8	10	12	3	5	9	1	0	9	7	5	3	5	3	7	0	1
32885	1	1	21	11	3	10	15	8	2	10	6	3	1	5	8	5	2	6	7	3	0	6
32607	1	0	15	16	4	6	12	12	1	6	3	4	3	2	5	9	1	2	7	3	0	6
33861	1	1	32	0	3	18	22	0	3	18	10	0	0	10	13	0	2	13	9	0	1	9
33629	1	0	24	11	0	12	14	11	0	8	10	0	0	10	9	6	0	7	5	5	0	3
32341	1	0	14	20	1	4	8	17	0	2	6	3	1	5	5	10	0	2	3	7	0	1
33619	1	1	30	3	2	17	20	3	2	15	10	0	0	10	11	2	2	10	9	1	0	9
32600	1	0	22	7	6	11	12	7	6	8	10	0	0	10	9	1	5	9	3	6	1	1
33039	1	1	28	5	2	15	18	5	2	13	10	0	0	10	11	2	2	10	7	3	0	6
33311	1	1	24	11	0	12	17	8	0	11	7	3	0	6	8	7	0	6	9	1	0	9
32994	1	1	30	5	0	16	21	4	0	16	9	1	0	9	11	4	0	10	10	0	0	10
33633	1	1	25	4	6	14	15	4	6	11	10	0	0	10	7	2	6	6	8	2	0	7
33376	1	1	30	5	0	16	20	5	0	15	10	0	0	10	11	4	0	10	9	1	0	9
32343	1	1	28	3	4	15	18	3	4	14	10	0	0	10	12	2	1	11	6	1	3	6
32245	1	0	18	9	8	9	9	8	8	5	9	1	0	9	5	4	6	4	4	4	2	3
33093	1	1	25	7	3	13	16	6	3	11	9	1	0	9	10	3	2	9	6	3	1	5
32703	1	0	18	15	2	7	9	14	2	3	9	1	0	9	5	8	2	2	4	6	0	2
33257	1	1	27	6	2	14	17	6	2	12	10	0	0	10	11	3	1	10	6	3	1	5
33157	1	1	25	5	5	13	18	2	5	14	7	3	0	6	8	2	5	7	10	0	0	10
33291	1	1	32	1	2	18	22	1	2	17	10	0	0	10	12	1	2	12	10	0	0	10
33211	1	1	31	2	2	17	21	2	2	16	10	0	0	10	12	2	1	11	9	0	1	9
32287	1	1	29	5	1	16	19	5	1	14	10	0	0	10	10	4	1	9	9	1	0	9
32409	1	1	31	4	0	17	21	4	0	16	10	0	0	10	11	4	0	10	10	0	0	10
32339	1	1	28	7	0	15	19	6	0	14	9	1	0	9	14	1	0	14	5	5	0	3
33886	1	0	10	1	24	6	0	1	24	0	10	0	0	10	0	1	14	0	0	0	10	0
33875	1	0	14	12	9	6	7	11	7	3	7	1	2	7	2	8	5	0	5	3	2	4
33280	1	0	14	18	3	5	10	12	3	5	4	6	0	2	4	8	3	1	6	4	0	5
33801	1	0	15	20	0	5	10	15	0	4	5	5	0	3	6	9	0	3	4	6	0	2
33317	1	1	31	4	0	17	22	3	0	17	9	1	0	9	12	3	0	11	10	0	0	10
33725	1	0	22	13	0	10	13	12	0	7	9	1	0	9	5	10	0	2	8	2	0	7
32691	1	0	21	5	9	11	12	4	9	9	9	1	0	9	7	1	7	7	5	3	2	4
33256	1	1	32	2	1	18	23	1	1	18	9	1	0	9	14	0	1	14	9	1	0	9
33230	1	0	22	13	0	10	14	11	0	8	8	2	0	7	9	6	0	7	5	5	0	3
33036	1	1	28	4	3	15	19	3	3	14	9	1	0	9	10	2	3	9	9	1	0	9
32410	1	1	24	6	5	13	16	5	4	11	8	1	1	8	9	2	4	8	7	3	0	6
33818	1	1	28	5	2	15	18	5	2	13	10	0	0	10	9	5	1	7	9	0	1	9
32280	1	0	22	8	5	11	13	8	4	8	9	0	1	9	7	4	4	6	6	4	0	5
33225	1	1	31	4	0	17	21	4	0	16	10	0	0	10	12	3	0	11	9	1	0	9
32876	1	0	23	10	2	11	14	9	2	9	9	1	0	9	8	6	1	6	6	3	1	5
33899	1	0	16	19	0	6	8	17	0	2	8	2	0	7	6	9	0	3	2	8	0	0
32970	1	0	19	12	4	9	12	9	4	7	7	3	0	6	8	3	4	7	4	6	0	2
32299	1	1	26	9	0	13	17	8	0	11	9	1	0	9	9	6	0	7	8	2	0	7
32733	1	0	23	9	3	11	13	9	3	8	10	0	0	10	10	2	3	9	3	7	0	1
33811	1	1	30	5	0	16	20	5	0	15	10	0	0	10	12	3	0	11	8	2	0	7
33788	1	1	27	8	0	14	18	7	0	13	9	1	0	9	9	6	0	7	9	1	0	9
33259	1	0	25	10	0	12	15	10	0	9	10	0	0	10	9	6	0	7	6	4	0	5
32369	1	1	27	5	3	14	17	5	3	12	10	0	0	10	9	4	2	8	8	1	1	8
32745	1	0	22	13	0	10	13	12	0	7	9	1	0	9	9	6	0	7	4	6	0	2
33140	1	0	15	20	0	5	10	15	0	4	5	5	0	3	5	10	0	2	5	5	0	3
32308	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
33478	1	0	19	9	7	9	12	7	6	8	7	2	1	6	5	5	5	3	7	2	1	6
32311	1	1	32	1	2	18	22	1	2	17	10	0	0	10	14	0	1	14	8	1	1	8
33335	1	1	25	1	9	14	15	1	9	12	10	0	0	10	7	1	7	7	8	0	2	8
32834	1	0	15	20	0	5	7	18	0	1	8	2	0	7	5	10	0	2	2	8	0	0
32854	1	1	26	6	3	14	16	6	3	11	10	0	0	10	12	3	0	11	4	3	3	3
32191	1	0	10	14	11	3	6	10	9	2	4	4	2	3	2	5	8	0	4	5	1	2
32352	1	1	25	9	1	13	17	8	0	11	8	1	1	8	10	5	0	8	7	3	0	6
32632	1	0	17	4	14	9	8	3	14	6	9	1	0	9	6	1	8	6	2	2	6	1
32941	1	1	29	3	3	16	19	3	3	14	10	0	0	10	11	1	3	11	8	2	0	7
33119	1	1	22	2	11	12	15	2	8	11	7	0	3	7	7	1	7	7	8	1	1	8
33135	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
32307	1	1	24	1	10	14	16	1	8	13	8	0	2	8	7	1	7	7	9	0	1	9
33513	1	1	25	8	2	13	16	8	1	11	9	0	1	9	10	4	1	9	6	4	0	5
32658	1	1	30	3	2	17	20	3	2	15	10	0	0	10	12	2	1	11	8	1	1	8
32504	1	1	29	5	1	16	19	5	1	14	10	0	0	10	10	4	1	9	9	1	0	9
33374	1	1	34	1	0	19	24	1	0	19	10	0	0	10	15	0	0	15	9	1	0	9
32751	1	1	28	3	4	15	18	3	4	14	10	0	0	10	11	1	3	11	7	2	1	6
33469	1	0	24	11	0	12	14	11	0	8	10	0	0	10	10	5	0	8	4	6	0	2
32178	1	1	29	6	0	15	19	6	0	14	10	0	0	10	11	4	0	10	8	2	0	7
33333	1	0	16	19	0	6	10	15	0	4	6	4	0	5	6	9	0	3	4	6	0	2
32747	1	1	32	2	1	18	22	2	1	17	10	0	0	10	12	2	1	11	10	0	0	10
32564	1	0	13	22	0	3	10	15	0	4	3	7	0	1	5	10	0	2	5	5	0	3
33030	1	1	27	7	1	14	17	7	1	12	10	0	0	10	13	2	0	12	4	5	1	2
33097	1	0	19	16	0	8	13	12	0	7	6	4	0	5	7	8	0	4	6	4	0	5
32457	1	1	27	8	0	14	17	8	0	11	10	0	0	10	11	4	0	10	6	4	0	5
32288	1	1	29	6	0	15	20	5	0	15	9	1	0	9	12	3	0	11	8	2	0	7
33051	1	1	25	6	4	13	17	4	4	13	8	2	0	7	9	3	3	8	8	1	1	8
32707	1	1	27	3	5	15	17	3	5	13	10	0	0	10	9	2	4	8	8	1	1	8
32616	1	1	24	5	6	13	14	5	6	10	10	0	0	10	7	3	5	6	7	2	1	6
33796	1	0	11	24	0	2	5	20	0	0	6	4	0	5	3	12	0	0	2	8	0	0
32332	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
32888	1	0	23	12	0	11	15	10	0	9	8	2	0	7	8	7	0	6	7	3	0	6
33011	1	1	26	6	3	14	17	5	3	12	9	1	0	9	9	4	2	8	8	1	1	8
32912	1	1	25	6	4	13	17	5	3	12	8	1	1	8	10	2	3	9	7	3	0	6
33854	1	0	21	4	10	11	12	4	9	9	9	0	1	9	7	2	6	6	5	2	3	4
32277	1	0	22	13	0	10	14	11	0	8	8	2	0	7	9	6	0	7	5	5	0	3
33417	1	1	24	6	5	13	16	5	4	11	8	1	1	8	7	4	4	6	9	1	0	9
32756	1	0	21	7	7	11	13	6	6	9	8	1	1	8	8	2	5	7	5	4	1	4
32416	1	1	28	1	6	16	19	1	5	15	9	0	1	9	11	0	4	11	8	1	1	8
33476	1	1	33	2	0	18	23	2	0	18	10	0	0	10	15	0	0	15	8	2	0	7
32212	1	1	33	2	0	18	23	2	0	18	10	0	0	10	15	0	0	15	8	2	0	7
33504	1	0	18	17	0	7	13	12	0	7	5	5	0	3	7	8	0	4	6	4	0	5
33581	1	0	24	11	0	12	15	10	0	9	9	1	0	9	7	8	0	4	8	2	0	7
33103	1	1	28	4	3	15	19	4	2	14	9	0	1	9	10	3	2	9	9	1	0	9
33689	1	1	30	5	0	16	20	5	0	15	10	0	0	10	13	2	0	12	7	3	0	6
32294	1	1	23	10	2	11	15	8	2	10	8	2	0	7	6	7	2	4	9	1	0	9
33278	1	0	19	10	6	9	12	7	6	8	7	3	0	6	7	3	5	6	5	4	1	4
33404	1	1	27	4	4	15	17	4	4	13	10	0	0	10	7	4	4	6	10	0	0	10
32241	1	1	30	5	0	16	20	5	0	15	10	0	0	10	11	4	0	10	9	1	0	9
